Principais culturas temporárias (Ilha das Flores - Santa Cruz das Flores),,,,,,,,,,,,
,,,,,,,,,,,,pág. 6/7
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Ilha do Faial (Horta),,,,,,,,,,,
,Culturas temporárias,,   946 ,   978 ,   942 ,   654 ,   491 ,   324 ,   483 ,   324 ,   8 ,o 
,Cereais para grão,,   456 ,   106 ,   449 ,   106 ,   11 ,   1 ,   11 ,   1 ,- ,- 
,Leguminosas secas para grão,,   554 ,   28 ,   532 ,   26 ,   31 ,   2 ,   29 ,   1 ,   2 ,... 
,Prados temporários,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,   611 ,   764 ,   407 ,   441 ,   463 ,   322 ,   463 ,   322 ,- ,- 
,Batata,,   511 ,   28 ,   500 ,   26 ,   11 ,   1 ,   5 ,   1 ,   6 ,o 
,Beterraba sacarina,,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,   284 ,   14 ,   281 ,   14 ,   3 ,o ,   2 ,... ,   1 ,... 
,Flores e plantas ornamentais,,   8 ,   21 ,   8 ,   21 ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,   389 ,   18 ,   387 ,   18 ,   4 ,o ,   3 ,o ,   1 ,... 
,Ilha das Flores,,,,,,,,,,,
,Culturas temporárias,,   530 ,   198 ,   530 ,   123 ,   306 ,   72 ,   305 ,   71 ,   9 ,   1 
,Cereais para grão,,   326 ,   49 ,   317 ,   48 ,   23 ,o ,   23 ,o ,- ,- 
,Leguminosas secas para grão,,   88 ,   2 ,   71 ,   1 ,   21 ,o ,   21 ,o ,- ,- 
,Prados temporários,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,   281 ,   84 ,   33 ,   18 ,   273 ,   67 ,   273 ,   67 ,- ,- 
,Batata,,   352 ,   25 ,   350 ,   24 ,   4 ,o ,   4 ,o ,- ,- 
,Beterraba sacarina,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,   151 ,   10 ,   151 ,   10 ,- ,- ,- ,- ,- ,- 
,Flores e plantas ornamentais,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,   335 ,   25 ,   329 ,   24 ,   24 ,   2 ,   17 ,o ,   9 ,   1 
,,Lajes das Flores,,,,,,,,,,
,,Culturas temporárias,   264 ,   93 ,   264 ,   56 ,   168 ,   35 ,   167 ,   34 ,   9 ,   1 
,,Cereais para grão,   153 ,   18 ,   150 ,   18 ,   12 ,o ,   12 ,o ,- ,- 
,,Leguminosas secas para grão,   63 ,   1 ,   51 ,   1 ,   15 ,o ,   15 ,o ,- ,- 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   158 ,   43 ,   27 ,   12 ,   152 ,   32 ,   152 ,   32 ,- ,- 
,,Batata,   179 ,   10 ,   179 ,   10 ,   1 ,... ,   1 ,... ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   66 ,   4 ,   66 ,   4 ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   181 ,   13 ,   178 ,   12 ,   19 ,   2 ,   12 ,o ,   9 ,   1 
,,Santa Cruz das Flores,,,,,,,,,,
,,Culturas temporárias,   266 ,   105 ,   266 ,   67 ,   138 ,   37 ,   138 ,   37 ,- ,- 
,,Cereais para grão,   173 ,   31 ,   167 ,   30 ,   11 ,o ,   11 ,o ,- ,- 
,,Leguminosas secas para grão,   25 ,   1 ,   20 ,o ,   6 ,o ,   6 ,o ,- ,- 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   123 ,   41 ,   6 ,   6 ,   121 ,   35 ,   121 ,   35 ,- ,- 
,,Batata,   173 ,   15 ,   171 ,   14 ,   3 ,o ,   3 ,o ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   85 ,   6 ,   85 ,   6 ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   154 ,   12 ,   151 ,   12 ,   5 ,o ,   5 ,o ,- ,- 
