Principais culturas permanentes,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Ilha / Concelho,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes,,,,,,,,,,
AÇORES,,expl (nº),  10 751 ,  1 845 ,  7 053 ,  3 939 ,   721 ,- ,  5 771 ,   132 ,   3 ,- ,   20 ,,,,,,,,,,
,,área (ha),  3 662 ,   177 ,   922 ,   665 ,   102 ,- ,  1 699 ,   25 ,   40 ,- ,   7 ,,,,,,,,,,
Ilha de Santa Maria ( Vila do Porto ),,expl (nº),   274 ,   35 ,   79 ,   53 ,- ,- ,   224 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),   75 ,   2 ,   6 ,   7 ,- ,- ,   59 ,- ,- ,- ,- ,,,,,,,,,,
Ilha de São Miguel,,expl (nº),  3 382 ,   464 ,  2 126 ,  1 869 ,   177 ,- ,  1 409 ,   117 ,   3 ,- ,   9 ,,,,,,,,,,
,,área (ha),  1 254 ,   33 ,   403 ,   429 ,   15 ,- ,   300 ,   21 ,   40 ,- ,   3 ,,,,,,,,,,
,Lagoa,expl (nº),   320 ,   33 ,   227 ,   184 ,   6 ,- ,   130 ,   6 ,- ,- ,   7 ,,,,,,,,,,
,,área (ha),   139 ,   2 ,   50 ,   48 ,   2 ,- ,   34 ,o ,- ,- ,   2 ,,,,,,,,,,
,Nordeste,expl (nº),   313 ,   123 ,   206 ,   165 ,   37 ,- ,   134 ,   2 ,- ,- ,- ,,,,,,,,,,
,,área (ha),   59 ,   8 ,   14 ,   10 ,   3 ,- ,   11 ,... ,- ,- ,- ,,,,,,,,,,
,Ponta Delgada,expl (nº),  1 096 ,   105 ,   676 ,   658 ,   32 ,- ,   370 ,   88 ,- ,- ,   1 ,,,,,,,,,,
,,área (ha),   336 ,   8 ,   118 ,   134 ,   2 ,- ,   64 ,   8 ,- ,- ,... ,,,,,,,,,,
,Povoação,expl (nº),   418 ,   82 ,   310 ,   218 ,   50 ,- ,   164 ,   4 ,- ,- ,- ,,,,,,,,,,
,,área (ha),   132 ,   8 ,   55 ,   38 ,   5 ,- ,   27 ,o ,- ,- ,- ,,,,,,,,,,
,Ribeira Grande,expl (nº),   620 ,   107 ,   469 ,   317 ,   41 ,- ,   153 ,   4 ,   3 ,- ,- ,,,,,,,,,,
,,área (ha),   269 ,   7 ,   137 ,   56 ,   1 ,- ,   21 ,o ,   40 ,- ,- ,,,,,,,,,,
,Vila Franca do Campo,expl (nº),   615 ,   14 ,   238 ,   327 ,   11 ,- ,   458 ,   13 ,- ,- ,   1 ,,,,,,,,,,
,,área (ha),   319 ,o ,   29 ,   143 ,   2 ,- ,   143 ,   1 ,- ,- ,... ,,,,,,,,,,
,Ilha Terceira,expl (nº),  2 337 ,   570 ,  1 187 ,   548 ,   292 ,- ,  1 335 ,   4 ,- ,- ,   6 ,,,,,,,,,,
,,área (ha),   709 ,   78 ,   167 ,   119 ,   73 ,- ,   263 ,   1 ,- ,- ,   4 ,,,,,,,,,,
,Angra do Heroísmo,expl (nº),  1 431 ,   281 ,   635 ,   311 ,   200 ,- ,   901 ,- ,- ,- ,   1 ,,,,,,,,,,
