Natureza jurídica do produtor,,,,,,,,,,,,,
,,,,,,,,,,,,,pág. 1/2
REGIÃO AGRÁRIA,,Natureza jurídica do produtor,,,,,,,,,,,
Ilha,,Produtor singular,,,,Sociedade,,Baldio,,Estado e pessoas públicas,,Outra,
Concelho,,Autónomo,,Empresário,,,,,,,,,
,,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
AÇORES,,  17 906 ,  93 365 ,  1 180 ,  17 666 ,   131 ,  4 304 ,- ,- ,   29 ,  5 534 ,   34 ,   432 
,Ilha de Santa Maria ( Vila do Porto ),   576 ,  4 129 ,- ,- ,   1 ,... ,- ,- ,   1 ,... ,   1 ,... 
,Ilha de São Miguel,  6 287 ,  26 822 ,   989 ,  12 147 ,   76 ,  1 926 ,- ,- ,   9 ,   71 ,   16 ,   107 
,Lagoa,   479 ,  1 675 ,   78 ,   738 ,   8 ,   105 ,- ,- ,- ,- ,- ,- 
,Nordeste,   634 ,  3 129 ,   32 ,   768 ,   3 ,   84 ,- ,- ,   2 ,... ,   1 ,... 
,Ponta Delgada,  2 422 ,  10 608 ,   411 ,  3 316 ,   45 ,  1 001 ,- ,- ,   3 ,   27 ,   10 ,   24 
,Povoação,   598 ,  2 425 ,   66 ,  1 312 ,   3 ,   43 ,- ,- ,   1 ,... ,- ,- 
,Ribeira Grande,  1 460 ,  6 424 ,   237 ,  4 210 ,   11 ,   573 ,- ,- ,   2 ,... ,   4 ,   75 
,Vila Franca do Campo,   694 ,  2 561 ,   165 ,  1 803 ,   6 ,   120 ,- ,- ,   1 ,... ,   1 ,... 
,Ilha Terceira,  4 354 ,  19 844 ,   110 ,  2 851 ,   40 ,  1 383 ,- ,- ,   4 ,   149 ,   14 ,   127 
,Angra do Heroísmo,  2 512 ,  13 054 ,   80 ,  2 334 ,   17 ,   600 ,- ,- ,   3 ,   69 ,   10 ,   105 
,Vila da Praia da Vitória,  1 842 ,  6 790 ,   30 ,   517 ,   23 ,   783 ,- ,- ,   1 ,... ,   4 ,   22 
,Ilha da Graciosa ( Santa Cruz da Graciosa ),   909 ,  3 102 ,   12 ,   89 ,   1 ,... ,- ,- ,   1 ,... ,   2 ,... 
,Ilha de São Jorge,  1 234 ,  9 730 ,   45 ,  1 470 ,   7 ,   214 ,- ,- ,   4 ,   18 ,- ,- 
,Calheta,   607 ,  4 582 ,   34 ,   877 ,   4 ,   89 ,- ,- ,   1 ,... ,- ,- 
,Velas,   627 ,  5 148 ,   11 ,   593 ,   3 ,   125 ,- ,- ,   3 ,   16 ,- ,- 
,Ilha do Pico,  2 624 ,  16 792 ,   16 ,   924 ,   5 ,   690 ,- ,- ,   4 ,   802 ,- ,- 
,Lajes do Pico,   999 ,  7 138 ,   3 ,   306 ,   3 ,   684 ,- ,- ,   1 ,... ,- ,- 
,Madalena,  1 081 ,  6 050 ,   3 ,   8 ,   2 ,... ,- ,- ,   2 ,... ,- ,- 
,São Roque do Pico,   544 ,  3 604 ,   10 ,   610 ,- ,- ,- ,- ,   1 ,... ,- ,- 
,Ilha do Faial ( Horta ),  1 256 ,  8 345 ,   6 ,   172 ,- ,- ,- ,- ,   3 ,   103 ,   1 ,... 
,Ilha das Flores,   602 ,  4 284 ,   2 ,... ,   1 ,... ,- ,- ,   2 ,... ,- ,- 
,Lajes das Flores,   302 ,  2 531 ,   1 ,... ,   1 ,... ,- ,- ,   1 ,... ,- ,- 
,Santa Cruz das Flores,   300 ,  1 753 ,   1 ,... ,- ,- ,- ,- ,   1 ,... ,- ,- 
,Ilha do Corvo (Corvo),   64 ,   317 ,- ,- ,- ,- ,- ,- ,   1 ,... ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,
