Explorações segundo o número de caprinos,,,,,,,,,,
REGIÃO AGRÁRIA,,,Total,Classes de número de animais,,,,,,
Ilha / Concelho,,,,1 a 9,10 a 19,20 a 49,50 a 99,100 a 499,> = 500,
AÇORES,,expl (nº),  3 014 ,  2 912 ,   72 ,   25 ,   3 ,   2 ,- ,
,,efect (nº),  9 063 ,  6 902 ,   866 ,   626 ,   219 ,... ,- ,
Ilha de Santa Maria ( Vila do Porto ),,expl (nº),   43 ,   42 ,   1 ,- ,- ,- ,- ,
,,efect (nº),   134 ,   116 ,... ,- ,- ,- ,- ,
Ilha de São Miguel,,expl (nº),   979 ,   957 ,   10 ,   10 ,   2 ,- ,- ,
,,efect (nº),  2 694 ,  2 162 ,   120 ,   253 ,... ,- ,- ,
,Lagoa,expl (nº),   39 ,   39 ,- ,- ,- ,- ,- ,
,,efect (nº),   104 ,   104 ,- ,- ,- ,- ,- ,
,Nordeste,expl (nº),   200 ,   197 ,   1 ,   1 ,   1 ,- ,- ,
,,efect (nº),   475 ,   381 ,... ,... ,... ,- ,- ,
,Ponta Delgada,expl (nº),   278 ,   270 ,   3 ,   5 ,- ,- ,- ,
,,efect (nº),   742 ,   587 ,   34 ,   121 ,- ,- ,- ,
,Povoação,expl (nº),   147 ,   145 ,   1 ,   1 ,- ,- ,- ,
,,efect (nº),   381 ,   350 ,... ,... ,- ,- ,- ,
,Ribeira Grande,expl (nº),   232 ,   227 ,   2 ,   2 ,   1 ,- ,- ,
,,efect (nº),   761 ,   570 ,... ,... ,... ,- ,- ,
,Vila Franca do Campo,expl (nº),   83 ,   79 ,   3 ,   1 ,- ,- ,- ,
,,efect (nº),   231 ,   170 ,   36 ,... ,- ,- ,- ,
Ilha Terceira,,expl (nº),   778 ,   759 ,   15 ,   3 ,- ,   1 ,- ,
,,efect (nº),  2 310 ,  1 705 ,   189 ,   66 ,- ,... ,- ,
,Angra do Heroísmo,expl (nº),   470 ,   458 ,   9 ,   2 ,- ,   1 ,- ,
,,efect (nº),  1 542 ,  1 041 ,   109 ,... ,- ,... ,- ,
,Vila da Praia da Vitória,expl (nº),   308 ,   301 ,   6 ,   1 ,- ,- ,- ,
,,efect (nº),   768 ,   664 ,   80 ,... ,- ,- ,- ,
Ilha da  Graciosa ( Santa Cruz da Graciosa ),,expl (nº),   154 ,   145 ,   9 ,- ,- ,- ,- ,
,,efect (nº),   514 ,   417 ,   97 ,- ,- ,- ,- ,
Ilha de São Jorge,,expl (nº),   286 ,   278 ,   6 ,   2 ,- ,- ,- ,
,,efect (nº),   661 ,   543 ,   76 ,... ,- ,- ,- ,
,Calheta,expl (nº),   153 ,   148 ,   3 ,   2 ,- ,- ,- ,
,,efect (nº),   341 ,   265 ,   34 ,... ,- ,- ,- ,
,Velas,expl (nº),   133 ,   130 ,   3 ,- ,- ,- ,- ,
,,efect (nº),   320 ,   278 ,   42 ,- ,- ,- ,- ,
Ilha do Pico,,expl (nº),   386 ,   364 ,   16 ,   6 ,- ,- ,- ,
,,efect (nº),  1 264 ,   949 ,   188 ,   127 ,- ,- ,- ,
,Lajes do Pico,expl (nº),   132 ,   128 ,   4 ,- ,- ,- ,- ,
,,efect (nº),   340 ,   296 ,   44 ,- ,- ,- ,- ,
,Madalena,expl (nº),   169 ,   153 ,   10 ,   6 ,- ,- ,- ,
,,efect (nº),   675 ,   428 ,   120 ,   127 ,- ,- ,- ,
,São Roque do Pico,expl (nº),   85 ,   83 ,   2 ,- ,- ,- ,- ,
,,efect (nº),   249 ,   225 ,... ,- ,- ,- ,- ,
Ilha do Faial ( Horta ),,expl (nº),   290 ,   285 ,   5 ,- ,- ,- ,- ,
,,efect (nº),   829 ,   770 ,   59 ,- ,- ,- ,- ,
Ilha das Flores,,expl (nº),   94 ,   78 ,   10 ,   4 ,   1 ,   1 ,- ,
,,efect (nº),   647 ,   230 ,   119 ,   138 ,... ,... ,- ,
,Lajes das Flores,expl (nº),   47 ,   35 ,   8 ,   3 ,- ,   1 ,- ,
,,efect (nº),   390 ,   98 ,   94 ,   98 ,- ,... ,- ,
,Santa Cruz das Flores,expl (nº),   47 ,   43 ,   2 ,   1 ,   1 ,- ,- ,
,,efect (nº),   257 ,   132 ,... ,... ,... ,- ,- ,
Ilha do Corvo ( Corvo ),,expl (nº),   4 ,   4 ,- ,- ,- ,- ,- ,
,,efect (nº),   10 ,   10 ,- ,- ,- ,- ,- ,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,
