Principais características da população familiar (Mulheres - Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,,
,,,,,,,,,,,Pág. 5/6
Mulher,,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
População familiar (nº indivíduos),,,  33 027 ,   914 ,  13 713 ,  1 119 ,  1 085 ,  5 378 ,  1 133 ,  3 302 ,  1 696 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,  4 227 ,   136 ,  1 769 ,   128 ,   125 ,   660 ,   170 ,   450 ,   236 
,Sabe ler e escrever,,  4 686 ,   142 ,  2 110 ,   173 ,   158 ,   824 ,   155 ,   499 ,   301 
,Básico - 1º ciclo,,  11 781 ,   305 ,  3 871 ,   351 ,   349 ,  1 395 ,   355 ,   881 ,   540 
,Básico - 2º ciclo,,  5 362 ,   163 ,  2 804 ,   198 ,   227 ,  1 155 ,   231 ,   693 ,   300 
,Básico - 3º ciclo,,  3 542 ,   102 ,  1 545 ,   134 ,   129 ,   603 ,   130 ,   382 ,   167 
,Secundário agrícola,,   38 ,- ,   3 ,   1 ,- ,- ,- ,   2 ,- 
,Secundário não agrícola,,  2 423 ,   55 ,  1 115 ,   93 ,   66 ,   511 ,   68 ,   261 ,   116 
,Politécnico / Superior agrícola,,   44 ,- ,   18 ,   1 ,- ,   8 ,- ,   7 ,   2 
,Politécnico / Superior não agrícola,,   924 ,   11 ,   478 ,   40 ,   31 ,   222 ,   24 ,   127 ,   34 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,  20 356 ,   507 ,  11 019 ,   915 ,   900 ,  4 301 ,   930 ,  2 609 ,  1 364 
,Curta duração,,   55 ,   8 ,   11 ,- ,- ,   2 ,   1 ,   7 ,   1 
,Longa duração,,   26 ,   1 ,   10 ,   1 ,   1 ,   3 ,- ,   4 ,   1 
,Longa e curta duração,,   24 ,- ,   10 ,   1 ,- ,   4 ,   1 ,   2 ,   2 
,Completa,,   82 ,- ,   21 ,   2 ,- ,   8 ,- ,   9 ,   2 
Tempo de actividade agrícola ,,,,,,,,,,,
