Principais características do produtor singular (Homem/Mulher - Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,,
,,,,,,,,,,,Pág. 1/9
Homem / Mulher,,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
Produtor singular,,,  19 086 ,   576 ,  7 276 ,   557 ,   666 ,  2 833 ,   664 ,  1 697 ,   859 
,Autónomo,,  17 906 ,   576 ,  6 287 ,   479 ,   634 ,  2 422 ,   598 ,  1 460 ,   694 
,Empresário,,  1 180 ,- ,   989 ,   78 ,   32 ,   411 ,   66 ,   237 ,   165 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,  2 270 ,   82 ,  1 054 ,   83 ,   110 ,   355 ,   114 ,   236 ,   156 
,Sabe ler e escrever,,  2 133 ,   61 ,   945 ,   65 ,   69 ,   369 ,   89 ,   243 ,   110 
,Básico - 1º ciclo,,  10 429 ,   303 ,  3 387 ,   268 ,   367 ,  1 240 ,   316 ,   772 ,   424 
,Básico - 2º ciclo,,  2 225 ,   84 ,   995 ,   67 ,   82 ,   448 ,   91 ,   222 ,   85 
,Básico - 3º ciclo,,  1 077 ,   30 ,   427 ,   27 ,   22 ,   211 ,   29 ,   97 ,   41 
,Secundário agrícola,,   10 ,- ,   3 ,- ,- ,   2 ,- ,- ,   1 
,Secundário não agrícola,,   526 ,   11 ,   249 ,   21 ,   9 ,   109 ,   15 ,   70 ,   25 
,Politécnico / Superior agrícola,,   92 ,   2 ,   44 ,   5 ,   3 ,   16 ,   2 ,   15 ,   3 
,Politécnico / Superior não agrícola,,   324 ,   3 ,   172 ,   21 ,   4 ,   83 ,   8 ,   42 ,   14 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,  17 819 ,   549 ,  6 763 ,   520 ,   581 ,  2 638 ,   628 ,  1 580 ,   816 
,Curta duração,,   617 ,   23 ,   274 ,   13 ,   71 ,   87 ,   24 ,   65 ,   14 
,Longa duração,,   314 ,   2 ,   134 ,   8 ,   10 ,   69 ,   8 ,   26 ,   13 
,Longa e curta duração,,   234 ,- ,   58 ,   11 ,   1 ,   21 ,   2 ,   11 ,   12 
,Completa,,   102 ,   2 ,   47 ,   5 ,   3 ,   18 ,   2 ,   15 ,   4 
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,  16 319 ,   560 ,  6 025 ,   476 ,   563 ,  2 278 ,   555 ,  1 387 ,   766 
,,> 0 - < 25%,  10 103 ,   290 ,  4 173 ,   288 ,   317 ,  1 771 ,   405 ,   889 ,   503 
,,25 - < 50%,  3 529 ,   175 ,  1 098 ,   100 ,   120 ,   347 ,   92 ,   318 ,   121 
,,50 - < 75%,  1 225 ,   49 ,   407 ,   53 ,   44 ,   113 ,   30 ,   107 ,   60 
,,75 - < 100%,  1 462 ,   46 ,   347 ,   35 ,   82 ,   47 ,   28 ,   73 ,   82 
,Tempo completo,,  2 767 ,   16 ,  1 251 ,   81 ,   103 ,   555 ,   109 ,   310 ,   93 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,  7 420 ,   307 ,  2 855 ,   233 ,   229 ,  1 144 ,   243 ,   685 ,   321 
,,Sector primário,  1 056 ,   26 ,   522 ,   49 ,   43 ,   150 ,   44 ,   124 ,   112 
,,Sector secundário,  1 700 ,   56 ,   619 ,   43 ,   33 ,   243 ,   67 ,   155 ,   78 
,,Sector terciário,  4 664 ,   225 ,  1 714 ,   141 ,   153 ,   751 ,   132 ,   406 ,   131 
,Secundária,,   353 ,   8 ,   149 ,   18 ,   20 ,   36 ,   9 ,   49 ,   17 
,,Sector primário,   161 ,   2 ,   76 ,   11 ,   7 ,   14 ,   7 ,   22 ,   15 
,,Sector secundário,   54 ,   2 ,   14 ,   2 ,   4 ,   3 ,- ,   5 ,- 
,,Sector terciário,   138 ,   4 ,   59 ,   5 ,   9 ,   19 ,   2 ,   22 ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,   826 ,   14 ,   365 ,   31 ,   11 ,   134 ,   32 ,   114 ,   43 
,Trabalhador por conta própria,,  1 021 ,   30 ,   418 ,   39 ,   43 ,   164 ,   31 ,   103 ,   38 
