Principais características do produtor singular (Mulher - Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,,
,,,,,,,,,,,Pág. 1/9
Mulher,,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
Produtor singular,,,  2 432 ,   97 ,   654 ,   37 ,   38 ,   286 ,   46 ,   163 ,   84 
,Autónomo,,  2 202 ,   97 ,   445 ,   22 ,   35 ,   192 ,   40 ,   103 ,   53 
,Empresário,,   230 ,- ,   209 ,   15 ,   3 ,   94 ,   6 ,   60 ,   31 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,   196 ,   11 ,   74 ,   4 ,   6 ,   30 ,   8 ,   17 ,   9 
,Sabe ler e escrever,,   407 ,   18 ,   164 ,   13 ,   2 ,   73 ,   10 ,   39 ,   27 
,Básico - 1º ciclo,,  1 345 ,   47 ,   254 ,   13 ,   25 ,   107 ,   20 ,   55 ,   34 
,Básico - 2º ciclo,,   230 ,   15 ,   52 ,   2 ,- ,   29 ,   4 ,   14 ,   3 
,Básico - 3º ciclo,,   116 ,   2 ,   40 ,   2 ,   1 ,   19 ,   2 ,   14 ,   2 
,Secundário agrícola,,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Secundário não agrícola,,   67 ,   4 ,   32 ,   1 ,   2 ,   13 ,   2 ,   10 ,   4 
,Politécnico / Superior agrícola,,   6 ,- ,   3 ,- ,- ,   1 ,- ,   2 ,- 
,Politécnico / Superior não agrícola,,   65 ,- ,   35 ,   2 ,   2 ,   14 ,- ,   12 ,   5 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,  2 379 ,   94 ,   635 ,   35 ,   38 ,   279 ,   46 ,   153 ,   84 
,Curta duração,,   25 ,   3 ,   6 ,- ,- ,   1 ,- ,   5 ,- 
,Longa duração,,   14 ,- ,   6 ,   1 ,- ,   3 ,- ,   2 ,- 
,Longa e curta duração,,   8 ,- ,   4 ,   1 ,- ,   2 ,- ,   1 ,- 
,Completa,,   6 ,- ,   3 ,- ,- ,   1 ,- ,   2 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,  2 356 ,   97 ,   648 ,   37 ,   38 ,   282 ,   46 ,   161 ,   84 
,,> 0 - < 25%,  1 716 ,   46 ,   613 ,   36 ,   36 ,   268 ,   46 ,   146 ,   81 
,,25 - < 50%,   353 ,   29 ,   21 ,- ,   1 ,   9 ,- ,   10 ,   1 
,,50 - < 75%,   156 ,   12 ,   9 ,   1 ,- ,   3 ,- ,   4 ,   1 
,,75 - < 100%,   131 ,   10 ,   5 ,- ,   1 ,   2 ,- ,   1 ,   1 
,Tempo completo,,   76 ,- ,   6 ,- ,- ,   4 ,- ,   2 ,- 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,   367 ,   19 ,   99 ,   4 ,   5 ,   40 ,   4 ,   35 ,   11 
,,Sector primário,   17 ,- ,   2 ,- ,- ,   1 ,- ,   1 ,- 
,,Sector secundário,   33 ,   1 ,   6 ,- ,- ,   4 ,- ,   2 ,- 
,,Sector terciário,   317 ,   18 ,   91 ,   4 ,   5 ,   35 ,   4 ,   32 ,   11 
,Secundária,,   32 ,   1 ,   4 ,   1 ,- ,   2 ,- ,   1 ,- 
,,Sector primário,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sector secundário,   6 ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sector terciário,   26 ,   1 ,   4 ,   1 ,- ,   2 ,- ,   1 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,   41 ,   1 ,   17 ,   1 ,   1 ,   5 ,- ,   9 ,   1 
,Trabalhador por conta própria,,   47 ,   1 ,   9 ,- ,- ,   3 ,   1 ,   2 ,   3 
,Trabalhador por conta de outrem,,   303 ,   16 ,   77 ,   4 ,   4 ,   34 ,   3 ,   25 ,   7 
,Trabalhador familiar remunerado,,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,   8 ,   2 ,- ,- ,- ,- ,- ,- ,- 
Produtor singular  dirigente,,,  1 899 ,   87 ,   530 ,   21 ,   37 ,   244 ,   38 ,   130 ,   60 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
