Actividade remunerada exterior à exploração da população agrícola familiar (Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,
,,,,,,,,,,Pág. 1/3
,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
População agrícola familiar,,  68 340 ,  1 952 ,  28 325 ,  2 320 ,  2 321 ,  10 942 ,  2 315 ,  6 861 ,  3 566 
,Actividade exterior - principal,  19 141 ,   616 ,  7 818 ,   695 ,   563 ,  3 176 ,   568 ,  1 908 ,   908 
,"Agric, prod. animal, caça e activ. seviços relacionados",  1 578 ,   38 ,   962 ,   108 ,   28 ,   290 ,   65 ,   254 ,   217 
,"Sivicult, exploraç. florestal e activ. seviços relacionados",   199 ,   2 ,   88 ,   3 ,   39 ,   19 ,   8 ,   16 ,   3 
,"Pesca, aquacultura e activ. seviços relacionados",   394 ,   8 ,   60 ,   4 ,   2 ,   21 ,   16 ,   8 ,   9 
,Ind. alimentares das bebidas e do tabaco,   436 ,   5 ,   234 ,   8 ,   6 ,   139 ,   11 ,   44 ,   26 
,Outras indústrias,   923 ,   21 ,   343 ,   44 ,   10 ,   136 ,   15 ,   100 ,   38 
,"Prod. e distribuição de  electricidade, gás e água",   299 ,   21 ,   108 ,   5 ,   6 ,   51 ,   7 ,   27 ,   12 
,Construção,  2 699 ,   82 ,  1 154 ,   95 ,   79 ,   327 ,   127 ,   307 ,   219 
,Comércio por grosso e retalho,  2 451 ,   73 ,  1 026 ,   94 ,   67 ,   417 ,   69 ,   267 ,   112 
,Alojamento e restauração,   442 ,   18 ,   202 ,   28 ,   3 ,   85 ,   23 ,   47 ,   16 
,Administração pública,  3 485 ,   164 ,  1 206 ,   100 ,   138 ,   529 ,   93 ,   252 ,   94 
,Educação,  1 055 ,   10 ,   460 ,   27 ,   46 ,   198 ,   24 ,   122 ,   43 
,Saúde e acção social,   685 ,   10 ,   289 ,   12 ,   28 ,   113 ,   20 ,   84 ,   32 
,Outras,  4 495 ,   164 ,  1 686 ,   167 ,   111 ,   851 ,   90 ,   380 ,   87 
,Actividade exterior - secundária,   438 ,   8 ,   178 ,   21 ,   24 ,   45 ,   10 ,   61 ,   17 
,"Agric, prod. animal, caça e activ. seviços relacionados",   164 ,   1 ,   85 ,   11 ,   10 ,   19 ,   7 ,   23 ,   15 
,"Sivicult, exploraç. florestal e activ. seviços relacionados",   5 ,- ,   1 ,- ,- ,- ,- ,   1 ,- 
,"Pesca, aquacultura e activ. seviços relacionados",   13 ,   1 ,- ,- ,- ,- ,- ,- ,- 
,Ind. alimentares das bebidas e do tabaco,   8 ,- ,   1 ,- ,- ,   1 ,- ,- ,- 
,Outras indústrias,   23 ,- ,   8 ,   2 ,   1 ,   1 ,- ,   4 ,- 
,"Prod. e distribuição de  electricidade, gás e água",   2 ,- ,   1 ,- ,- ,   1 ,- ,- ,- 
,Construção,   38 ,   2 ,   5 ,- ,   3 ,- ,- ,   2 ,- 
,Comércio por grosso e retalho,   80 ,   1 ,   52 ,   5 ,   3 ,   15 ,   2 ,   26 ,   1 
,Alojamento e restauração,   4 ,- ,   3 ,- ,- ,   1 ,- ,   1 ,   1 
