Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Ilha do Pico - Lajes do Pico),,,,,,,,,,,
,,,,,,,,,,,Pág. 2/3
,,,Ilha Terceira,Angra do Heroísmo,Vila Praia da Vitória,Ilha da Graciosa (Sta C.Graci.),Ilha de São Jorge,Calheta,Velas,Ilha do Pico,Lajes do Pico
Tempo de actividade agrícola dos trabalhadores permanentes,,,   547 ,   388 ,   159 ,   70 ,   60 ,   18 ,   42 ,   109 ,   46 
,Tempo parcial,,   190 ,   129 ,   61 ,   14 ,   24 ,   9 ,   15 ,   46 ,   20 
,,> 0 - < 25%,   73 ,   60 ,   13 ,   2 ,   6 ,   2 ,   4 ,   20 ,   9 
,,25 - < 50%,   58 ,   37 ,   21 ,   2 ,   8 ,   4 ,   4 ,   10 ,   3 
,,50 - < 75%,   27 ,   15 ,   12 ,- ,   2 ,   1 ,   1 ,   12 ,   8 
,,75 - < 100%,   32 ,   17 ,   15 ,   10 ,   8 ,   2 ,   6 ,   4 ,- 
,Tempo completo,,   357 ,   259 ,   98 ,   56 ,   36 ,   9 ,   27 ,   63 ,   26 
Homem,,,   518 ,   366 ,   152 ,   65 ,   58 ,   18 ,   40 ,   106 ,   44 
,Tempo parcial,,   185 ,   128 ,   57 ,   13 ,   24 ,   9 ,   15 ,   45 ,   20 
,,> 0 - < 25%,   72 ,   60 ,   12 ,   2 ,   6 ,   2 ,   4 ,   20 ,   9 
,,25 - < 50%,   56 ,   36 ,   20 ,   1 ,   8 ,   4 ,   4 ,   9 ,   3 
,,50 - < 75%,   27 ,   15 ,   12 ,- ,   2 ,   1 ,   1 ,   12 ,   8 
,,75 - < 100%,   30 ,   17 ,   13 ,   10 ,   8 ,   2 ,   6 ,   4 ,- 
,Tempo completo,,   333 ,   238 ,   95 ,   52 ,   34 ,   9 ,   25 ,   61 ,   24 
Mulher,,,   29 ,   22 ,   7 ,   5 ,   2 ,- ,   2 ,   3 ,   2 
,Tempo parcial,,   5 ,   1 ,   4 ,   1 ,- ,- ,- ,   1 ,- 
,,> 0 - < 25%,   1 ,- ,   1 ,- ,- ,- ,- ,- ,- 
,,25 - < 50%,   2 ,   1 ,   1 ,   1 ,- ,- ,- ,   1 ,- 
,,50 - < 75%,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,75 - < 100%,   2 ,- ,   2 ,- ,- ,- ,- ,- ,- 
,Tempo completo,,   24 ,   21 ,   3 ,   4 ,   2 ,- ,   2 ,   2 ,   2 
Tempo de actividade agrícola dos dirigentes assalariados,,,   64 ,   33 ,   31 ,   5 ,   15 ,   5 ,   10 ,   10 ,   4 
,Tempo parcial,,   31 ,   14 ,   17 ,   2 ,   14 ,   4 ,   10 ,   5 ,- 
,,> 0 - < 25%,   13 ,   6 ,   7 ,- ,   4 ,   1 ,   3 ,   3 ,- 
,,25 - < 50%,   5 ,   2 ,   3 ,   2 ,   3 ,- ,   3 ,- ,- 
,,50 - < 75%,   5 ,   1 ,   4 ,- ,   1 ,   1 ,- ,- ,- 
,,75 - < 100%,   8 ,   5 ,   3 ,- ,   6 ,   2 ,   4 ,   2 ,- 
,Tempo completo,,   33 ,   19 ,   14 ,   3 ,   1 ,   1 ,- ,   5 ,   4 
Homem,,,   62 ,   31 ,   31 ,   4 ,   15 ,   5 ,   10 ,   10 ,   4 
,Tempo parcial,,   31 ,   14 ,   17 ,   1 ,   14 ,   4 ,   10 ,   5 ,- 
,,> 0 - < 25%,   13 ,   6 ,   7 ,- ,   4 ,   1 ,   3 ,   3 ,- 
,,25 - < 50%,   5 ,   2 ,   3 ,   1 ,   3 ,- ,   3 ,- ,- 
,,50 - < 75%,   5 ,   1 ,   4 ,- ,   1 ,   1 ,- ,- ,- 
,,75 - < 100%,   8 ,   5 ,   3 ,- ,   6 ,   2 ,   4 ,   2 ,- 
,Tempo completo,,   31 ,   17 ,   14 ,   3 ,   1 ,   1 ,- ,   5 ,   4 
Mulher,,,   2 ,   2 ,- ,   1 ,- ,- ,- ,- ,- 
,Tempo parcial,,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,,> 0 - < 25%,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - < 50%,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,,50 - < 75%,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,75 - < 100%,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Tempo completo,,   2 ,   2 ,- ,- ,- ,- ,- ,- ,- 
Tempo de actividade agrícola dos outros trabalhadores permanentes,,,   483 ,   355 ,   128 ,   65 ,   45 ,   13 ,   32 ,   99 ,   42 
,Tempo parcial,,   159 ,   115 ,   44 ,   12 ,   10 ,   5 ,   5 ,   41 ,   20 
,,> 0 - < 25%,   60 ,   54 ,   6 ,   2 ,   2 ,   1 ,   1 ,   17 ,   9 
,,25 - < 50%,   53 ,   35 ,   18 ,- ,   5 ,   4 ,   1 ,   10 ,   3 
,,50 - < 75%,   22 ,   14 ,   8 ,- ,   1 ,- ,   1 ,   12 ,   8 
,,75 - < 100%,   24 ,   12 ,   12 ,   10 ,   2 ,- ,   2 ,   2 ,- 
,Tempo completo,,   324 ,   240 ,   84 ,   53 ,   35 ,   8 ,   27 ,   58 ,   22 
Homem,,,   456 ,   335 ,   121 ,   61 ,   43 ,   13 ,   30 ,   96 ,   40 
,Tempo parcial,,   154 ,   114 ,   40 ,   12 ,   10 ,   5 ,   5 ,   40 ,   20 
,,> 0 - < 25%,   59 ,   54 ,   5 ,   2 ,   2 ,   1 ,   1 ,   17 ,   9 
,,25 - < 50%,   51 ,   34 ,   17 ,- ,   5 ,   4 ,   1 ,   9 ,   3 
,,50 - < 75%,   22 ,   14 ,   8 ,- ,   1 ,- ,   1 ,   12 ,   8 
,,75 - < 100%,   22 ,   12 ,   10 ,   10 ,   2 ,- ,   2 ,   2 ,- 
,Tempo completo,,   302 ,   221 ,   81 ,   49 ,   33 ,   8 ,   25 ,   56 ,   20 
Mulher,,,   27 ,   20 ,   7 ,   4 ,   2 ,- ,   2 ,   3 ,   2 
,Tempo parcial,,   5 ,   1 ,   4 ,- ,- ,- ,- ,   1 ,- 
,,> 0 - < 25%,   1 ,- ,   1 ,- ,- ,- ,- ,- ,- 
,,25 - < 50%,   2 ,   1 ,   1 ,- ,- ,- ,- ,   1 ,- 
,,50 - < 75%,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,75 - < 100%,   2 ,- ,   2 ,- ,- ,- ,- ,- ,- 
,Tempo completo,,   22 ,   19 ,   3 ,   4 ,   2 ,- ,   2 ,   2 ,   2 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
