Origem do rendimento do agregado doméstico do produtor singular (Ilha do Corvo),,,,,,,,
,,,,,,,,Pág. 3/3
,,Madalena,São Roque do Pico,Ilha do Faial (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
Total explorações com produtor singular,,  1 084 ,   554 ,  1 262 ,   604 ,   303 ,   301 ,   64 
Exclusivamente da actividade da exploração,,   38 ,   28 ,   137 ,   42 ,   16 ,   26 ,   5 
Principalmente da actividade da exploração,,   169 ,   97 ,   194 ,   132 ,   69 ,   63 ,   12 
Salários do sector primário,,   29 ,   14 ,   8 ,   7 ,   4 ,   3 ,   1 
,1ª opção,   27 ,   11 ,   8 ,   7 ,   4 ,   3 ,   1 
,2ª opção,   2 ,   3 ,- ,- ,- ,- ,- 
,3ª opção,- ,- ,- ,- ,- ,- ,- 
Salários do sector secúndário,,   18 ,   12 ,   40 ,   20 ,   8 ,   12 ,   1 
,1ª opção,   17 ,   10 ,   37 ,   20 ,   8 ,   12 ,- 
,2ª opção,   1 ,   2 ,   2 ,- ,- ,- ,   1 
,3ª opção,- ,- ,   1 ,- ,- ,- ,- 
Salários do sector terciário,,   54 ,   50 ,   88 ,   26 ,   14 ,   12 ,   6 
,1ª opção,   52 ,   50 ,   71 ,   24 ,   14 ,   10 ,   5 
,2ª opção,   2 ,- ,   16 ,   2 ,- ,   2 ,   1 
,3ª opção,- ,- ,   1 ,- ,- ,- ,- 
Actividade empresarial,,   4 ,   5 ,   2 ,   2 ,   2 ,- ,- 
,1ª opção,   3 ,   2 ,   2 ,   2 ,   2 ,- ,- 
,2ª opção,   1 ,   3 ,- ,- ,- ,- ,- 
,3ª opção,- ,- ,- ,- ,- ,- ,- 
Pensões rurais/reformas,,   110 ,   55 ,   89 ,   73 ,   32 ,   41 ,   7 
,1ª opção,   65 ,   24 ,   75 ,   60 ,   25 ,   35 ,   6 
,2ª opção,   45 ,   30 ,   14 ,   11 ,   6 ,   5 ,   1 
,3ª opção,- ,   1 ,- ,   2 ,   1 ,   1 ,- 
Juros e dividendos,,   7 ,   3 ,- ,   5 ,   4 ,   1 ,- 
,1ª opção,   2 ,- ,- ,   3 ,   2 ,   1 ,- 
,2ª opção,   4 ,   1 ,- ,   2 ,   2 ,- ,- 
