"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (UDE / Ilha do Pico - Lajes do Pico)",,,,,,,,,,,
,,,,,,,,,,,Pág. 3/6
,,,Ilha Terceira,Angra do Heroísmo,Vila Praia da Vitória,Ilha da Graciosa (Sta C.Grac.),Ilha de São Jorge,Calheta,Velas,Ilha do Pico,Lajes do Pico
Explorações agrícolas,,expl (nº),  4 522 ,  2 622 ,  1 900 ,   925 ,  1 290 ,   646 ,   644 ,  2 649 ,  1 006 
,,SAU (ha),  24 357 ,  16 163 ,  8 194 ,  3 379 ,  11 433 ,  5 551 ,  5 882 ,  19 209 ,  8 132 
,Sem SAU,expl (nº),   15 ,   10 ,   5 ,- ,- ,- ,- ,   2 ,   1 
,> 0 a < 1,expl (nº),  2 243 ,  1 284 ,   959 ,   531 ,   537 ,   262 ,   275 ,  1 594 ,   577 
,,SAU (ha),   784 ,   432 ,   352 ,   197 ,   190 ,   91 ,   99 ,   579 ,   206 
,1 a < 2,expl (nº),   516 ,   264 ,   252 ,   130 ,   123 ,   58 ,   65 ,   257 ,   105 
,,SAU (ha),   740 ,   376 ,   364 ,   182 ,   175 ,   83 ,   92 ,   355 ,   147 
,2 a < 5,expl (nº),   612 ,   348 ,   264 ,   122 ,   154 ,   82 ,   72 ,   137 ,   43 
,,SAU (ha),  2 015 ,  1 146 ,   869 ,   399 ,   505 ,   262 ,   243 ,   440 ,   152 
,5 a < 10,expl (nº),   460 ,   255 ,   205 ,   58 ,   120 ,   58 ,   62 ,   136 ,   56 
,,SAU (ha),  3 324 ,  1 835 ,  1 489 ,   399 ,   878 ,   423 ,   455 ,   979 ,   403 
,10 a < 20,expl (nº),   369 ,   242 ,   127 ,   54 ,   155 ,   87 ,   68 ,   208 ,   84 
,,SAU (ha),  5 159 ,  3 430 ,  1 729 ,   784 ,  2 154 ,  1 173 ,   981 ,  3 043 ,  1 222 
,20 a < 50,expl (nº),   249 ,   182 ,   67 ,   21 ,   160 ,   85 ,   75 ,   253 ,   114 
,,SAU (ha),  7 128 ,  5 189 ,  1 939 ,   587 ,  4 909 ,  2 636 ,  2 273 ,  8 168 ,  3 620 
,50 a < 100,expl (nº),   47 ,   26 ,   21 ,   6 ,   41 ,   14 ,   27 ,   54 ,   21 
,,SAU (ha),  3 111 ,  1 661 ,  1 450 ,   419 ,  2 624 ,   885 ,  1 739 ,  3 597 ,  1 406 
,>= 100,expl (nº),   11 ,   11 ,- ,   3 ,- ,- ,- ,   8 ,   5 
,,SAU (ha),  2 097 ,  2 097 ,- ,   413 ,- ,- ,- ,  2 049 ,   975 
Classes de dimensão económica - (UDE),,expl (nº),  4 427 ,  2 566 ,  1 861 ,   917 ,  1 284 ,   642 ,   642 ,  2 631 ,  1 006 
,,SAU (ha),  24 345 ,  16 155 ,  8 190 ,  3 379 ,  11 433 ,  5 551 ,  5 882 ,  19 208 ,  8 132 
,> 0 a < 2,expl (nº),  2 308 ,  1 312 ,   996 ,   474 ,   585 ,   262 ,   323 ,  1 122 ,   440 
,,SAU (ha),  1 534 ,   825 ,   709 ,   242 ,   400 ,   140 ,   260 ,   409 ,   189 
,2 a < 4,expl (nº),   669 ,   378 ,   291 ,   198 ,   178 ,   100 ,   78 ,   484 ,   197 
,,SAU (ha),  1 575 ,   930 ,   645 ,   323 ,   483 ,   265 ,   218 ,   666 ,   321 
,4 a < 8,expl (nº),   476 ,   260 ,   216 ,   135 ,   167 ,   93 ,   74 ,   425 ,   172 
,,SAU (ha),  2 248 ,  1 316 ,   932 ,   572 ,  1 143 ,   615 ,   528 ,  2 507 ,  1 134 
,8 a < 16,expl (nº),   395 ,   220 ,   175 ,   56 ,   186 ,   104 ,   82 ,   316 ,   119 
,,SAU (ha),  3 497 ,  2 136 ,  1 361 ,   598 ,  2 994 ,  1 624 ,  1 370 ,  4 797 ,  2 396 
,16 a < 40,expl (nº),   450 ,   310 ,   140 ,   41 ,   146 ,   74 ,   72 ,   235 ,   72 
,,SAU (ha),  8 775 ,  6 274 ,  2 501 ,   817 ,  4 983 ,  2 383 ,  2 600 ,  7 477 ,  3 114 
,40 a < 100,expl (nº),   115 ,   76 ,   39 ,   11 ,   22 ,   9 ,   13 ,   47 ,   5 
,,SAU (ha),  5 502 ,  3 558 ,  1 944 ,   692 ,  1 430 ,   525 ,   905 ,  2 242 ,   593 
,> = 100,expl (nº),   14 ,   10 ,   4 ,   2 ,- ,- ,- ,   2 ,   1 
,,SAU (ha),  1 216 ,  1 118 ,   98 ,... ,- ,- ,- ,... ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
