"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (OTE / Ilha do Corvo)",,,,,,,,
,,,,,,,,Pág. 6/6
,,Madalena,São Roque do Pico,Ilha do Faial      (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
OTE,expl (nº),  1 088 ,   555 ,  1 266 ,   607 ,   305 ,   302 ,   65 
,SAU (ha),  6 137 ,  4 940 ,  8 645 ,  8 003 ,  2 567 ,  5 436 ,   982 
Cereais plantas olea./proteaginosas,expl (nº),   1 ,   5 ,- ,- ,- ,- ,- 
,SAU (ha),... ,   1 ,- ,- ,- ,- ,- 
Culturas agrícolas diversas,expl (nº),   102 ,   66 ,   43 ,   60 ,   25 ,   35 ,   1 
,SAU (ha),   23 ,   15 ,   12 ,   21 ,   7 ,   14 ,... 
Horticultura,expl (nº),   2 ,- ,   22 ,   17 ,   9 ,   8 ,- 
,SAU (ha),... ,- ,   34 ,   4 ,   1 ,   3 ,- 
Viticultura,expl (nº),   390 ,   75 ,   12 ,- ,- ,- ,- 
,SAU (ha),  1 095 ,   93 ,   7 ,- ,- ,- ,- 
Fruticultura,expl (nº),   42 ,   36 ,   81 ,   21 ,   12 ,   9 ,- 
,SAU (ha),   9 ,   7 ,   52 ,   7 ,   2 ,   5 ,- 
Olivicultura,expl (nº),- ,- ,- ,- ,- ,- ,- 
,SAU (ha),- ,- ,- ,- ,- ,- ,- 
Culturas permanentes diversas,expl (nº),   104 ,   40 ,   6 ,   1 ,- ,   1 ,- 
,SAU (ha),   410 ,   21 ,   6 ,... ,- ,... ,- 
Bovinos de leite,expl (nº),   6 ,   12 ,   302 ,   22 ,   17 ,   5 ,- 
,SAU (ha),   298 ,   310 ,  4 758 ,   201 ,   167 ,   34 ,- 
Bovinos para gado/carne,expl (nº),   37 ,   90 ,   269 ,   152 ,   59 ,   93 ,   13 
,SAU (ha),  1 093 ,  2 397 ,  1 494 ,  1 883 ,   912 ,   971 ,   56 
Bovinos para leite/gado/carne,expl (nº),   10 ,   11 ,   109 ,   86 ,   50 ,   36 ,   32 
,SAU (ha),   425 ,   397 ,  1 415 ,  1 284 ,   872 ,   412 ,   226 
Ovinos/caprinos/out. herbívoros,expl (nº),   4 ,   9 ,   60 ,   41 ,   27 ,   14 ,   4 
,SAU (ha),   103 ,   793 ,   160 ,   375 ,   255 ,   120 ,   674 
Granívoros,expl (nº),   5 ,   4 ,   10 ,   3 ,   1 ,   2 ,   2 
,SAU (ha),o ,o ,o ,o ,... ,... ,... 
Policultura,expl (nº),   260 ,   115 ,   108 ,   80 ,   41 ,   39 ,   8 
,SAU (ha),   541 ,   104 ,   77 ,   61 ,   21 ,   40 ,   6 
Polipecuária-herbívoros,expl (nº),   36 ,   37 ,   110 ,   62 ,   34 ,   28 ,   5 
,SAU (ha),   622 ,   394 ,   441 ,   348 ,   279 ,   69 ,   19 
Polipecuária-granívoros,expl (nº),- ,   2 ,   35 ,   6 ,   3 ,   3 ,- 
,SAU (ha),- ,... ,   28 ,   2 ,   1 ,   1 ,- 
Agricultura geral e herbívoros,expl (nº),   6 ,   7 ,   24 ,   33 ,   17 ,   16 ,- 
,SAU (ha),   13 ,   20 ,   34 ,   97 ,   48 ,   49 ,- 
Culturas diversas e gado,expl (nº),   74 ,   37 ,   72 ,   23 ,   10 ,   13 ,- 
,SAU (ha),  1 501 ,   387 ,   123 ,   45 ,   4 ,   41 ,- 
Não classificadas,expl (nº),   9 ,   9 ,   3 ,- ,- ,- ,- 
,SAU (ha),   1 ,   1 ,o ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
