Utilização das terras (Tâmega),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,,pág. 5/6
,,,Tâmega,Amarante,Baião,Cabeceiras de Basto,Castelo de Paiva,Celorico de Basto,Cinfães,Felgueiras,Lousada,Marco de Canaveses,Mondim de Basto,Paços de Ferreira,Paredes,Penafiel,Resende,Ribeira de Pena
Superfície Total,,expl (nº),"20,528","2,212","1,911","1,266",752,"1,785","1,775","1,469",955,"1,785",799,609,"1,185","1,906","1,237",882
 ,,área (ha),"103,141","19,483","7,522","12,500","2,666","7,245","6,101","5,374","4,402","7,402","6,563","2,439","4,575","6,922","5,439","4,508"
Superfície Agrícola Utilizada (SAU),,expl (nº),"20,483","2,210","1,910","1,264",751,"1,779","1,773","1,467",954,"1,783",796,605,"1,183","1,900","1,235",873
 ,,área (ha),"56,556","5,782","3,928","5,896","1,198","3,653","4,746","3,688","2,849","4,170","5,390","1,368","2,480","3,919","4,275","3,214"
Terra arável,,expl (nº),"19,140","2,040","1,844","1,175",720,"1,533","1,736","1,345",856,"1,682",775,582,"1,117","1,716","1,174",845
,,área (ha),"25,578","2,803","2,046","1,544",830,"2,169","1,633","2,117","1,822","2,181","1,039","1,124","1,744","2,308",818,"1,400"
,Terra arável limpa,expl (nº),"19,118","2,033","1,844","1,175",720,"1,531","1,736","1,344",855,"1,681",775,581,"1,117","1,707","1,174",845
,,área (ha),"25,548","2,798","2,046","1,544",829,"2,159","1,633","2,116","1,821","2,181","1,039","1,121","1,744","2,299",818,"1,400"
,Culturas temporárias,expl (nº),"18,018","1,922","1,706","1,120",694,"1,479","1,691","1,286",816,"1,606",748,559,"1,077","1,633",933,748
,,área (ha),"24,758","2,676","1,951","1,510",784,"2,110","1,567","2,073","1,782","2,121","1,017","1,094","1,696","2,256",757,"1,364"
,Pousio (com e sem ajuda),expl (nº),179,15,22,3,18,3,29,6,6,6,1,3,10,21,22,14
,,área (ha),121,16,9,o ,3,2,9,4,17,3,... ,7,14,18,9,10
,Horta familiar,expl (nº),"13,978","1,673","1,712","1,010",706,"1,089","1,142",759,410,"1,196",642,325,650,760,"1,152",752
,,área (ha),662,106,93,32,42,44,54,36,22,56,22,18,32,29,50,26
,Culturas sob-coberto matas e florestas,expl (nº),33,7,- ,- ,1,6,- ,1,1,1,- ,5,- ,11,- ,- 
,,área (ha),32,5,- ,- ,... ,10,- ,... ,... ,... ,- ,4,- ,10,- ,- 
,Culturas temporárias,expl (nº),33,7,- ,- ,1,6,- ,1,1,1,- ,5,- ,11,- ,- 
,,área (ha),32,5,- ,- ,... ,10,- ,... ,... ,... ,- ,4,- ,10,- ,- 
