Principais culturas temporárias (Página 7),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 7/8
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Lousada,,,,,,,,,,,
,,,Culturas temporárias,878,"3,608",817,"1,783",828,"1,830",665,"1,418",734,404
,,,Cereais para grão,653,909,639,830,222,79,43,22,192,54
,,,Leguminosas secas para grão,362,97,305,70,132,24,10,5,123,18
,,,Prados temporários,31,22,18,14,22,8,- ,- ,22,8
,,,Culturas forrageiras,717,"2,256",250,763,701,"1,491",619,"1,240",522,248
,,,Batata,720,143,483,75,448,66,6,1,443,64
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,236,41,140,21,154,18,75,8,93,8
,,,Flores e plantas ornamentais,13,3,13,2,2,... ,- ,- ,2,... 
,,,Sementes de culturas forrageiras,183,137,2,... ,181,137,178,136,8,o 
,,,Sementes e propágulos de outras culturas não lenhosas,12,5,1,... ,11,5,10,5,2,... 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Marco de Canaveses,,,,,,,,,,,
,,,Culturas temporárias,"1,644","4,126","1,607","2,121","1,546","2,008","1,229","1,319","1,442",690
,,,Cereais para grão,"1,414","1,411","1,402","1,202","1,165",208,32,5,"1,163",201
,,,Leguminosas secas para grão,"1,264",340,"1,204",277,"1,029",67,42,5,"1,021",60
,,,Prados temporários,230,147,220,126,172,18,- ,- ,172,18
,,,Culturas forrageiras,"1,305","1,728",402,329,"1,289","1,395","1,194","1,080","1,145",317
,,,Batata,"1,488",190,"1,409",142,"1,133",47,5,o ,"1,130",47
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,477,54,354,35,403,20,99,8,360,9
,,,Flores e plantas ornamentais,14,2,14,2,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,702,253,16,1,697,249,673,219,445,32
,,,Sementes e propágulos de outras culturas não lenhosas,18,3,14,2,11,1,2,... ,11,1
,,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Mondim de Basto,,,,,,,,,,,
,,,Culturas temporárias,754,"2,379",748,"1,017",736,"1,364",664,766,688,596
,,,Cereais para grão,688,701,684,561,601,141,20,2,598,139
,,,Leguminosas secas para grão,509,155,502,116,444,38,12,o ,442,37
,,,Prados temporários,142,94,139,84,80,10,- ,- ,80,10
,,,Culturas forrageiras,689,"1,366",351,215,687,"1,150",658,754,635,395
,,,Batata,495,51,452,38,244,14,6,o ,244,14
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,7,1,7,1,2,... ,- ,- ,2,... 
,,,Culturas hortícolas,69,5,35,4,54,1,32,1,34,o 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,24,8,3,o ,24,8,22,6,5,1
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
