"Explorações com rega e drenagem (Total, Minho Lima)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,pág. 1/6
,,,,ENTRE DOURO E MINHO,Minho Lima,Arcos de Valdevez,Caminha,Melgaço,Monção,Paredes de Coura,Ponte da Barca,Ponte de Lima,Valença,Viana do Castelo,Vila Nova de Cerveira
Superfície irrigável,,,expl (nº),"65,659","15,854","3,021",470,"1,337","2,134","1,128","1,108","3,551",751,"1,990",364
,,,área (ha),"148,298","25,692","4,731",513,"1,905","2,876","2,488","2,010","6,095","1,141","3,184",749
Sistema de rega ,,,,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),"1,489",423,19,7,12,24,10,12,307,6,25,1
,Colectivo privado,,expl (nº),"37,380","12,033","2,553",375,"1,285","1,962","1,081",919,"2,114",686,740,318
,Individual,,expl (nº),"45,724","7,690","1,388",197,420,"1,051",289,393,"2,115",229,"1,490",118
Origem das águas de rega,,,,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"55,133","10,873","1,806",363,"1,064","1,378",524,566,"2,747",593,"1,490",342
,Albufeira (barragem),,expl (nº),332,33,6,1,- ,1,1,3,4,1,16,- 
,Açude,,expl (nº),"2,707",402,17,55,1,- ,13,3,27,- ,285,1
,Charca,,expl (nº),"6,815","3,709","1,052",1,122,477,308,651,674,162,261,1
,Curso de água natural,,expl (nº),"19,704","6,846","1,336",208,572,"1,385",761,466,"1,201",349,492,76
,Outra,,expl (nº),678,50,18,- ,2,2,5,6,10,1,6,- 
Método de colocação de água no terreno,,,,,,,,,,,,,,,
,Sem elevação,,expl (nº),"45,915","13,753","2,969",395,"1,330","2,052","1,116","1,086","2,847",687,923,348
,Com elevação,,expl (nº),"33,155","4,250",263,175,77,538,43,73,"1,536",177,"1,304",64
,,Motor electrico,expl (nº),"26,802","2,449",225,90,67,369,31,52,762,93,726,34
,,Motor a carburante,expl (nº),"9,678","2,034",33,87,9,170,7,19,832,89,755,33
,,Outros meios,expl (nº),540,95,10,1,1,13,6,4,30,4,26,- 
Superfície drenada,,,expl (nº),"1,245",56,1,- ,- ,7,8,1,34,- ,4,1
,,,área (ha),"1,731",58,... ,- ,- ,8,7,... ,37,- ,6,... 
Superfície com encharcamento,,,expl (nº),"3,014",846,10,63,- ,64,18,4,506,5,168,8
,,,área (ha),"2,083",326,2,53,- ,11,6,o ,180,2,70,2
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,,,
