Explorações com rega e drenagem (Tâmega),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,,,pág. 5/6
,,,,Tâmega,Amarante,Baião,Cabeceiras de Basto,Castelo de Paiva,Celorico de Basto,Cinfães,Felgueiras,Lousada,Marco de Canaveses,Mondim de Basto,Paços de Ferreira,Paredes,Penafiel,Resende,Ribeira de Pena
Superfície irrigável,,,expl (nº),"20,081","2,187","1,887","1,254",741,"1,772","1,760","1,465",951,"1,767",774,598,"1,149","1,877","1,063",836
,,,área (ha),"46,245","5,166","3,524","4,492","1,146","3,517","3,601","3,653","2,803","3,733","1,757","1,316","2,402","3,794","2,708","2,633"
Sistema de rega ,,,,,,,,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),240,7,18,24,17,13,5,9,- ,8,32,1,3,5,1,97
,Colectivo privado,,expl (nº),"11,563","1,098","1,101","1,004",151,"1,393","1,325",807,491,948,697,255,593,862,171,667
,Individual,,expl (nº),"15,067","1,520","1,501",692,663,"1,309","1,003","1,131",785,"1,615",300,501,980,"1,617","1,049",401
Origem das águas de rega,,,,,,,,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"18,172","2,055","1,658","1,101",623,"1,672","1,537","1,331",858,"1,701",652,549,"1,059","1,624","1,024",728
,Albufeira (barragem),,expl (nº),74,12,1,3,3,8,17,9,1,6,3,2,2,7,- ,- 
,Açude,,expl (nº),"1,403",63,51,10,47,12,127,300,30,80,165,- ,72,363,17,66
,Charca,,expl (nº),403,16,3,13,7,145,2,37,100,4,- ,67,- ,4,1,4
,Curso de água natural,,expl (nº),"4,994",328,798,446,161,475,626,109,130,373,275,105,151,324,339,354
,Outra,,expl (nº),142,5,21,2,16,- ,- ,6,3,1,21,2,3,60,1,1
Método de colocação de água no terreno,,,,,,,,,,,,,,,,,,,
,Sem elevação,,expl (nº),"16,589","1,835","1,777","1,140",404,"1,737","1,686","1,033",604,"1,513",761,283,652,"1,298","1,039",827
,Com elevação,,expl (nº),"9,155",996,639,285,489,528,224,973,769,"1,001",123,511,969,"1,388",144,116
,,Motor electrico,expl (nº),"8,412",963,596,260,468,499,219,951,740,950,114,463,862,"1,130",130,67
,,Motor a carburante,expl (nº),895,34,44,27,20,27,6,30,46,59,8,58,142,333,15,46
,,Outros meios,expl (nº),108,6,5,- ,4,3,- ,7,13,5,2,14,24,22,- ,3
Superfície drenada,,,expl (nº),138,4,18,5,- ,2,- ,24,9,20,- ,9,21,24,- ,2
,,,área (ha),246,4,7,8,- ,... ,- ,27,21,24,- ,35,29,29,- ,... 
Superfície com encharcamento,,,expl (nº),365,9,56,43,- ,1,- ,56,18,78,- ,20,25,57,- ,2
,,,área (ha),128,2,7,13,- ,... ,- ,35,12,24,- ,7,9,17,- ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,,,,,,,
