Explorações com rega e drenagem (Entre Douro e Vouga),,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 6/6
,,,,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
Superfície irrigável,,,expl (nº),"5,013","1,659","1,059",952,- ,"1,343"
,,,área (ha),"7,632","2,752","1,892","1,504",- ,"1,484"
Sistema de rega ,,,,,,,,,
,Colectivo estatal,,expl (nº),244,31,78,40,- ,95
,Colectivo privado,,expl (nº),"2,939","1,126",469,426,- ,918
,Individual,,expl (nº),"3,178",909,871,752,- ,646
Origem das águas de rega,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"3,856","1,459",898,851,- ,648
,Albufeira (barragem),,expl (nº),139,5,44,3,- ,87
,Açude,,expl (nº),503,4,212,104,- ,183
,Charca,,expl (nº),649,39,23,1,- ,586
,Curso de água natural,,expl (nº),"1,363",558,244,203,- ,358
,Outra,,expl (nº),53,2,14,1,- ,36
Método de colocação de água no terreno,,,,,,,,,
,Sem elevação,,expl (nº),"3,809","1,512",555,494,- ,"1,248"
,Com elevação,,expl (nº),"2,443",622,819,734,- ,268
,,Motor electrico,expl (nº),"2,250",588,742,716,- ,204
,,Motor a carburante,expl (nº),301,40,167,25,- ,69
,,Outros meios,expl (nº),16,2,8,4,- ,2
Superfície drenada,,,expl (nº),4,1,3,- ,- ,- 
,,,área (ha),3,... ,3,- ,- ,- 
Superfície com encharcamento,,,expl (nº),6,6,- ,- ,- ,- 
,,,área (ha),1,1,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,
