Efectivo Animal (Página 12),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 12/12
,,,Oliveira de Azeméis,,Santa Maria da Feira,,São João da Madeira,,Vale de Cambra,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
Bovinos  ,,,812,"10,568",616,"4,219",- ,- ,"1,001","2,700"
Bovinos com menos de 1 ano,,,628,"2,922",393,"1,369",- ,- ,435,717
,Vitelos de carne (para abate < 1 ano),,100,237,67,246,- ,- ,80,124
,Outros vitelos,,542,"2,685",346,"1,123",- ,- ,366,593
,,Machos,393,"1,103",231,555,- ,- ,162,284
,,Fêmeas,329,"1,582",199,568,- ,- ,239,309
Bovinos de 1 a menos de 2 anos,,,435,"1,989",273,"1,008",- ,- ,141,234
,Machos,,235,686,183,509,- ,- ,46,87
,Fêmeas reprodutoras,,269,"1,273",78,351,- ,- ,59,92
,Fêmeas não reprodutoras,,20,30,53,148,- ,- ,48,55
Bovinos de 2 anos e mais,,,541,"5,657",349,"1,842",- ,- ,851,"1,749"
,Machos,,46,94,51,84,- ,- ,19,28
,Novilhas reprodutoras,,105,367,32,192,- ,- ,21,43
,Novilhas não reprodutoras,,9,42,8,14,- ,- ,5,7
,Vacas leiteiras,,478,"4,870",286,"1,471",- ,- ,662,"1,291"
,Outras vacas,,106,284,21,81,- ,- ,196,380
SUÍNOS,,,627,"4,422",486,"8,240",- ,- ,766,"1,787"
,Suínos com menos de 20 kg de PV,,80,"1,010",24,"1,919",- ,- ,109,358
,Fêmeas reprodutoras de 50 kg de PV e mais,,56,543,35,"1,150",- ,- ,19,171
,Outros suínos,,559,"2,869",452,"5,171",- ,- ,671,"1,258"
OVINOS,,,90,754,207,"1,636",- ,- ,220,"1,674"
,Fêmeas reprodutoras,,88,541,204,"1,328",- ,- ,220,"1,331"
,Outros ovinos,,58,213,133,308,- ,- ,156,343
CAPRINOS,,,76,338,37,159,- ,- ,276,"1,339"
,Fêmeas reprodutoras,,71,245,37,117,- ,- ,264,"1,040"
,Outros caprinos,,37,93,16,42,- ,- ,145,299
EQUÍDEOS,,,10,39,22,62,- ,- ,9,22
,Gado equino,,10,39,20,59,- ,- ,8,21
,,Fêmeas reprodutoras,6,8,10,27,- ,- ,4,7
,,Outros equinos,6,31,17,32,- ,- ,6,14
,Gado asinino,,- ,- ,- ,- ,- ,- ,- ,- 
,Gado muar,,- ,- ,3,3,- ,- ,1,... 
COELHAS reprodutoras,,,315,"1,797",386,"1,317",- ,- ,321,988
AVES,,,,,,,,,,
,Frangos de carne (inclui galos),,683,"344,511",653,"12,615",- ,- ,582,"85,178"
,Galinhas poedeiras e reprodutoras,,694,"55,154",639,"6,504",- ,- ,861,"5,623"
,Perús,,32,"10,107",42,218,- ,- ,44,139
,"Patos, Gansos e pintadas",,98,"10,603",94,792,- ,- ,46,213
ABELHAS,,,,,,,,,,
,Número de colmeias povoadas,,38,373,46,316,- ,- ,48,368
,Número de cortiços povoadas,,5,11,5,26,- ,- ,24,83
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,
