Explorações segundo o número de bovinos ( Classes do número de animais 1 a 29),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 1/2
Região Agrária,,,,Total,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,,
,,Concelho,,,1,2,3 a 4,5 a 9,10 a 14,15 a 19,20 a 29
Entre Douro e Minho,,,expl (nº),"39,448","8,203","9,610","9,620","6,056","1,628",850,"1,018"
,,,efect (nº),"320,918","8,203","19,220","32,853","38,391","18,830","14,187","24,284"
,Minho Lima ,,expl (nº),"10,617","2,921","3,127","2,778","1,212",215,123,118
,,,efect (nº),"39,720","2,921","6,254","9,346","7,475","2,479","2,043","2,795"
,,Arcos de Valdevez,expl (nº),"2,142",476,611,625,294,62,37,20
,,,efect (nº),"8,236",476,"1,222","2,114","1,856",730,606,453
,,Caminha,expl (nº),422,87,154,126,42,4,2,6
,,,efect (nº),"1,352",87,308,420,257,48,... ,152
,,Melgaço,expl (nº),550,179,149,145,57,7,4,5
,,,efect (nº),"1,740",179,298,494,339,75,66,118
,,Monção,expl (nº),"1,162",385,340,319,98,7,3,5
,,,efect (nº),"3,526",385,680,"1,063",580,74,47,117
,,Paredes de Coura,expl (nº),715,202,215,203,71,3,6,7
,,,efect (nº),"2,458",202,430,673,419,33,96,169
,,Ponte da Barca,expl (nº),780,166,259,241,107,3,3,- 
,,,efect (nº),"2,258",166,518,800,633,31,51,- 
,,Ponte de Lima,expl (nº),"2,474",798,750,555,234,47,22,29
,,,efect (nº),"8,986",798,"1,500","1,857","1,468",538,357,698
,,Valença,expl (nº),296,109,90,56,29,1,4,4
,,,efect (nº),"1,019",109,180,189,181,... ,73,110
,,Viana do Castelo,expl (nº),"1,888",444,510,481,267,76,40,36
,,,efect (nº),"8,758",444,"1,020","1,648","1,661",879,678,842
,,Vila Nova de Cerveira,expl (nº),188,75,49,27,13,5,2,6
,,,efect (nº),"1,387",75,98,88,81,60,... ,136
,Cávado,,expl (nº),"7,823","1,256","1,594","1,673","1,389",484,299,372
,,,efect (nº),"85,097","1,256","3,188","5,752","8,823","5,636","5,022","8,898"
,,Amares,expl (nº),407,115,121,94,47,10,6,1
,,,efect (nº),"1,961",115,242,322,300,115,93,... 
,,Barcelos,expl (nº),"3,217",304,414,557,633,284,192,261
,,,efect (nº),"55,076",304,828,"1,921","4,068","3,335","3,232","6,283"
,,Braga,expl (nº),"1,083",199,247,238,191,68,31,33
,,,efect (nº),"9,931",199,494,827,"1,213",775,515,779
,,Esposende,expl (nº),904,170,162,168,158,67,52,63
,,,efect (nº),"8,566",170,324,579,"1,015",784,880,"1,475"
,,Terras de Bouro,expl (nº),462,53,102,144,128,32,3,- 
,,,efect (nº),"1,984",53,204,495,819,366,47,- 
,,Vila Verde,expl (nº),"1,750",415,548,472,232,23,15,14
,,,efect (nº),"7,579",415,"1,096","1,608","1,408",261,255,340
,Ave,,expl (nº),"5,579",929,"1,202","1,451","1,021",283,122,154
,,,efect (nº),"51,333",929,"2,404","4,987","6,566","3,250","2,033","3,641"
,,Fafe,expl (nº),"1,234",253,326,367,227,35,10,8
,,,efect (nº),"4,740",253,652,"1,254","1,437",382,166,196
,,Guimarães,expl (nº),"1,123",218,275,292,198,50,18,25
,,,efect (nº),"7,810",218,550,"1,011","1,292",575,299,602
,,Póvoa de Lanhoso,expl (nº),584,116,132,191,96,22,5,7
,,,efect (nº),"3,146",116,264,645,591,252,82,154
,,Santo Tirso,expl (nº),483,81,106,104,87,29,18,12
,,,efect (nº),"4,810",81,212,370,548,330,302,283
,,Trofa,expl (nº),257,17,18,35,36,22,15,22
,,,efect (nº),"7,266",17,36,121,239,255,249,525
,,Vieira do Minho,expl (nº),648,70,130,214,164,36,13,15
,,,efect (nº),"3,455",70,260,729,"1,065",416,213,345
,,Vila Nova de Famalicão,expl (nº),"1,134",143,186,226,190,86,43,61
,,,efect (nº),"19,470",143,372,782,"1,256","1,005",722,"1,440"
,,Vizela,expl (nº),116,31,29,22,23,3,- ,4
,,,efect (nº),636,31,58,75,138,35,- ,96
,Grande Porto,,expl (nº),"2,361",258,263,284,320,144,97,172
,,,efect (nº),"75,028",258,526,977,"2,097","1,684","1,623","4,155"
,,Espinho,expl (nº),15,2,5,4,3,- ,1,- 
,,,efect (nº),60,... ,10,14,17,- ,... ,- 
,,Gondomar,expl (nº),212,64,44,42,29,11,5,6
,,,efect (nº),"1,565",64,88,142,181,122,85,132
,,Maia,expl (nº),254,20,23,39,37,22,10,28
,,,efect (nº),"6,630",20,46,135,255,269,162,697
,,Matosinhos,expl (nº),237,7,18,25,45,20,12,27
,,,efect (nº),"6,426",7,36,88,298,237,191,642
,,Póvoa de Varzim,expl (nº),553,85,56,55,62,39,19,39
,,,efect (nº),"18,048",85,112,183,411,458,317,925
,,Valongo,expl (nº),149,24,36,31,16,5,8,8
,,,efect (nº),"2,004",24,72,104,100,58,136,185
,,Vila do Conde,expl (nº),747,10,24,49,97,42,41,61
,,,efect (nº),"38,752",10,48,176,633,485,698,"1,508"
,,Vila Nova de Gaia,expl (nº),194,46,57,39,31,5,1,3
,,,efect (nº),"1,543",46,114,135,202,55,... ,66
,Tâmega,,expl (nº),"9,375","2,047","2,411","2,530","1,605",367,132,130
,,,efect (nº),"44,896","2,047","4,822","8,726","10,208","4,227","2,190","3,080"
,,Amarante,expl (nº),914,229,253,266,116,18,5,18
,,,efect (nº),"3,569",229,506,925,727,200,83,411
,,Baião,expl (nº),460,176,126,118,30,5,- ,2
,,,efect (nº),"1,358",176,252,399,179,55,- ,... 
,,Cabeceiras de Basto,expl (nº),673,100,134,184,155,56,20,19
,,,efect (nº),"3,643",100,268,631,"1,024",666,339,431
,,Castelo de Paiva,expl (nº),283,89,104,49,21,6,5,3
,,,efect (nº),"1,028",89,208,170,132,69,78,68
,,Celorico de Basto,expl (nº),"1,108",266,282,292,204,34,7,9
,,,efect (nº),"4,495",266,564,994,"1,263",386,117,226
,,Cinfães,expl (nº),"1,109",259,283,335,212,16,2,1
,,,efect (nº),"3,580",259,566,"1,150","1,324",184,... ,... 
,,Felgueiras,expl (nº),631,125,165,148,105,37,15,17
,,,efect (nº),"3,940",125,330,529,674,424,251,401
,,Lousada,expl (nº),454,49,110,99,91,49,16,18
,,,efect (nº),"4,435",49,220,351,593,580,266,433
,,Marco de Canaveses,expl (nº),748,236,234,175,83,11,6,- 
,,,efect (nº),"2,218",236,468,601,493,126,106,- 
,,Mondim de Basto,expl (nº),502,72,114,186,97,22,6,3
,,,efect (nº),"2,063",72,228,646,616,252,98,71
,,Paços de Ferreira,expl (nº),357,73,88,86,60,16,7,7
,,,efect (nº),"2,365",73,176,297,381,184,114,170
,,Paredes,expl (nº),586,121,138,142,110,25,18,17
,,,efect (nº),"3,699",121,276,485,748,287,294,420
,,Penafiel,expl (nº),828,185,257,218,113,20,7,9
,,,efect (nº),"4,099",185,514,758,689,230,110,213
,,Resende,expl (nº),257,27,48,99,75,4,2,- 
,,,efect (nº),"1,145",27,96,333,476,45,... ,- 
