Principais características do produtor singular - Mulher (Página 3),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 9/18
,,,Fafe,Guimarães,Póvoa de Lanhoso,Santo Tirso,Trofa,Vieira do Minho,Vila Nova de Famalicão,Vizela,Grande Porto,Espinho
,,,nº de indivíduos,,,,,,,,,
Mulher,,,,,,,,,,,,
Produtor singular,,,759,277,325,159,67,506,273,19,"1,038",10
,Autónomo,,754,248,317,139,64,497,246,15,993,10
,Empresário,,5,29,8,20,3,9,27,4,45,- 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,207,77,71,26,6,68,38,8,98,1
,Sabe ler e escrever,,217,57,89,39,8,148,53,3,232,3
,Básico - 1º ciclo,,278,86,125,62,41,220,109,3,518,4
,Básico - 2º ciclo,,35,19,26,9,7,56,35,1,107,2
,Básico - 3º ciclo,,9,8,2,6,1,7,10,2,35,- 
,Secundário agrícola,,- ,- ,- ,- ,- ,- ,1,- ,3,- 
,Secundário não agrícola,,3,14,2,6,- ,3,9,- ,26,- 
,Politécnico / Superior agrícola,,- ,1,- ,- ,- ,- ,- ,- ,4,- 
,Politécnico / Superior não agrícola,,10,15,10,11,4,4,18,2,15,- 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,741,252,306,151,55,478,241,18,855,10
,Curta duração,,14,5,14,1,5,14,8,1,42,- 
,Longa duração,,3,8,2,2,- ,13,22,- ,71,- 
,Longa e curta duração,,1,11,3,5,7,1,1,- ,63,- 
,Completa,,- ,1,- ,- ,- ,- ,1,- ,7,- 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,399,177,243,106,9,439,253,9,334,3
,,> 0 - < 25%,49,50,39,31,2,22,36,3,56,1
,,25 - < 50%,50,31,49,24,2,53,49,2,70,1
,,50 - < 75%,143,23,60,12,5,47,94,3,79,- 
,,75 - < 100%,157,73,95,39,- ,317,74,1,129,1
,Tempo completo,,360,100,82,53,58,67,20,10,704,7
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,33,33,21,14,6,35,32,2,74,1
,,Sector primário,1,1,1,- ,- ,4,2,- ,3,- 
,,Sector secundário,13,13,5,3,1,5,11,- ,25,1
,,Sector terciário,19,19,15,11,5,26,19,2,46,- 
,Secúndária,,6,3,12,- ,2,6,1,- ,10,- 
,,Sector primário,3,- ,9,- ,- ,2,- ,- ,5,- 
,,Sector secundário,1,- ,- ,- ,1,- ,- ,- ,3,- 
,,Sector terciário,2,3,3,- ,1,4,1,- ,2,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,6,7,3,4,2,8,6,1,7,- 
,Trabalhador por conta própria,,7,1,9,1,2,13,1,- ,22,- 
,Trabalhador por conta de outrem,,26,26,20,9,4,17,25,1,54,1
,Trabalhador familiar remunerado,,- ,- ,1,- ,- ,1,- ,- ,- ,- 
,Outra situação,,- ,2,- ,- ,- ,2,1,- ,1,- 
Produtor singular dirigente,,,741,251,310,154,67,496,267,18,984,9
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
