Principais características do produtor singular - Homem/Mulher (Página 5),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 13/18
,,,Cabeceiras de Basto,Castelo de Paiva,Celorico de Basto,Cinfães,Felgueiras,Lousada,Marco de Canaveses,Mondim de Basto,Paços de Ferreira,Paredes
,,,nº de indivíduos,,,,,,,,,
Homem / Mulher,,,,,,,,,,,,
Produtor singular,,,"1,256",748,"1,764","1,767","1,443",939,"1,746",789,601,"1,175"
,Autónomo,,"1,220",738,"1,748","1,741","1,384",892,"1,640",780,573,"1,125"
,Empresário,,36,10,16,26,59,47,106,9,28,50
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,290,104,403,359,275,160,399,162,90,119
,Sabe ler e escrever,,237,141,380,445,285,151,390,213,85,242
,Básico - 1º ciclo,,533,385,821,793,702,481,773,320,366,656
,Básico - 2º ciclo,,113,73,89,124,59,52,56,63,21,64
,Básico - 3º ciclo,,30,11,25,15,37,28,30,17,12,30
,Secundário agrícola,,- ,- ,3,- ,5,3,10,3,2,- 
,Secundário não agrícola,,20,11,21,14,29,21,32,6,7,35
,Politécnico / Superior agrícola,,5,- ,4,- ,6,5,9,1,4,3
,Politécnico / Superior não agrícola,,28,23,18,17,45,38,47,4,14,26
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,"1,158",696,"1,677","1,735","1,325",805,"1,650",720,555,"1,095"
,Curta duração,,66,35,57,25,50,60,49,43,18,24
,Longa duração,,21,7,13,3,29,31,14,10,15,28
,Longa e curta duração,,6,10,10,4,28,35,14,12,7,25
,Completa,,5,- ,7,- ,11,8,19,4,6,3
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,997,519,764,"1,464",977,582,872,458,529,754
,,> 0 - < 25%,204,77,224,113,271,158,202,81,94,178
,,25 - < 50%,224,95,137,152,285,145,234,66,90,156
,,50 - < 75%,250,104,230,254,119,109,106,84,90,145
,,75 - < 100%,319,243,173,945,302,170,330,227,255,275
,Tempo completo,,259,229,"1,000",303,466,357,874,331,72,421
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,237,139,260,216,420,267,396,104,157,257
,,Sector primário,40,28,49,35,45,37,55,21,11,22
,,Sector secundário,78,59,111,82,205,110,165,30,103,98
,,Sector terciário,119,52,100,99,170,120,176,53,43,137
,Secúndária,,37,5,53,56,45,25,43,18,4,17
,,Sector primário,30,4,38,21,30,18,20,8,1,11
,,Sector secundário,3,- ,6,31,6,1,3,4,1,3
,,Sector terciário,4,1,9,4,9,6,20,6,2,3
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,17,13,36,40,87,56,96,15,24,68
,Trabalhador por conta própria,,75,34,82,40,74,48,53,22,42,53
,Trabalhador por conta de outrem,,182,97,192,189,302,188,288,82,90,148
,Trabalhador familiar remunerado,,- ,- ,- ,2,- ,- ,2,2,5,1
,Outra situação,,- ,- ,3,1,2,- ,- ,1,- ,4
Produtor singular dirigente,,,"1,230",739,"1,705","1,754","1,404",930,"1,620",775,584,"1,139"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
