Efectivo animal (Ilha da Madeira - Santa Cruz),,,,,,,,,,,,,
,,,,,,,,,,,,,Pág. 2/3
,,,,Machico,,Ponta do Sol,,Porto Moniz,,Ribeira Brava,,Santa Cruz,
,,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,,   210 ,   262 ,   152 ,   204 ,   216 ,   520 ,   204 ,   320 ,   172 ,   798 
,Bovinos com menos de 1 ano,,,   71 ,   84 ,   53 ,   61 ,   76 ,   120 ,   84 ,   101 ,   79 ,   276 
,,Vitelos de carne (para abate < 1 ano),,   30 ,   36 ,   13 ,   13 ,   4 ,   5 ,   9 ,   12 ,   54 ,   173 
,,Outros vitelos,,   41 ,   48 ,   40 ,   48 ,   72 ,   115 ,   76 ,   89 ,   29 ,   103 
,,,Machos,   11 ,   16 ,   16 ,   18 ,   31 ,   44 ,   52 ,   61 ,   11 ,   49 
,,,Fêmeas,   30 ,   32 ,   25 ,   30 ,   47 ,   71 ,   27 ,   28 ,   20 ,   54 
,Bovinos de 1 a menos de 2 anos,,,   93 ,   102 ,   81 ,   93 ,   83 ,   123 ,   63 ,   68 ,   68 ,   301 
,,Machos,,   21 ,   23 ,   21 ,   22 ,   18 ,   22 ,   23 ,   24 ,   44 ,   159 
,,Fêmeas reprodutoras,,   68 ,   71 ,   57 ,   63 ,   45 ,   71 ,   39 ,   42 ,   21 ,   69 
,,Fêmeas não reprodutoras,,   6 ,   8 ,   8 ,   8 ,   23 ,   30 ,   2 ,... ,   8 ,   73 
,Bovinos de 2 anos e mais,,,   63 ,   76 ,   38 ,   50 ,   108 ,   277 ,   92 ,   151 ,   84 ,   221 
,,Machos,,   10 ,   11 ,   4 ,   4 ,   13 ,   15 ,   11 ,   15 ,   8 ,   15 
,,Novilhas reprodutoras,,   21 ,   23 ,   18 ,   26 ,   58 ,   97 ,   11 ,   13 ,   17 ,   23 
,,Novilhas não reprodutoras,,   4 ,   5 ,   2 ,... ,   4 ,   4 ,   2 ,... ,- ,- 
,,Vacas leiteiras,,   33 ,   37 ,   10 ,   10 ,   36 ,   120 ,   71 ,   107 ,   62 ,   174 
,,Outras vacas,,- ,- ,   7 ,   8 ,   25 ,   41 ,   10 ,   14 ,   6 ,   9 
SUÍNOS,,,,   309 ,   561 ,   476 ,   662 ,   217 ,   317 ,   665 ,   998 ,   324 ,  17 854 
,Suínos com menos de 20 kg de PV,,,   78 ,   200 ,   47 ,   90 ,   61 ,   75 ,   158 ,   296 ,   67 ,  4 870 
,Fêmeas reprodutoras de 50 kg de PV e mais,,,   45 ,   83 ,   80 ,   104 ,   7 ,   11 ,   36 ,   40 ,   50 ,  1 993 
,Outros suínos,,,   204 ,   278 ,   391 ,   468 ,   154 ,   231 ,   527 ,   662 ,   255 ,  10 991 
OVINOS,,,,   86 ,   278 ,   102 ,   626 ,   22 ,   109 ,   123 ,   650 ,   82 ,  1 543 
,Fêmeas reprodutoras,,,   84 ,   259 ,   92 ,   539 ,   21 ,   101 ,   111 ,   483 ,   70 ,  1 234 
,Outros ovinos,,,   9 ,   19 ,   35 ,   87 ,   4 ,   8 ,   84 ,   167 ,   51 ,   309 
CAPRINOS,,,,   362 ,   826 ,   54 ,   231 ,   69 ,   224 ,   332 ,  1 236 ,   414 ,   962 
,Fêmeas reprodutoras,,,   357 ,   777 ,   50 ,   188 ,   61 ,   180 ,   312 ,   873 ,   391 ,   722 
,Outros caprinos,,,   38 ,   49 ,   26 ,   43 ,   21 ,   44 ,   132 ,   363 ,   125 ,   240 
