Efectivo animal (Ilha de Porto Santo),,,,,,,,,
,,,,,,,,,Pág. 3/3
,,,,Santana,,São Vicente,,Ilha de Porto Santo                                                                         (Porto Santo),
,,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,,   404 ,   650 ,   72 ,   84 ,   15 ,   143 
,Bovinos com menos de 1 ano,,,   127 ,   153 ,   36 ,   38 ,   12 ,   45 
,,Vitelos de carne (para abate < 1 ano),,   8 ,   11 ,   13 ,   13 ,   2 ,... 
,,Outros vitelos,,   119 ,   142 ,   23 ,   25 ,   12 ,   43 
,,,Machos,   49 ,   62 ,   20 ,   21 ,   7 ,   13 
,,,Fêmeas,   73 ,   80 ,   4 ,   4 ,   10 ,   30 
,Bovinos de 1 a menos de 2 anos,,,   110 ,   124 ,   26 ,   26 ,   11 ,   29 
,,Machos,,   51 ,   59 ,   16 ,   16 ,   6 ,   12 
,,Fêmeas reprodutoras,,   29 ,   29 ,   4 ,   4 ,   8 ,   17 
,,Fêmeas não reprodutoras,,   33 ,   36 ,   6 ,   6 ,- ,- 
,Bovinos de 2 anos e mais,,,   259 ,   373 ,   13 ,   20 ,   13 ,   69 
,,Machos,,   43 ,   55 ,   2 ,... ,   2 ,... 
,,Novilhas reprodutoras,,   49 ,   55 ,   4 ,   7 ,   11 ,   52 
,,Novilhas não reprodutoras,,   15 ,   16 ,- ,- ,- ,- 
,,Vacas leiteiras,,   159 ,   212 ,   2 ,... ,   2 ,... 
,,Outras vacas,,   28 ,   35 ,   5 ,   9 ,   1 ,... 
SUÍNOS,,,,   566 ,   915 ,   274 ,   493 ,   4 ,   29 
,Suínos com menos de 20 kg de PV,,,   74 ,   146 ,   56 ,   147 ,   1 ,... 
,Fêmeas reprodutoras de 50 kg de PV e mais,,,   43 ,   58 ,   24 ,   31 ,   2 ,... 
,Outros suínos,,,   494 ,   711 ,   210 ,   315 ,   4 ,   22 
OVINOS,,,,   155 ,  1 156 ,   47 ,   134 ,   2 ,... 
,Fêmeas reprodutoras,,,   143 ,   754 ,   44 ,   101 ,   2 ,... 
,Outros ovinos,,,   72 ,   402 ,   21 ,   33 ,   1 ,... 
CAPRINOS,,,,   627 ,  2 053 ,   203 ,   569 ,   12 ,   118 
,Fêmeas reprodutoras,,,   546 ,  1 441 ,   192 ,   472 ,   10 ,   69 
,Outros caprinos,,,   302 ,   612 ,   66 ,   97 ,   11 ,   49 
EQUÍDEOS,,,,   2 ,... ,- ,- ,   3 ,   6 
,Gado equino,,,   1 ,... ,- ,- ,   2 ,... 
,,Fêmeas reprodutoras,,- ,- ,- ,- ,   1 ,... 
,,Outros equinos,,   1 ,... ,- ,- ,   1 ,... 
,Gado asinino,,,   1 ,... ,- ,- ,- ,- 
,Gado muar,,,- ,- ,- ,- ,   1 ,... 
