Explorações segundo o número de bovinos (classe >= 300 animais),,,,,,,,,
,,,,,,,,,Pág. 2/2
REGIÃO AGRÁRIA,,,Classes do número de animais,,,,,,
Ilha / Concelho,,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300
MADEIRA,,expl (nº),- ,   2 ,- ,   2 ,   1 ,   1 ,- 
,,efect (nº),- ,... ,- ,... ,... ,... ,- 
Ilha da Madeira,,expl (nº),- ,   2 ,- ,   2 ,   1 ,   1 ,- 
,,efect (nº),- ,... ,- ,... ,... ,... ,- 
,Calheta,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,Câmara de Lobos,expl (nº),- ,- ,- ,   1 ,- ,- ,- 
,,efect (nº),- ,- ,- ,... ,- ,- ,- 
,Funchal,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,Machico,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,Ponta do Sol,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,Porto Moniz,expl (nº),- ,- ,- ,   1 ,- ,- ,- 
,,efect (nº),- ,- ,- ,... ,- ,- ,- 
,Ribeira Brava,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,Santa Cruz,expl (nº),- ,   2 ,- ,- ,   1 ,   1 ,- 
,,efect (nº),- ,... ,- ,- ,... ,... ,- 
,Santana,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,São Vicente,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,efect (nº),- ,- ,- ,- ,- ,- ,- 
Ilha de Porto Santo ( Porto Santo ),,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,efect (nº),- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,
