Principais características da população familiar (Homem / Mulher),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág. 1/3
Homem / Mulher (nº indivíduos),,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P.Santo)
População familiar,,,  44 456 ,  43 984 ,  5 282 ,  5 811 ,  3 587 ,  4 233 ,  3 980 ,  1 747 ,  5 720 ,  3 967 ,  5 894 ,  3 763 ,   472 
Nível de instrução,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  10 320 ,  10 258 ,  1 150 ,  1 249 ,   517 ,   966 ,   987 ,   383 ,  1 629 ,   694 ,  1 516 ,  1 167 ,   62 
,Sabe ler e escrever,,  6 141 ,  6 089 ,   799 ,   753 ,   397 ,   389 ,   603 ,   165 ,   984 ,   471 ,   992 ,   536 ,   52 
,Básico - 1º ciclo,,  14 993 ,  14 820 ,  2 010 ,  1 987 ,  1 279 ,  1 651 ,  1 223 ,   680 ,  1 647 ,  1 420 ,  1 718 ,  1 205 ,   173 
,Básico - 2º ciclo,,  5 365 ,  5 295 ,   541 ,   777 ,   427 ,   468 ,   520 ,   240 ,   620 ,   582 ,   748 ,   372 ,   70 
,Básico - 3º ciclo,,  3 901 ,  3 844 ,   404 ,   574 ,   417 ,   404 ,   311 ,   137 ,   498 ,   378 ,   455 ,   266 ,   57 
,Secundário agrícola,,   12 ,   12 ,- ,   2 ,- ,   1 ,   3 ,- ,- ,   1 ,   4 ,   1 ,- 
,Secundário não agrícola,,  2 669 ,  2 619 ,   303 ,   341 ,   328 ,   270 ,   239 ,   89 ,   239 ,   309 ,   345 ,   156 ,   50 
,Politécnico / Superior agrícola,,   17 ,   17 ,   1 ,   1 ,   3 ,- ,- ,   2 ,- ,   2 ,   7 ,   1 ,- 
,Politécnico / Superior não agrícola,,  1 038 ,  1 030 ,   74 ,   127 ,   219 ,   84 ,   94 ,   51 ,   103 ,   110 ,   109 ,   59 ,   8 
Formação profissional agrícola,,,,,,,,,,,,,,,
,Exclusivamente prática,,  33 270 ,  33 116 ,  4 183 ,  4 453 ,  2 105 ,  3 091 ,  3 052 ,  1 294 ,  4 412 ,  3 012 ,  4 593 ,  2 921 ,   154 
,Curta duração,,   78 ,   76 ,   13 ,   14 ,   15 ,   2 ,   9 ,   5 ,   3 ,   10 ,   2 ,   3 ,   2 
,Longa duração,,   154 ,   154 ,   15 ,   24 ,   14 ,   4 ,   17 ,   1 ,   7 ,   23 ,   38 ,   11 ,- 
