Principais características da população familiar (Mulher),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág. 3/3
Mulher (nº indivíduos),,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P.Santo)
População familiar,,,  23 821 ,  23 595 ,  2 932 ,  3 096 ,  1 809 ,  2 223 ,  2 211 ,   976 ,  3 196 ,  1 989 ,  3 122 ,  2 041 ,   226 
Nível de instrução,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  5 716 ,  5 689 ,   612 ,   684 ,   273 ,   573 ,   516 ,   231 ,   972 ,   380 ,   802 ,   646 ,   27 
,Sabe ler e escrever,,  3 736 ,  3 704 ,   465 ,   448 ,   240 ,   236 ,   384 ,   89 ,   608 ,   299 ,   609 ,   326 ,   32 
,Básico - 1º ciclo,,  7 825 ,  7 743 ,  1 157 ,  1 043 ,   620 ,   813 ,   670 ,   397 ,   881 ,   671 ,   868 ,   623 ,   82 
,Básico - 2º ciclo,,  2 485 ,  2 458 ,   261 ,   353 ,   200 ,   198 ,   274 ,   118 ,   300 ,   229 ,   347 ,   178 ,   27 
,Básico - 3º ciclo,,  1 791 ,  1 769 ,   189 ,   265 ,   169 ,   170 ,   164 ,   71 ,   234 ,   160 ,   211 ,   136 ,   22 
,Secundário agrícola,,   4 ,   4 ,- ,   1 ,- ,- ,   1 ,- ,- ,   1 ,   1 ,- ,- 
,Secundário não agrícola,,  1 587 ,  1 559 ,   195 ,   222 ,   171 ,   169 ,   139 ,   40 ,   140 ,   177 ,   210 ,   96 ,   28 
,Politécnico / Superior agrícola,,   4 ,   4 ,- ,   1 ,   1 ,- ,- ,- ,- ,   1 ,   1 ,- ,- 
,Politécnico / Superior não agrícola,,   673 ,   665 ,   53 ,   79 ,   135 ,   64 ,   63 ,   30 ,   61 ,   71 ,   73 ,   36 ,   8 
Formação profissional agrícola,,,,,,,,,,,,,,,
,Exclusivamente prática,,  17 583 ,  17 558 ,  2 333 ,  2 346 ,   851 ,  1 534 ,  1 719 ,   757 ,  2 479 ,  1 463 ,  2 457 ,  1 619 ,   25 
,Curta duração,,   32 ,   32 ,   7 ,   6 ,   4 ,   2 ,   3 ,   2 ,   1 ,   4 ,   1 ,   2 ,- 
,Longa duração,,   69 ,   69 ,   10 ,   7 ,   2 ,   3 ,   8 ,   1 ,   2 ,   8 ,   22 ,   6 ,- 
,Longa e curta duração,,   30 ,   30 ,   1 ,   8 ,   1 ,- ,   3 ,- ,   2 ,   4 ,   10 ,   1 ,- 
,Completa,,   8 ,   8 ,- ,   2 ,   1 ,- ,   1 ,- ,- ,   2 ,   2 ,- ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,
,Sem actividade,,  7 083 ,  6 882 ,   683 ,   888 ,   970 ,   738 ,   605 ,   264 ,   992 ,   555 ,   733 ,   454 ,   201 
,Tempo parcial,,  16 394 ,  16 370 ,  2 190 ,  2 201 ,   833 ,  1 485 ,  1 585 ,   673 ,  2 189 ,  1 359 ,  2 270 ,  1 585 ,   24 
,,> 0 - < 25%,  8 655 ,  8 639 ,   933 ,  1 658 ,   626 ,   861 ,   650 ,   180 ,  1 028 ,   850 ,  1 018 ,   835 ,   16 
,,25 - < 50%,  3 846 ,  3 841 ,   652 ,   376 ,   131 ,   311 ,   364 ,   132 ,   707 ,   262 ,   540 ,   366 ,   5 
,,50 - < 75%,  2 497 ,  2 496 ,   404 ,   131 ,   50 ,   106 ,   306 ,   291 ,   361 ,   143 ,   377 ,   327 ,   1 
,,75 - < 100%,  1 396 ,  1 394 ,   201 ,   36 ,   26 ,   207 ,   265 ,   70 ,   93 ,   104 ,   335 ,   57 ,   2 
,Tempo completo,,   344 ,   343 ,   59 ,   7 ,   6 ,- ,   21 ,   39 ,   15 ,   75 ,   119 ,   2 ,   1 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,
,Principal,,  5 430 ,  5 374 ,   406 ,   784 ,   540 ,   527 ,   385 ,   144 ,  1 181 ,   548 ,   485 ,   374 ,   56 
,,Sector primário,   536 ,   536 ,   20 ,   26 ,   13 ,   131 ,   59 ,   1 ,   37 ,   45 ,   81 ,   123 ,- 
,,Sector secundário,  1 375 ,  1 373 ,   39 ,   253 ,   57 ,   75 ,   59 ,   17 ,   764 ,   52 ,   27 ,   30 ,   2 
,,Sector terciário,  3 519 ,  3 465 ,   347 ,   505 ,   470 ,   321 ,   267 ,   126 ,   380 ,   451 ,   377 ,   221 ,   54 
,Secundária,,   203 ,   203 ,   3 ,   14 ,- ,   1 ,   8 ,- ,   149 ,   18 ,   8 ,   2 ,- 
,,Sector primário,   6 ,   6 ,- ,- ,- ,- ,- ,- ,- ,   4 ,   1 ,   1 ,- 
,,Sector secundário,   177 ,   177 ,- ,   14 ,- ,   1 ,   4 ,- ,   149 ,   4 ,   4 ,   1 ,- 
,,Sector terciário,   20 ,   20 ,   3 ,- ,- ,- ,   4 ,- ,- ,   10 ,   3 ,- ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,
,Patrão/empregador,,   122 ,   121 ,   8 ,   11 ,   20 ,   9 ,   12 ,   8 ,   22 ,   13 ,   11 ,   7 ,   1 
,Trabalhador por conta própria,,   487 ,   487 ,   34 ,   44 ,   27 ,   125 ,   22 ,   11 ,   52 ,   80 ,   70 ,   22 ,- 
,Trabalhador por conta de outrem,,  4 894 ,  4 839 ,   359 ,   667 ,   478 ,   391 ,   350 ,   125 ,  1 253 ,   471 ,   408 ,   337 ,   55 
,Trabalhador familiar remunerado,,   23 ,   23 ,- ,   5 ,   9 ,- ,   2 ,- ,   3 ,- ,   2 ,   2 ,- 
,Outra situação,,   107 ,   107 ,   8 ,   71 ,   6 ,   3 ,   7 ,- ,- ,   2 ,   2 ,   8 ,- 
Dirigente na população familiar,,,  5 797 ,  5 779 ,   887 ,   592 ,   384 ,   527 ,   535 ,   329 ,   902 ,   295 ,   723 ,   605 ,   18 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
