Principais características do produtor singular (Homem),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág 2/3
Homem (nº de indivíduos),,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P. Santo)
Produtor singular,,,  8 309 ,  8 193 ,   949 ,  1 086 ,   828 ,   776 ,   681 ,   251 ,   779 ,   775 ,  1 264 ,   804 ,   116 
,Autónomo,,  8 216 ,  8 100 ,   945 ,  1 024 ,   822 ,   774 ,   678 ,   251 ,   774 ,   767 ,  1 263 ,   802 ,   116 
,Empresário,,   93 ,   93 ,   4 ,   62 ,   6 ,   2 ,   3 ,- ,   5 ,   8 ,   1 ,   2 ,- 
Nível de instrução,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  2 474 ,  2 451 ,   255 ,   313 ,   140 ,   246 ,   255 ,   59 ,   276 ,   174 ,   421 ,   312 ,   23 
,Sabe ler e escrever,,  1 236 ,  1 228 ,   177 ,   181 ,   106 ,   67 ,   114 ,   28 ,   145 ,   102 ,   203 ,   105 ,   8 
,Básico - 1º ciclo,,  3 864 ,  3 797 ,   470 ,   500 ,   424 ,   411 ,   251 ,   145 ,   308 ,   434 ,   522 ,   332 ,   67 
,Básico - 2º ciclo,,   368 ,   357 ,   23 ,   51 ,   45 ,   34 ,   33 ,   7 ,   28 ,   34 ,   81 ,   21 ,   11 
,Básico - 3º ciclo,,   195 ,   192 ,   14 ,   22 ,   63 ,   12 ,   14 ,   3 ,   12 ,   13 ,   16 ,   23 ,   3 
,Secundário agrícola,,   3 ,   3 ,- ,- ,- ,- ,   1 ,- ,- ,- ,   1 ,   1 ,- 
,Secundário não agrícola,,   105 ,   101 ,   7 ,   15 ,   30 ,   5 ,   8 ,   6 ,   2 ,   10 ,   15 ,   3 ,   4 
,Politécnico / Superior agrícola,,   8 ,   8 ,   1 ,- ,- ,- ,- ,   1 ,- ,   1 ,   4 ,   1 ,- 
,Politécnico / Superior não agrícola,,   56 ,   56 ,   2 ,   4 ,   20 ,   1 ,   5 ,   2 ,   8 ,   7 ,   1 ,   6 ,- 
Formação profissional agrícola,,,,,,,,,,,,,,,
,Exclusivamente prática,,  8 179 ,  8 065 ,   942 ,  1 056 ,   813 ,   775 ,   672 ,   248 ,   773 ,   755 ,  1 232 ,   799 ,   114 
,Curta duração,,   31 ,   29 ,   2 ,   8 ,   8 ,- ,   2 ,   2 ,   2 ,   4 ,   1 ,- ,   2 
,Longa duração,,   48 ,   48 ,   4 ,   7 ,   6 ,- ,   4 ,- ,   3 ,   10 ,   11 ,   3 ,- 
,Longa e curta duração,,   40 ,   40 ,- ,   15 ,   1 ,   1 ,   2 ,- ,   1 ,   5 ,   15 ,- ,- 
,Completa,,   11 ,   11 ,   1 ,- ,- ,- ,   1 ,   1 ,- ,   1 ,   5 ,   2 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,
,Tempo parcial,,  7 682 ,  7 571 ,   893 ,   972 ,   785 ,   776 ,   610 ,   241 ,   751 ,   591 ,  1 158 ,   794 ,   111 
,,> 0 - < 25%,  3 103 ,  3 097 ,   356 ,   480 ,   452 ,   334 ,   184 ,   66 ,   177 ,   270 ,   368 ,   410 ,   6 
,,25 - < 50%,  2 110 ,  2 081 ,   223 ,   258 ,   133 ,   272 ,   138 ,   64 ,   301 ,   166 ,   319 ,   207 ,   29 
,,50 - < 75%,  1 354 ,  1 300 ,   216 ,   125 ,   92 ,   72 ,   107 ,   93 ,   142 ,   80 ,   234 ,   139 ,   54 
,,75 - < 100%,  1 115 ,  1 093 ,   98 ,   109 ,   108 ,   98 ,   181 ,   18 ,   131 ,   75 ,   237 ,   38 ,   22 
,Tempo completo,,   627 ,   622 ,   56 ,   114 ,   43 ,- ,   71 ,   10 ,   28 ,   184 ,   106 ,   10 ,   5 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,
