Produtor singular segundo a OTE e as classes de idade (Bovinos para gado/carne - Ilha de Porto Santo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Pág. 2/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha / Concelho,,,nº de indivíduos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Porto Moniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,   581 ,- ,   98 ,   23 ,   98 ,   9 ,- ,   47 ,   1 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,   6 ,- ,   1 ,- ,   2 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   21 ,- ,   2 ,   1 ,   1 ,   1 ,- ,- ,- ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   68 ,- ,   15 ,   6 ,   8 ,   2 ,- ,   4 ,- ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   125 ,- ,   19 ,   4 ,   17 ,   1 ,- ,   8 ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   137 ,- ,   22 ,   8 ,   20 ,   2 ,- ,   15 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   224 ,- ,   39 ,   4 ,   50 ,   3 ,- ,   20 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ribeira Brava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
