"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (OTE)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág. 2/2
,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo  (P.Santo)
OTE,expl (nº),  14 526 ,  14 390 ,  1 844 ,  1 805 ,  1 340 ,  1 325 ,  1 258 ,   583 ,  1 692 ,  1 103 ,  2 031 ,  1 409 ,   136 
,SAU (ha),  5 646 ,  5 224 ,   582 ,   523 ,   339 ,   533 ,   440 ,   305 ,   509 ,   360 ,  1 133 ,   500 ,   422 
Cereais e plantas olea./proteaginosas,expl (nº),   15 ,   12 ,- ,- ,- ,   4 ,   7 ,- ,- ,- ,   1 ,- ,   3 
,SAU (ha),   66 ,   1 ,- ,- ,- ,o ,   1 ,- ,- ,- ,... ,- ,   65 
Culturas agrícolas diversas,expl (nº),  1 982 ,  1 980 ,   369 ,   162 ,   34 ,   113 ,   379 ,   98 ,   137 ,   191 ,   337 ,   160 ,   2 
,SAU (ha),   582 ,   581 ,   101 ,   32 ,   6 ,   34 ,   135 ,   32 ,   30 ,   53 ,   130 ,   28 ,... 
Horticultura,expl (nº),  1 152 ,  1 151 ,   60 ,   179 ,   96 ,   168 ,   55 ,   23 ,   146 ,   249 ,   148 ,   27 ,   1 
,SAU (ha),   357 ,   357 ,   18 ,   46 ,   31 ,   37 ,   20 ,   15 ,   30 ,   103 ,   53 ,   4 ,... 
Viticultura,expl (nº),  1 765 ,  1 662 ,   167 ,   424 ,   76 ,   59 ,   11 ,   98 ,   70 ,   12 ,   307 ,   438 ,   103 
,SAU (ha),   649 ,   572 ,   27 ,   94 ,   8 ,   32 ,   2 ,   54 ,   12 ,   1 ,   168 ,   174 ,   77 
Fruticultura,expl (nº),  2 849 ,  2 849 ,   282 ,   486 ,   891 ,   56 ,   494 ,   10 ,   293 ,   173 ,   124 ,   40 ,- 
,SAU (ha),   948 ,   948 ,   84 ,   189 ,   195 ,   14 ,   174 ,   7 ,   103 ,   59 ,   94 ,   29 ,- 
Olivicultura,expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,SAU (ha),- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Culturas permanentes diversas,expl (nº),   916 ,   914 ,   117 ,   119 ,   53 ,   97 ,   23 ,   47 ,   104 ,   24 ,   190 ,   140 ,   2 
,SAU (ha),   497 ,   493 ,   37 ,   51 ,   14 ,   72 ,   8 ,   27 ,   35 ,   5 ,   157 ,   87 ,... 
Bovinos de leite,expl (nº),   14 ,   13 ,   7 ,- ,- ,- ,- ,   1 ,- ,   2 ,   3 ,- ,   1 
,SAU (ha),   34 ,   14 ,   6 ,- ,- ,- ,- ,... ,- ,... ,   7 ,- ,... 
Bovinos para gado/carne,expl (nº),   15 ,   11 ,   2 ,- ,   2 ,   1 ,   2 ,   2 ,- ,   2 ,- ,- ,   4 
,SAU (ha),   38 ,   1 ,... ,- ,... ,... ,... ,... ,- ,... ,- ,- ,   37 
Bovinos para leite/gado/carne,expl (nº),   11 ,   11 ,   4 ,- ,- ,- ,- ,   4 ,- ,   3 ,- ,- ,- 
,SAU (ha),   13 ,   13 ,   2 ,- ,- ,- ,- ,   10 ,- ,   1 ,- ,- ,- 
Ovinos/caprinos/out. herbívoros,expl (nº),   66 ,   61 ,   23 ,   3 ,   9 ,- ,   5 ,   1 ,   3 ,   9 ,   5 ,   3 ,   5 
,SAU (ha),   111 ,   33 ,   14 ,o ,   1 ,- ,   1 ,... ,o ,   4 ,   11 ,   1 ,   78 
Granívoros,expl (nº),   61 ,   60 ,   3 ,   5 ,   14 ,   1 ,   18 ,- ,- ,   18 ,- ,   1 ,   1 
,SAU (ha),   6 ,   6 ,o ,o ,   1 ,... ,   1 ,- ,- ,   4 ,- ,... ,... 
Policultura,expl (nº),  5 001 ,  4 993 ,   638 ,   366 ,   103 ,   803 ,   244 ,   260 ,   857 ,   337 ,   806 ,   579 ,   8 
