"Utilização das terras (Dão-Lafões, página 2)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 8/8
,,,Penalva do Castelo,Santa Comba Dão,São Pedro do Sul,Sátão,Tondela,Vila Nova de Paiva,Viseu,Vouzela
Superfície Total,,expl (nº),"1,326",787,"1,705","1,607","3,423",756,"4,322","1,287"
,,área (ha),"6,648","2,939","8,787","6,145","13,063","4,079","15,733","5,339"
Superfície Agrícola Utilizada (SAU),,expl (nº),"1,326",784,"1,689","1,607","3,414",741,"4,313","1,274"
,,área (ha),"3,492","1,556","3,355","3,442","5,850","2,446","8,144","2,550"
Terra arável,,expl (nº),"1,294",772,"1,675","1,581","3,312",739,"4,197","1,265"
,,área (ha),"1,833",953,"2,281","1,886","3,043","1,159","4,125","1,596"
Terra arável limpa,,expl (nº),"1,294",772,"1,674","1,580","3,311",738,"4,194","1,265"
,,área (ha),"1,833",953,"2,279","1,886","3,016","1,158","4,123","1,596"
,Culturas temporárias,expl (nº),"1,257",745,"1,645","1,535","3,171",727,"4,119","1,245"
,,área (ha),"1,734",835,"2,128","1,771","2,784","1,103","3,805","1,496"
,Pousio (com e sem ajuda),expl (nº),37,136,42,51,103,20,364,12
,,área (ha),26,52,19,32,31,8,117,20
,Horta familiar,expl (nº),"1,222",719,"1,612","1,352","2,911",630,"3,095","1,226"
,,área (ha),71,69,131,84,202,48,198,78
Culturas sob-coberto matas e florestas,,expl (nº),- ,- ,1,1,1,1,6,1
,,área (ha),- ,- ,... ,... ,... ,... ,3,... 
,Culturas temporárias,expl (nº),- ,- ,1,1,1,1,5,1
,,área (ha),- ,- ,... ,... ,... ,... ,2,... 
,Pousio (com e sem ajuda),expl (nº),- ,- ,- ,- ,1,- ,1,- 
,,área (ha),- ,- ,- ,- ,... ,- ,... ,- 
Culturas permanentes,,expl (nº),"1,119",771,"1,584","1,096","3,137",155,"4,079","1,143"
,,área (ha),"1,198",373,376,672,"2,074",74,"3,166",283
Sem culturas sob-coberto,,expl (nº),"1,094",760,"1,574","1,073","3,130",143,"4,035","1,141"
,,área (ha),"1,124",318,317,634,"1,996",66,"2,902",257
Com culturas temporárias,,expl (nº),223,198,140,156,496,19,"1,166",77
,,área (ha),70,51,33,34,70,7,232,13
Com pousio (com e sem ajuda),,expl (nº),1,- ,2,- ,- ,- ,6,1
,,área (ha),... ,- ,... ,- ,- ,- ,o ,... 
Com horta familiar,,expl (nº),37,9,77,8,62,1,388,30
,,área (ha),1,o ,4,o ,1,... ,16,1
Com pastagens permanentes,,expl (nº),5,7,17,12,9,9,89,6
,,área (ha),3,2,20,2,5,1,16,10
Pastagens permanentes,,expl (nº),253,45,741,930,549,673,"1,059",738
,,área (ha),461,229,700,884,734,"1,214",848,676
Em terra limpa,,expl (nº),252,44,741,929,549,673,"1,058",733
,,área (ha),460,229,699,883,731,"1,213",843,630
Sob-coberto de matas e florestas,,expl (nº),1,1,3,2,3,5,9,11
,,área (ha),... ,... ,o ,... ,2,o ,5,45
Matas e florestas sem culturas sob-coberto,,expl (nº),987,665,"1,485","1,316","2,799",539,"3,541","1,155"
,,área (ha),"2,555","1,238","5,175","2,563","6,701","1,408","6,983","2,652"
Superfície Agrícola não utilizada,,expl (nº),214,184,281,133,826,109,792,93
,,área (ha),165,89,164,50,364,82,448,67
Outras superfícies,,expl (nº),"1,214",656,"1,690","1,581","3,225",735,"3,065","1,226"
,,área (ha),433,55,93,90,144,143,161,69
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Centro."
