"Principais Culturas Temporárias (Baixo Mondego, página 2)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 4/9
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Mira,,,,,,,,,,,
,,Culturas temporárias,900,"3,017",881,"1,554",815,"1,464",759,"1,413",183,50
,,Cereais para grão,671,469,472,265,389,203,385,202,7,1
,,Leguminosas secas para grão,248,43,116,16,155,27,136,23,22,3
,,Prados temporários,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,658,"1,734",425,730,597,"1,003",597,"1,002",6,1
,,Batata,736,457,658,399,206,60,67,30,144,29
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,357,268,216,100,234,169,184,154,59,15
,,Flores e plantas ornamentais,9,35,9,35,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,4,2,3,1,1,... ,1,... ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,4,5,3,5,1,... ,1,... ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Montemor-o-Velho,,,,,,,,,,,
,,Culturas temporárias,"2,718","10,506","2,708","7,672","1,852","2,834","1,794","2,765",136,69
,,Cereais para grão,"2,160","5,144","2,148","5,044",124,101,86,78,39,23
,,Leguminosas secas para grão,391,61,342,44,65,21,49,17,19,1
,,Prados temporários,34,31,33,30,2,... ,- ,- ,2,... 
,,Culturas forrageiras,"1,976","5,018","1,404","2,338","1,717","2,684","1,687","2,646",65,36
,,Batata,943,116,892,104,68,12,29,8,39,3
,,Beterraba sacarina,16,40,16,40,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,8,14,8,14,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,196,74,100,55,101,18,93,16,10,1
,,Flores e plantas ornamentais,4,1,3,1,1,... ,1,... ,- ,- 
,,Sementes de culturas forrageiras,10,3,9,3,1,... ,1,... ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,3,1,3,1,- ,- ,- ,- ,- ,- 
,Penacova,,,,,,,,,,,
,,Culturas temporárias,825,"1,147",823,999,339,147,176,85,216,61
,,Cereais para grão,769,597,760,566,117,31,6,1,113,29
,,Leguminosas secas para grão,507,77,496,73,34,3,4,o ,31,3
,,Prados temporários,22,10,20,9,3,1,- ,- ,3,1
,,Culturas forrageiras,607,296,502,191,235,102,170,84,93,18
,,Batata,753,165,735,156,63,9,1,... ,62,8
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,39,5,35,4,4,1,- ,- ,4,1
