"Culturas regadas, página 2",,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 2/2
Região Agrária,,,Beterraba sacarina,Girasol,Tomate para indústria,Hortícolas              ao ar livre,"Prados, Pastagens Permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para Vinho,Olival,Outras excepto a da horta familiar
Nut III,,,,,,,,,,,,,
Concelho,,,,,,,,,,,,,
BEIRA LITORAL,,expl (nº),46,43,10,"6,789","4,191","4,421","2,045",15,- ,639,"28,626"
,,área regada (ha),190,68,53,"2,186","4,447","3,166",322,2,- ,232,"5,911"
Baixo Vouga,,expl (nº),1,2,- ,"1,746",230,690,447,3,- ,36,"2,192"
,,área regada (ha),... ,... ,- ,926,336,235,58,1,- ,5,456
,Águeda,expl (nº),1,1,- ,229,38,76,26,1,- ,- ,258
,,área regada (ha),... ,... ,- ,29,28,48,5,... ,- ,- ,39
,Albergaria-a-Velha,expl (nº),- ,- ,- ,9,10,17,4,- ,- ,- ,82
,,área regada (ha),- ,- ,- ,4,25,8,o ,- ,- ,- ,9
,Anadia,expl (nº),- ,- ,- ,100,1,132,69,- ,- ,5,192
,,área regada (ha),- ,- ,- ,42,... ,52,15,- ,- ,o ,89
,Aveiro,expl (nº),- ,- ,- ,280,28,29,12,- ,- ,- ,295
,,área regada (ha),- ,- ,- ,270,87,9,1,- ,- ,- ,55
,Estarreja,expl (nº),- ,- ,- ,31,57,35,23,- ,- ,- ,94
,,área regada (ha),- ,- ,- ,8,69,3,1,- ,- ,- ,11
,Ílhavo,expl (nº),- ,- ,- ,108,3,1,2,- ,- ,- ,89
,,área regada (ha),- ,- ,- ,46,3,... ,... ,- ,- ,- ,51
,Mealhada,expl (nº),- ,1,- ,166,9,195,184,2,- ,31,291
,,área regada (ha),- ,... ,- ,30,9,30,19,... ,- ,5,48
,Murtosa,expl (nº),- ,- ,- ,64,13,3,- ,- ,- ,- ,29
,,área regada (ha),- ,- ,- ,79,10,o ,- ,- ,- ,- ,7
,Oliveira do Bairro,expl (nº),- ,- ,- ,158,20,129,52,- ,- ,- ,154
,,área regada (ha),- ,- ,- ,60,10,68,5,- ,- ,- ,25
,Ovar,expl (nº),- ,- ,- ,36,5,5,5,- ,- ,- ,110
,,área regada (ha),- ,- ,- ,11,4,1,o ,- ,- ,- ,16
,Sever do Vouga,expl (nº),- ,- ,- ,19,33,44,31,- ,- ,- ,503
,,área regada (ha),- ,- ,- ,2,21,7,2,- ,- ,- ,86
,Vagos,expl (nº),- ,- ,- ,546,13,24,39,- ,- ,- ,95
,,área regada (ha),- ,- ,- ,345,8,9,10,- ,- ,- ,20
Baixo Mondego,,expl (nº),36,18,- ,"1,657",134,"1,072",997,8,- ,94,"2,786"
,,área regada (ha),118,39,- ,624,340,290,192,1,- ,29,808
,Cantanhede,expl (nº),2,2,- ,370,13,270,300,2,- ,13,540
,,área regada (ha),... ,... ,- ,90,9,59,50,... ,- ,1,195
,Coimbra,expl (nº),8,1,- ,575,54,275,250,4,- ,25,519
,,área regada (ha),26,... ,- ,166,111,82,67,o ,- ,10,225
,Condeixa-a-Nova,expl (nº),1,2,- ,173,8,63,25,- ,- ,22,156
,,área regada (ha),... ,... ,- ,63,16,19,5,- ,- ,9,26
,Figueira da Foz,expl (nº),1,- ,- ,116,16,101,79,1,- ,3,491
