"Efectivo animal (Total e Baixo Vouga, página 1)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,pág. 1/12
,,,BEIRA LITORAL,,Baixo Vouga,,Águeda,,Albergaria-a-Velha,,Anadia,,Aveiro,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,"23,929","153,379","6,675","58,766",921,"3,081",634,"5,323",211,"1,907",682,"4,380"
Bovinos com menos de 1 ano,,,"14,404","47,513","4,269","17,317",397,868,422,"1,584",102,579,460,"1,537"
,Vitelos de carne (para abate < 1 ano),,"4,172","9,439",681,"1,962",115,187,103,223,44,317,10,21
,Outros vitelos,,"10,825","38,074","3,713","15,355",297,681,337,"1,361",63,262,453,"1,516"
,,Machos,"6,795","18,023","2,493","6,875",198,318,242,626,44,130,320,812
,,Fêmeas,"6,538","20,051","2,359","8,480",138,363,212,735,26,132,237,704
Bovinos de 1 a menos de 2 anos,,,"6,822","25,614","2,601","11,189",159,421,243,987,53,277,296,944
,Machos,,"3,434","9,749","1,460","4,025",104,187,139,325,29,44,175,481
,Fêmeas reprodutoras,,"3,792","14,893","1,480","6,832",64,216,127,586,22,229,108,382
,Fêmeas não reprodutoras,,554,972,213,332,10,18,39,76,4,4,55,81
Bovinos de 2 anos e mais,,,"16,627","80,252","4,783","30,260",745,"1,792",445,"2,752",119,"1,051",463,"1,899"
,Machos,,700,"1,330",234,457,23,32,20,56,7,11,16,50
,Novilhas reprodutoras,,"1,890","6,526",444,"1,764",33,137,52,161,14,139,27,134
,Novilhas não reprodutoras,,112,228,40,109,4,13,7,10,4,33,4,12
,Vacas leiteiras,,"8,723","59,008","2,817","24,840",122,836,268,"2,102",29,761,149,"1,168"
,Outras vacas,,"7,497","13,160","2,057","3,090",618,774,219,423,79,107,340,535
SUÍNOS,,,"48,219","475,420","12,220","70,512","1,943","6,848",895,"4,443","2,010","10,169",947,"3,640"
,Suínos com menos de 20 kg de PV,,"9,497","147,786","2,319","22,334",287,"1,930",178,"1,627",365,"3,968",188,"1,218"
,Fêmeas reprodutoras de 50 kg de PV e mais,,"24,347","90,486","7,453","20,047","1,483","3,270",591,"1,452","1,594","4,438",539,"1,085"
,Outros suínos,,"32,792","237,148","7,330","28,131",855,"1,648",645,"1,364",858,"1,763",703,"1,337"
OVINOS,,,"17,079","189,734","1,526","11,011",617,"4,188",81,562,240,"1,862",120,908
,Fêmeas reprodutoras,,"16,580","162,387","1,493","9,105",610,"3,571",78,407,237,"1,528",115,587
,Outros ovinos,,"10,194","27,347",777,"1,906",294,617,49,155,120,334,91,321
CAPRINOS,,,"16,298","82,470","1,880","6,773",250,"1,036",176,607,339,970,129,501
,Fêmeas reprodutoras,,"16,027","68,291","1,833","5,474",244,844,167,459,337,796,123,341
,Outros caprinos,,"5,851","14,179",731,"1,299",101,192,79,148,109,174,83,160
EQUÍDEOS,,,"7,055","8,791",724,"1,115",75,107,51,106,87,125,93,189
,Gado equino,,"1,459","2,874",405,767,35,65,42,92,28,66,61,154
,,Fêmeas reprodutoras,653,"1,219",190,307,22,31,24,42,8,14,35,59
,,Outros equinos,"1,063","1,655",297,460,20,34,29,50,25,52,43,95
,Gado asinino,,"4,696","4,864",238,251,25,26,8,11,45,45,19,19
,Gado muar,,"1,001","1,053",95,97,16,16,3,3,14,14,16,16
COELHAS reprodutoras,,,"21,726","107,022","3,570","20,915",594,"3,655",324,"2,580",597,"2,272",370,"1,166"
AVES,,,,,,,,,,,,,,
,Frangos de carne (inclui galos),,"41,496","11,006,619","8,838","1,160,065","1,345","287,045",720,"262,144","1,263","192,250",755,18354
,Galinhas poedeiras e reprodutoras,,"57,976","4,608,420","10,538","823,923","1,740","14,070",706,"179,117","1,914","34,801",791,7397
,Perús,,"2,510","66,438",513,"1,630",56,179,24,75,98,247,58,162
,"Patos, Gansos e pintadas",,"13,326","118,331","2,463","17,594",392,"3,178",192,"1,361",338,"1,932",238,2277
ABELHAS,,,,,,,,,,,,,,
,Número de colmeias povoadas,,"4,423","33,789",594,"3,694",191,957,56,268,78,805,43,182
,Número de cortiços povoadas,,"1,134","8,853",79,206,26,61,6,20,13,49,1,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,,,
