"Principais Características da População Familiar - Homem/Mulher (Total e Baixo Vouga, página 2)",,,,,,,,,,,
,,,,,,,,,1999,,
,,,,,,,,,pág. 4/24,,
,,,Ílhavo,Mealhada,Murtosa,Oliveira do Bairro,Ovar,Sever do Vouga,Vagos,,
,,,nº de indivíduos,,,,,,,,
Homem / Mulher,,,,,,,,,,,
População familiar,,,924,"4,599","1,479","5,224","2,547","2,487","6,877",,
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,129,482,176,654,314,286,"1,041",,
,Sabe ler e escrever,,220,648,290,801,360,385,"1,102",,
,Básico - 1º ciclo,,312,"1,854",542,"2,167",988,936,"2,577",,
,Básico - 2º ciclo,,126,567,252,690,456,477,"1,106",,
,Básico - 3º ciclo,,75,413,89,356,249,225,582,,
,Secundário agrícola,,3,7,5,10,7,6,38,,
,Secundário não agrícola,,41,359,84,309,131,132,303,,
,Politécnico / Superior agrícola,,1,19,6,17,2,4,15,,
,Politécnico / Superior não agrícola,,17,250,35,220,40,36,113
Formação profissional agrícola,,,,,,,,,
,Exclusivamente prática,,634,"3,246",816,"3,855","1,891","2,040","5,138"
,Curta duração,,8,49,46,26,79,121,52
,Longa duração,,7,10,47,18,60,29,32
,Longa e curta duração,,3,19,11,21,20,- ,41
,Completa,,4,26,11,27,9,10,53
Tempo de actividade agrícola ,,,,,,,,,
,Sem actividade,,306,"1,321",553,"1,658",538,527,"1,602"
,Tempo parcial,,388,"2,643",474,"3,377","1,874","1,315","4,344"
,,> 0 - < 25%,121,"1,174",251,"1,233",693,530,"2,118"
,,25 - < 50%,94,578,101,561,506,372,727
,,50 - < 75%,70,251,50,222,349,178,443
,,75 - < 100%,103,640,72,"1,361",326,235,"1,056"
,Tempo completo,,230,635,452,189,135,645,931
Actividades remuneradas exterior à exploração,,,,,,,,,
,Principal,,263,"1,767",410,"1,765",809,696,"2,135"
,,Sector primário,18,122,38,41,45,84,134
,,Sector secundário,147,647,218,"1,011",552,451,"1,236"
,,Sector terciário,98,998,154,713,212,161,765
,Secundária,,38,6,6,9,23,138,113
,,Sector primário,4,2,- ,2,4,64,25
,,Sector secundário,14,- ,3,2,12,40,49
,,Sector terciário,20,4,3,5,7,34,39
Situação na profissão exterior à exploração,,,,,,,,,
,Patrão/empregador,,14,120,4,177,29,21,210
,Trabalhador por conta própria,,33,288,78,235,54,120,164
,Trabalhador por conta de outrem,,252,"1,353",331,"1,298",742,689,"1,863"
,Trabalhador familiar remunerado,,- ,9,1,14,2,- ,5
,Outra situação,,2,3,2,50,5,4,6
Dirigente na população familiar,,,277,"1,433",375,"1,611",621,710,"2,059"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
