"Principais Características da População Familiar - Homem (Pinhal Litoral, página 4)",,,,,,,,,,
,,,,,,,,1999,,
,,,,,,,,pág. 11/24,,
,,,Pinhal Litoral,Batalha,Leiria,Marinha Grande,Pombal,Porto de Mós,,
,,,nº de indivíduos,,,,,,,
Homem,,,,,,,,,,
População familiar,,,"18,186","1,424","7,120",275,"7,010","2,357",,
Nível de instrução,,,,,,,,,,
,Não sabe ler nem escrever,,"2,028",166,618,22,934,288,,
,Sabe ler e escrever,,"2,659",201,770,36,"1,300",352,,
,Básico - 1º ciclo,,"7,633",631,"3,227",125,"2,653",997,,
,Básico - 2º ciclo,,"2,604",185,"1,099",32,969,319,,
,Básico - 3º ciclo,,"1,732",121,764,24,628,195,,
,Secundário agrícola,,37,3,10,1,20,3,,
,Secundário não agrícola,,"1,085",91,470,22,355,147,,
,Politécnico / Superior agrícola,,32,2,20,- ,4,6,,
,Politécnico / Superior não agrícola,,376,24,142,13,147,50
Formação profissional agrícola,,,,,,,,
,Exclusivamente prática,,"16,014","1,219","6,326",254,"6,200","2,015"
,Curta duração,,266,52,89,4,68,53
,Longa duração,,112,13,39,- ,32,28
,Longa e curta duração,,79,8,27,- ,11,33
,Completa,,69,5,30,1,24,9
Tempo de actividade agrícola ,,,,,,,,
,Sem actividade,,"1,990",145,772,26,663,384
,Tempo parcial,,"14,663","1,090","5,717",235,"5,791","1,830"
,,> 0 - < 25%,"8,558",502,"3,504",68,"3,355","1,129"
,,25 - < 50%,"2,805",219,"1,128",84,"1,010",364
,,50 - < 75%,"1,384",131,537,50,465,201
,,75 - < 100%,"1,916",238,548,33,961,136
,Tempo completo,,"1,533",189,631,14,556,143
Actividades remuneradas exterior à exploração,,,,,,,,
,Principal,,"8,380",644,"3,418",131,"3,144","1,043"
,,Sector primário,531,28,236,3,235,29
,,Sector secundário,"4,773",360,"1,948",80,"1,826",559
,,Sector terciário,"3,076",256,"1,234",48,"1,083",455
,Secundária,,122,9,46,- ,37,30
,,Sector primário,43,2,22,- ,13,6
,,Sector secundário,34,2,8,- ,13,11
,,Sector terciário,45,5,16,- ,11,13
Situação na profissão exterior à exploração,,,,,,,,
,Patrão/empregador,,867,59,343,20,270,175
,Trabalhador por conta própria,,"1,295",118,454,16,546,161
,Trabalhador por conta de outrem,,"6,213",459,"2,614",94,"2,343",703
,Trabalhador familiar remunerado,,74,4,33,- ,11,26
,Outra situação,,53,13,20,1,11,8
Dirigente na população familiar,,,"10,174",928,"3,989",181,"3,755","1,321"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
