"Principais características do Produtor Singular - Homem (Baixo Mondego, página 3)",,,,,,,,,,,,,
,,,,,,,,,,,1999,,
,,,,,,,,,,,pág. 8/24,,
,,,Baixo Mondego,Cantanhede,Coimbra,Condeixa-a-Nova,Figueira da Foz,Mira,Montemor-o-Velho,Penacova,Soure,,
,,,nº de indivíduos,,,,,,,,,,
Homem,,,,,,,,,,,,,
Produtor singular,,,"12,891","3,166","2,405",956,"1,424",593,"1,899",672,"1,776",,
,Autónomo,,"12,520","3,065","2,325",943,"1,386",580,"1,803",668,"1,750",,
,Empresário,,371,101,80,13,38,13,96,4,26,,
Nível de instrução,,,,,,,,,,,,,
,Não sabe ler nem escrever,,977,204,152,72,129,45,132,27,216,,
,Sabe ler e escrever,,"2,277",563,285,180,273,110,333,182,351,,
,Básico - 1º ciclo,,"7,629","1,952","1,441",571,777,372,"1,139",423,954,,
,Básico - 2º ciclo,,927,222,201,53,110,40,149,26,126,,
,Básico - 3º ciclo,,579,96,162,39,85,14,85,10,88,,
,Secundário agrícola,,9,1,1,2,- ,1,2,- ,2,,
,Secundário não agrícola,,249,52,81,21,34,6,29,1,25
,Politécnico / Superior agrícola,,38,12,9,3,3,- ,6,- ,5
,Politécnico / Superior não agrícola,,206,64,73,15,13,5,24,3,9
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,"12,414","3,054","2,289",924,"1,355",573,"1,807",670,"1,742"
,Curta duração,,239,60,72,22,35,4,34,- ,12
,Longa duração,,119,17,22,4,24,7,32,2,11
,Longa e curta duração,,72,22,12,1,7,8,18,- ,4
,Completa,,47,13,10,5,3,1,8,- ,7
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,"10,125","2,500","1,760",887,"1,023",408,"1,323",611,"1,613"
,,> 0 - < 25%,"3,185",952,572,217,328,75,424,141,476
,,25 - < 50%,"2,536",614,453,178,304,134,331,209,313
,,50 - < 75%,"1,606",346,351,144,182,49,149,113,272
,,75 - < 100%,"2,798",588,384,348,209,150,419,148,552
,Tempo completo,,"2,766",666,645,69,401,185,576,61,163
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,"4,853","1,285",899,352,508,214,662,281,652
,,Sector primário,455,137,33,17,55,42,56,66,49
,,Sector secundário,"2,168",637,392,132,268,74,322,110,233
,,Sector terciário,"2,230",511,474,203,185,98,284,105,370
,Secúndária,,140,81,11,3,21,9,8,1,6
,,Sector primário,59,35,3,- ,11,4,1,1,4
,,Sector secundário,36,21,3,2,5,2,2,- ,1
,,Sector terciário,45,25,5,1,5,3,5,- ,1
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,478,142,96,33,57,28,47,42,33
,Trabalhador por conta própria,,897,305,129,68,83,69,79,73,91
,Trabalhador por conta de outrem,,"3,548",893,674,251,382,123,533,162,530
,Trabalhador familiar remunerado,,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,70,26,11,3,7,3,11,5,4
Produtor singular dirigente,,,"12,316","2,963","2,349",938,"1,375",517,"1,784",648,"1,742"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro."
