Produtor singular segundo a Dimensão Económica e as Classes de Idade (Dão-Lafões),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 5/5
Região Agrária,,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III,,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
Concelho,,,,,nº de indíviduos,,,,,,
,Dão-Lafões,,,,,,,,,,
,,,Total,"24,348","15,296","6,177","2,012",648,180,31,4
,,,15 - 24,41,17,5,6,5,8,- ,- 
,,,25 - 34,704,386,164,70,57,23,2,2
,,,35 - 44,"2,787","1,603",727,284,125,42,6,- 
,,,45 - 54,"5,630","3,320","1,516",554,193,39,8,- 
,,,55 - 64,"7,227","4,406","1,964",646,169,37,4,1
,,,>= 65,"7,959","5,564","1,801",452,99,31,11,1
,,Aguiar da Beira,,,,,,,,,
,,,Total,"1,065",391,396,166,89,21,2,- 
,,,15 - 24,10,1,2,3,- ,4,- ,- 
,,,25 - 34,50,15,18,1,13,3,- ,- 
,,,35 - 44,190,56,80,30,18,5,1,- 
,,,45 - 54,218,57,79,52,25,5,- ,- 
,,,55 - 64,259,91,93,49,22,3,1,- 
,,,>= 65,338,171,124,31,11,1,- ,- 
,,Carregal do Sal,,,,,,,,,
,,,Total,"1,007",749,157,68,27,6,- ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,25,18,3,1,3,- ,- ,- 
,,,35 - 44,93,62,18,7,5,1,- ,- 
,,,45 - 54,227,168,33,17,6,3,- ,- 
,,,55 - 64,320,233,47,30,8,2,- ,- 
,,,>= 65,342,268,56,13,5,- ,- ,- 
,,Castro Daire,,,,,,,,,
,,,Total,"2,123","1,350",613,134,20,4,1,1
,,,15 - 24,5,2,1,- ,2,- ,- ,- 
,,,25 - 34,97,52,30,11,2,1,- ,1
,,,35 - 44,274,165,84,20,3,2,- ,- 
,,,45 - 54,479,277,152,42,7,- ,1,- 
,,,55 - 64,615,374,187,47,6,1,- ,- 
,,,>= 65,653,480,159,14,- ,- ,- ,- 
,,Mangualde,,,,,,,,,
,,,Total,"1,708",956,412,233,86,17,4,- 
,,,15 - 24,5,3,- ,- ,- ,2,- ,- 
,,,25 - 34,38,18,5,4,7,4,- ,- 
,,,35 - 44,150,74,36,20,17,3,- ,- 
,,,45 - 54,334,174,82,50,24,3,1,- 
,,,55 - 64,512,268,136,81,24,2,1,- 
,,,>= 65,669,419,153,78,14,3,2,- 
,,Mortágua,,,,,,,,,
,,,Total,854,484,311,39,12,7,1,- 
,,,15 - 24,3,1,- ,1,- ,1,- ,- 
,,,25 - 34,17,9,6,1,1,- ,- ,- 
,,,35 - 44,81,45,23,7,1,5,- ,- 
,,,45 - 54,224,120,85,12,5,1,1,- 
,,,55 - 64,289,145,131,9,4,- ,- ,- 
,,,>= 65,240,164,66,9,1,- ,- ,- 
,,Nelas,,,,,,,,,
,,,Total,"1,343","1,018",197,84,34,9,1,- 
,,,15 - 24,3,1,- ,- ,2,- ,- ,- 
,,,25 - 34,20,17,1,1,- ,1,- ,- 
,,,35 - 44,116,77,19,11,6,3,- ,- 
,,,45 - 54,310,239,42,19,8,2,- ,- 
,,,55 - 64,396,305,52,29,9,1,- ,- 
,,,>= 65,498,379,83,24,9,2,1,- 
,,Oliveira de Frades,,,,,,,,,
,,,Total,"1,126",576,368,130,39,9,4,- 
,,,15 - 24,1,1,- ,- ,- ,- ,- ,- 
,,,25 - 34,82,37,28,12,4,1,- ,- 
,,,35 - 44,180,82,61,23,11,3,- ,- 
,,,45 - 54,292,130,96,47,15,2,2,- 
,,,55 - 64,259,128,90,30,7,3,1,- 
,,,>= 65,312,198,93,18,2,- ,1,- 
,,Penalva do Castelo,,,,,,,,,
,,,Total,"1,325",767,356,148,35,18,1,- 
,,,15 - 24,1,- ,- ,- ,- ,1,- ,- 
,,,25 - 34,28,14,6,5,2,1,- ,- 
,,,35 - 44,146,81,41,18,4,2,- ,- 
