"Explorações segundo a OTE e a dimensão económica (Pinhal Interior Norte, página 1)",,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 5/8
,,Pinhal Interior Norte,Alvaiázere,Ansião,Arganil,Castanheira de Pêra,Figueiró dos Vinhos,Góis,Lousã
,,expl (nº),,,,,,,
Classes de dimensão económica (UDE),,"10,060","1,098","1,690",909,68,500,281,301
,> 0 a < 2,"7,418",855,"1,235",724,60,425,230,201
,2 a < 4,"1,752",171,343,138,5,50,36,52
,4 a < 8,546,48,78,24,2,17,7,20
,8 a < 16,202,13,20,13,1,6,3,6
,16 a < 40,86,9,7,8,- ,1,2,8
,40 a < 100,36,- ,7,2,- ,- ,1,5
,> = 100,20,2,- ,- ,- ,1,2,9
OTE,,"10,061","1,098","1,690",910,68,500,281,301
,Cereais e plantas olea./proteaginosas,48,2,- ,7,- ,- ,1,21
,Culturas agrícolas diversas,"1,694",23,45,169,11,78,30,82
,Horticultura,105,15,8,4,- ,3,2,7
,Viticultura,99,8,16,4,- ,9,- ,- 
,Fruticultura,61,5,2,7,- ,5,1,2
,Olivicultura,409,131,67,30,6,14,6,5
,Culturas permanentes diversas,492,76,94,16,3,22,3,24
,Bovinos de leite,15,1,4,1,- ,1,- ,1
,Bovinos para gado/carne,24,1,2,1,- ,2,1,4
,Bovinos para leite/gado/carne,2,- ,- ,- ,- ,- ,- ,- 
,Ovinos/caprinos/outros herbívoros,687,85,116,55,12,24,56,16
,Granívoros,100,18,37,4,- ,5,2,3
,Policultura,"3,207",285,459,306,14,191,57,76
,Polipecuária-herbívoros,"1,347",212,488,111,7,49,46,15
,Polipecuária-granívoros,250,77,68,5,- ,12,5,9
,Agricultura geral e herbívoros,532,14,48,112,4,21,34,16
,Culturas diversas e gado,988,145,236,77,11,64,37,20
,Não classificadas,1,- ,- ,1,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",

,
,













,
