"Origem do rendimento do agregado doméstico do produtor singular (Dão-Lafões, página 1)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 7/8
,,,Dão-Lafões,Aguiar da Beira,Carregal do Sal,Castro Daire,Mangualde,Mortágua,Nelas,Oliveira de Frades
,,,expl. (nº),,,,,,,
Total explorações com produtor singular,,,"24,351","1,065","1,007","2,123","1,708",854,"1,343","1,126"
Exclusivamente da actividade da exploração,,,"2,554",169,63,394,135,83,123,125
Principalmente da actividade da exploração,,,"6,646",561,180,533,891,307,324,181
,Salários do sector primário,,705,17,22,34,52,85,36,22
,,1ª opção,569,17,21,29,49,78,35,19
,,2ª opção,124,- ,1,5,3,7,1,3
,,3ª opção,12,- ,- ,- ,- ,- ,- ,- 
,Salários do sector secúndário,,"1,696",90,47,106,175,90,80,77
,,1ª opção,"1,346",80,29,97,144,58,70,76
,,2ª opção,318,10,16,9,29,31,10,1
,,3ª opção,32,- ,2,- ,2,1,- ,- 
,Salários do sector terciário,,"1,179",76,30,81,122,49,25,31
,,1ª opção,807,60,19,64,90,33,19,25
,,2ª opção,334,16,11,14,32,16,6,6
,,3ª opção,38,- ,- ,3,- ,- ,- ,- 
,Actividade empresarial,,113,20,16,1,3,3,8,- 
,,1ª opção,93,18,16,1,3,2,6,- 
,,2ª opção,20,2,- ,- ,- ,1,2,- 
,,3ª opção,- ,- ,- ,- ,- ,- ,- ,- 
,Pensões rurais/reformas,,"3,955",360,100,328,665,129,190,69
,,1ª opção,"3,493",329,88,316,586,108,183,56
,,2ª opção,429,30,12,12,73,18,7,13
,,3ª opção,33,1,- ,- ,6,3,- ,- 
,Juros e dividendos,,163,3,1,6,2,2,10,1
,,1ª opção,48,3,1,4,1,1,3,1
,,2ª opção,104,- ,- ,2,1,1,6,- 
,,3ª opção,11,- ,- ,- ,- ,- ,1,- 
,Remessas de emigrantes,,185,18,5,4,7,13,3,4
,,1ª opção,115,15,2,4,3,10,3,3
,,2ª opção,59,3,3,- ,2,2,- ,1
,,3ª opção,11,- ,- ,- ,2,1,- ,- 
,Outras,,313,59,4,25,23,27,9,3
,,1ª opção,175,39,4,18,15,17,5,1
,,2ª opção,121,20,- ,7,8,10,4,2
,,3ª opção,17,- ,- ,- ,- ,- ,- ,- 
Principalmente origem exterior à actividade da exploração,,,"15,151",335,764,"1,196",682,464,896,820
,Salários do sector primário,,"1,182",5,51,51,60,93,59,116
,,1ª opção,836,5,38,40,53,70,49,81
,,2ª opção,283,- ,12,8,7,20,7,28
,,3ª opção,63,- ,1,3,- ,3,3,7
,Salários do sector secúndário,,"4,685",92,210,211,233,120,251,370
,,1ª opção,"3,669",88,172,171,193,91,207,279
,,2ª opção,941,2,38,37,37,28,41,88
,,3ª opção,75,2,- ,3,3,1,3,3
,Salários do sector terciário,,"4,657",90,137,330,326,171,169,259
,,1ª opção,"3,224",72,92,264,249,104,124,189
,,2ª opção,"1,314",17,42,63,77,55,40,60
,,3ª opção,119,1,3,3,- ,12,5,10
,Actividade empresarial,,701,46,87,30,12,16,39,2
,,1ª opção,569,40,86,25,9,12,31,2
,,2ª opção,118,6,1,5,3,4,8,- 
,,3ª opção,14,- ,- ,- ,- ,- ,- ,- 
,Pensões rurais/reformas,,"7,935",147,372,778,271,202,478,437
,,1ª opção,"6,214",98,344,663,157,138,434,256
,,2ª opção,"1,466",44,27,102,89,54,38,148
,,3ª opção,255,5,1,13,25,10,6,33
,Juros e dividendos,,290,17,12,13,7,8,40,1
,,1ª opção,87,2,7,7,- ,6,5,1
,,2ª opção,173,15,5,6,5,2,29,- 
,,3ª opção,30,- ,- ,- ,2,- ,6,- 
,Remessas de emigrantes,,418,13,12,22,17,40,27,14
,,1ª opção,287,7,6,12,10,29,23,9
,,2ª opção,119,6,6,8,4,11,4,4
,,3ª opção,12,- ,- ,2,3,- ,- ,1
,Outras,,563,48,21,41,20,28,57,5
,,1ª opção,265,23,19,14,11,14,23,3
,,2ª opção,247,23,2,25,7,13,31,2
,,3ª opção,51,2,- ,2,2,1,3,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
