"Características da habitação do produtor singular (Total de explorações com Produtor residente na exploração, Idade da habitação entre 30 a 50 anos)",,,,,,,,
,,,,,,,1999,
,,,,,,,pág. 4/6,
Região Agrícola,,,Total de explorações com produtor residente na exploração,,,,,
Nut III,,,Total,Electricidade,Água Canalizada,Instalação Sanitária,Electrodomésticos,
Concelho,,,Idade da habitação entre 30 a 50 anos,,,,,
,,,expl. (nº),,,,,
BEIRA LITORAL,,,"15,898","15,869","15,714","15,544","15,786",
,Baixo Vouga,,"4,003","4,001","3,966","3,932","3,984",
,,Águeda,719,718,703,702,714,
,,Albergaria-a-Velha,227,227,227,221,226,
,,Anadia,720,720,715,709,719,
,,Aveiro,271,271,271,269,269,
,,Estarreja,286,286,286,281,284,
,,Ílhavo,87,87,87,87,87,
,,Mealhada,196,196,196,195,196,
,,Murtosa,79,79,77,73,79,
,,Oliveira do Bairro,551,551,548,541,547,
,,Ovar,94,94,94,92,94,
,,Sever do Vouga,141,141,133,133,141,
,,Vagos,632,631,629,629,628,
,Baixo Mondego,,"3,568","3,565","3,533","3,497","3,552",
,,Cantanhede,759,758,749,752,753,
,,Coimbra,266,266,265,263,266,
,,Condeixa-a-Nova,206,206,206,200,205,
,,Figueira da Foz,666,666,658,653,664,
,,Mira,72,72,72,72,72,
,,Montemor-o-Velho,897,895,884,874,891,
,,Penacova,77,77,76,76,76,
,,Soure,625,625,623,607,625,
,Pinhal Litoral,,"4,715","4,711","4,686","4,639","4,677",
,,Batalha,268,268,268,267,268,
,,Leiria,"1,887","1,887","1,882","1,882","1,882",
,,Marinha Grande,62,62,62,62,62,
,,Pombal,"2,066","2,063","2,043","2,008","2,036",
,,Porto de Mós,432,431,431,420,429,
,Pinhal Interior Norte,,"1,493","1,490","1,480","1,451","1,482",
,,Alvaiázere,316,316,315,308,312,
,,Ansião,501,501,500,488,499,
,,Arganil,70,70,70,70,70,
,,Castanheira de Pêra,19,19,19,19,19,
,,Figueiró dos Vinhos,63,63,63,63,63,
,,Góis,12,12,12,12,12,
,,Lousã,52,52,52,52,52,
,,Miranda do Corvo,48,48,48,48,48,
,,Oliveira do Hospital,90,89,84,77,88,
,,Pampilhosa da Serra,67,67,67,65,67,
,,Pedrógão Grande,38,38,38,37,38,
,,Penela,45,45,45,44,45,
,,Tábua,100,98,95,96,97,
,,Vila Nova de Poiares,72,72,72,72,72,
,Dão-Lafões,,"2,119","2,102","2,049","2,025","2,091",
,,Aguiar da Beira,49,48,48,44,48,
,,Carregal do Sal,46,46,46,43,46,
,,Castro Daire,146,144,139,132,143,
,,Mangualde,50,47,44,47,47,
,,Mortágua,202,202,199,196,201,
,,Nelas,96,95,95,95,95,
,,Oliveira de Frades,138,137,132,127,136,
,,Penalva do Castelo,79,78,77,77,77,
,,Santa Comba Dão,77,77,77,77,77,
,,São Pedro do Sul,195,194,188,186,192,
,,Sátão,133,133,133,131,131,
,,Tondela,440,439,421,424,438,
,,Vila Nova de Paiva,45,45,45,45,45
,,Viseu,261,257,253,250,256
,,Vouzela,162,160,152,151,159
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
