Utilização das terras (Página 1),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/3
,,,TRÁS OS MONTES,Douro,Alijó,Armamar,Carrazeda de Ansiães,Freixo de Espada à Cinta,Lamego,Mesão Frio,Moimenta da  Beira,Penedono,Peso da Régua
Superfície Total,,expl (nº),"70,006","31,721","2,922","1,280","1,909",957,"2,094",607,"1,302",719,"1,520"
 ,,área (ha),"637,098","207,700","14,127","6,302","13,296","12,884","8,305","1,534","7,529","5,366","4,953"
Superfície Agrícola Utilizada (SAU),,expl (nº),"69,830","31,646","2,920","1,279","1,908",955,"2,085",606,"1,295",718,"1,518"
 ,,área (ha),"457,889","139,103","9,221","4,481","7,945","8,218","6,163","1,253","5,598","3,897","4,156"
Terra arável,,expl (nº),"59,321","23,568","2,084","1,012","1,569",641,"1,236",448,"1,251",635,907
,,área (ha),"158,143","19,932",740,341,"1,453","1,437",623,40,"2,684","1,106",141
,Terra arável limpa,expl (nº),"59,307","23,566","2,084","1,012","1,569",641,"1,236",448,"1,251",635,907
,,área (ha),"158,123","19,927",740,341,"1,453","1,437",623,40,"2,684","1,106",141
,Culturas temporárias,expl (nº),"42,712","12,931",904,437,967,310,512,41,"1,121",509,169
,,área (ha),"102,490","14,473",377,188,"1,074",623,448,14,"2,381",914,54
,Pousio (com e sem ajuda),expl (nº),"22,106","4,166",651,86,371,254,92,3,246,174,78
,,área (ha),"50,142","3,413",205,55,223,734,57,2,210,128,24
,Horta familiar,expl (nº),"52,555","21,667","1,908",981,"1,411",536,"1,189",435,"1,123",592,868
,,área (ha),"5,471","2,031",159,97,156,81,118,24,98,63,60
,Culturas sob-coberto matas e florestas,expl (nº),47,3,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,área (ha),18,4,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas temporárias,expl (nº),13,1,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,área (ha),11,... ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Pousio (com e sem ajuda),expl (nº),34,2,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,área (ha),7,... ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Culturas permanentes,,expl (nº),"62,802","29,709","2,873","1,272","1,872",947,"1,891",602,892,673,"1,516"
,,área (ha),"192,798","97,214","7,668","4,095","5,658","5,689","4,294","1,212","1,636","1,913","4,009"
,Sem culturas sob-coberto,expl (nº),"62,199","29,475","2,862","1,271","1,872",947,"1,888",602,886,671,"1,515"
,,área (ha),"189,644","96,413","7,605","4,086","5,643","5,661","4,283","1,212","1,624","1,895","3,991"
,Com culturas temporárias,expl (nº),"4,676","1,252",239,19,63,56,11,- ,21,27,11
,,área (ha),"2,244",350,34,2,12,23,o ,- ,11,16,1
,Com pousio (com e sem ajuda),expl (nº),105,16,- ,- ,- ,- ,- ,- ,- ,- ,1
,,área (ha),67,1,- ,- ,- ,- ,- ,- ,- ,- ,... 
,Com horta familiar,expl (nº),"1,930","1,379",417,20,46,54,51,13,- ,11,179
,,área (ha),104,68,22,1,2,4,3,o ,- ,1,6
,Com pastagens permanentes,expl (nº),744,326,17,11,2,- ,9,- ,6,2,5
,,área (ha),719,367,6,6,... ,- ,5,- ,3,... ,8
Pastagens permanentes,,expl (nº),"30,986","7,202",721,83,716,123,246,7,699,418,8
,,área (ha),"106,959","21,954",808,48,834,"1,094","1,249",2,"1,276",878,9
,Em terra limpa,expl (nº),"30,727","7,030",717,82,716,123,242,5,698,418,6
,,área (ha),"99,026","19,205",684,48,833,"1,087","1,139",2,"1,235",877,3
,Sob-coberto de matas e florestas,expl (nº),"2,628",567,19,2,1,2,10,3,10,1,3
,,área (ha),"7,941","2,750",124,... ,... ,... ,108,1,40,... ,5
Matas e florestas sem culturas sob-coberto,,expl (nº),"35,382","14,148","1,668",546,"1,370",323,524,188,722,343,464
,,área (ha),"101,791","36,368","3,115","1,207","3,827","1,567",941,241,"1,334",725,593
Superfície Agrícola não utilizada,,expl (nº),"22,635","7,451",383,184,264,551,302,33,350,238,183
,,área (ha),"61,929","20,270",237,218,352,"3,018",375,16,356,467,76
Outras superfícies,,expl (nº),"29,596","12,820","1,623",365,559,149,"1,268",372,458,303,740
,,área (ha),"15,494","11,958","1,550",392,"1,170",80,827,21,241,278,129
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Norte."
