Principais culturas temporárias (Página 3),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 3/5
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Sernancelhe,,,,,,,,,,,
,,,Culturas temporárias,"1,042","1,648","1,039","1,483",172,164,132,145,45,19
,,,Cereais para grão,757,703,756,692,19,8,- ,- ,19,8
,,,Leguminosas secas para grão,179,23,176,22,5,o ,- ,- ,5,o 
,,,Prados temporários,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,300,394,218,247,137,147,132,145,6,2
,,,Batata,990,521,985,514,24,8,- ,- ,24,8
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,90,8,90,8,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,1,... ,- ,- ,1,... ,- ,- ,1,... 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Tabuaço,,,,,,,,,,,
,,,Culturas temporárias,494,375,491,361,27,13,12,5,15,8
,,,Cereais para grão,228,118,226,116,5,1,- ,- ,5,1
,,,Leguminosas secas para grão,77,7,77,7,- ,- ,- ,- ,- ,- 
,,,Prados temporários,15,1,14,1,1,... ,- ,- ,1,... 
,,,Culturas forrageiras,43,39,31,30,13,8,12,5,1,... 
,,,Batata,476,208,474,205,10,3,- ,- ,10,3
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,3,o ,3,o ,- ,- ,- ,- ,- ,- 
