Explorações segundo o número de bovinos (Classes do número de animais 30 a >=300),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 2/2
Região Agrária,,,,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,
,,Concelho,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300
Trás os Montes ,,,expl (nº),195,91,48,68,12,1,- 
,,,efect (nº),"6,615","3,985","2,598","4,861","1,422",... ,- 
,Douro,,expl (nº),23,7,6,16,2,- ,- 
,,,efect (nº),798,306,330,"1,181",... ,- ,- 
,,Alijó,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Armamar,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Carrazeda de Ansiães,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Freixo de Espada à Cinta,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Lamego,expl (nº),- ,- ,- ,1,- ,- ,- 
,,,efect (nº),- ,- ,- ,... ,- ,- ,- 
,,Mesão Frio,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Moimenta da Beira,expl (nº),14,3,3,5,2,- ,- 
,,,efect (nº),485,133,159,361,... ,- ,- 
,,Penedono,expl (nº),2,- ,- ,- ,- ,- ,- 
,,,efect (nº),... ,- ,- ,- ,- ,- ,- 
,,Peso da Régua,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Sabrosa,expl (nº),- ,- ,- ,1,- ,- ,- 
,,,efect (nº),- ,- ,- ,... ,- ,- ,- 
,,Santa Marta de Penaguião,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,São João da Pesqueira,expl (nº),1,- ,- ,- ,- ,- ,- 
,,,efect (nº),... ,- ,- ,- ,- ,- ,- 
,,Sernancelhe,expl (nº),- ,1,- ,- ,- ,- ,- 
,,,efect (nº),- ,... ,- ,- ,- ,- ,- 
,,Tabuaço,expl (nº),1,- ,- ,1,- ,- ,- 
,,,efect (nº),... ,- ,- ,... ,- ,- ,- 
,,Tarouca,expl (nº),1,- ,- ,4,- ,- ,- 
,,,efect (nº),... ,- ,- ,289,- ,- ,- 
,,Torre de Moncorvo,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Vila Flor,expl (nº),- ,- ,- ,1,- ,- ,- 
,,,efect (nº),- ,- ,- ,... ,- ,- ,- 
,,Vila Nova de Foz Côa,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Vila Real,expl (nº),4,3,3,3,- ,- ,- 
,,,efect (nº),138,131,171,237,- ,- ,- 
,Alto Trás os Montes ,,expl (nº),172,84,42,52,10,1,- 
,,,efect (nº),"5,817","3,679","2,268","3,680","1,117",... ,- 
,,Alfândega da Fé,expl (nº),3,1,1,1,- ,- ,- 
,,,efect (nº),94,... ,... ,... ,- ,- ,- 
,,Boticas,expl (nº),4,- ,- ,1,- ,- ,- 
,,,efect (nº),134,- ,- ,... ,- ,- ,- 
,,Bragança,expl (nº),9,10,2,3,1,- ,- 
,,,efect (nº),311,441,... ,198,... ,- ,- 
,,Chaves,expl (nº),10,5,5,8,1,1,- 
,,,efect (nº),331,219,268,549,... ,... ,- 
,,Macedo de Cavaleiros,expl (nº),10,4,1,3,- ,- ,- 
,,,efect (nº),343,167,... ,202,- ,- ,- 
,,Miranda do Douro,expl (nº),17,9,5,3,3,- ,- 
,,,efect (nº),590,381,256,214,374,- ,- 
,,Mirandela,expl (nº),1,2,- ,- ,- ,- ,- 
,,,efect (nº),... ,... ,- ,- ,- ,- ,- 
,,Mogadouro,expl (nº),43,29,17,17,1,- ,- 
,,,efect (nº),"1,453","1,291",918,"1,199",... ,- ,- 
,,Montalegre,expl (nº),43,14,6,7,2,- ,- 
,,,efect (nº),"1,450",615,318,557,... ,- ,- 
,,Murça,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Valpaços,expl (nº),6,- ,1,1,- ,- ,- 
,,,efect (nº),204,- ,... ,... ,- ,- ,- 
,,Vila Pouca de Aguiar,expl (nº),13,6,2,5,1,- ,- 
,,,efect (nº),446,264,... ,358,... ,- ,- 
,,Vimioso,expl (nº),7,3,2,3,- ,- ,- 
,,,efect (nº),238,129,... ,204,- ,- ,- 
,,Vinhais,expl (nº),6,1,- ,- ,1,- ,- 
,,,efect (nº),192,... ,- ,- ,... ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,
,,,,,,,,,,
