Produtor singular segundo a OTE e as classes de idade (Página 5),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 5/6
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,Alto Trás os Montes,,,,,,,,,,,
,,,Total,202,"2,768",140,"8,056","2,477",579,"1,275","3,278",22
,,,15 - 24,1,16,1,7,5,- ,5,12,- 
,,,25 - 34,12,201,12,202,85,18,43,132,2
,,,35 - 44,39,512,33,838,310,88,116,407,2
,,,45 - 54,52,603,33,"1,427",545,147,188,678,4
,,,55 - 64,66,787,35,"2,233",801,155,371,883,3
,,,>= 65,32,649,26,"3,349",731,171,552,"1,166",11
,,Alfândega da Fé,,,,,,,,,,
,,,Total,- ,56,1,58,5,- ,1,55,- 
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,4,- ,3,1,- ,- ,5,- 
,,,35 - 44,- ,13,1,8,1,- ,- ,11,- 
,,,45 - 54,- ,18,- ,12,2,- ,- ,7,- 
,,,55 - 64,- ,13,- ,22,- ,- ,- ,12,- 
,,,>= 65,- ,7,- ,13,1,- ,1,20,- 
,,Boticas,,,,,,,,,,
,,,Total,17,167,19,263,184,62,138,109,1
,,,15 - 24,- ,2,- ,- ,2,- ,- ,1,- 
,,,25 - 34,1,21,2,7,12,2,7,4,- 
,,,35 - 44,2,33,2,31,27,9,15,20,- 
,,,45 - 54,4,28,5,34,39,15,12,23,- 
,,,55 - 64,6,46,6,73,51,16,41,31,1
,,,>= 65,4,37,4,118,53,20,63,30,- 
,,Bragança,,,,,,,,,,
,,,Total,6,288,23,"1,042",329,62,52,442,8
,,,15 - 24,- ,- ,- ,2,- ,- ,- ,5,- 
,,,25 - 34,- ,17,2,30,13,2,2,14,- 
,,,35 - 44,- ,64,7,107,46,7,5,57,- 
,,,45 - 54,1,60,4,184,72,10,9,84,1
,,,55 - 64,4,81,8,303,100,18,15,124,1
,,,>= 65,1,66,2,416,98,25,21,158,6
,,Chaves,,,,,,,,,,
,,,Total,15,250,34,"2,203",497,183,307,561,2
,,,15 - 24,- ,1,- ,2,1,- ,2,- ,- 
,,,25 - 34,- ,20,1,48,13,4,10,23,- 
,,,35 - 44,8,60,7,205,55,34,34,67,- 
,,,45 - 54,4,59,10,397,116,51,58,133,- 
,,,55 - 64,1,56,5,593,174,56,104,153,- 
,,,>= 65,2,54,11,958,138,38,99,185,2
,,Macedo de Cavaleiros,,,,,,,,,,
