"Explorações, Sau e MB segundo a origem do rendimento do agregado doméstico do produtor",,,,,,,,,,,
,,,,,,,,,,,1999
Região Agrária,,,Rendimento proveniente,,,,,,,,
,Nut III,,Exclusivamente da actividade da exploração,,,Principalmente da actividade da exploração,,,Principalmente de origem exterior à exploração,,
,,Concelho,Expl. (nº),SAU (ha),MB (1000esc.),Expl. (nº),SAU (ha),MB (1000esc.),Expl. (nº),SAU (ha),MB (1000esc.)
Trás os Montes,,,"8,309","87,282","13,999,094","17,678","152,554","23,388,205","43,121","181,616","26,831,922"
,Douro,,"2,977","22,967","5,631,024","7,770","42,445","10,951,714","20,292","57,872","13,333,356"
,,Alijó,236,"1,105","359,701",723,"2,913","959,530","1,919","3,922","1,205,492"
,,Armamar,126,876,"369,921",398,"1,783","648,263",733,"1,430","467,706"
,,Carrazeda de Ansiães,250,"1,796","449,759",539,"2,646","622,478","1,106","3,168","768,954"
,,Freixo de Espada à Cinta,54,964,"171,897",119,"1,897","293,357",764,"4,934","863,104"
,,Lamego,187,811,"319,258",641,"2,045","777,203","1,220","2,151","684,398"
,,Mesão Frio,16,81,"45,982",100,343,"161,160",477,671,"271,920"
,,Moimenta da Beira,247,"1,658","430,242",375,"1,848","462,287",674,"1,728","379,225"
,,Penedono,112,"1,111","188,242",240,"1,390","269,505",365,"1,315","211,218"
,,Peso da Régua,60,229,"109,602",312,"1,222","530,333","1,073","1,878","730,036"
,,Sabrosa,92,426,"156,475",344,"1,045","350,703",947,"1,877","556,322"
,,Santa Marta de Penaguião,83,491,"184,690",367,"1,188","450,075","1,017","1,530","541,208"
,,São João da Pesqueira,244,"2,410","599,894",706,"4,528","1,284,149","1,200","3,425","949,940"
,,Sernancelhe,151,"1,050","173,783",208,"1,459","229,800",794,"2,400","411,651"
,,Tabuaço,135,676,"216,329",356,"1,280","365,695",796,"1,821","443,133"
,,Tarouca,114,321,"126,151",280,806,"237,638",527,978,"291,241"
,,Torre de Moncorvo,210,"3,052","550,780",230,"4,040","676,868","1,734","9,850","1,665,499"
,,Vila Flor,178,"1,852","376,852",346,"3,294","708,358","1,317","4,669","851,899"
,,Vila Nova de Foz Côa,255,"3,153","526,593",701,"6,256","1,263,362","1,365","5,709","1,105,554"
,,Vila Real,227,905,"274,873",785,"2,462","660,950","2,264","4,416","934,856"
,Alto Trás os Montes ,,"5,332","64,315","8,368,070","9,908","110,109","12,436,491","22,829","123,744","13,498,566"
,,Alfândega da Fé,104,"1,929","302,130",230,"3,501","491,347","1,032","6,587","1,042,235"
,,Boticas,409,"2,893","361,767",487,"3,242","349,378",428,"1,878","169,816"
,,Bragança,341,"7,152","750,070",777,"14,516","1,328,090","2,931","21,580","1,882,141"
,,Chaves,932,"6,578","949,591","1,192","7,450","877,303","3,342","12,137","1,175,829"
,,Macedo de Cavaleiros,367,"5,190","718,617",696,"7,897","1,057,592","2,111","10,721","1,406,788"
,,Miranda do Douro,189,"4,405","393,656",397,"8,412","679,470","1,130","8,524","572,344"
,,Mirandela,401,"5,058","840,318",920,"8,782","1,301,159","2,403","12,122","1,546,871"
,,Mogadouro,316,"6,934","824,028",713,"15,638","1,571,222","1,656","13,973","1,269,862"
,,Montalegre,511,"6,319","678,224","1,290","13,268","1,214,660",633,"2,751","249,427"
,,Murça,174,957,"292,276",432,"1,719","433,295",818,"2,148","497,678"
,,Valpaços,775,"5,869","987,801","1,382","9,493","1,392,727","2,677","10,606","1,517,059"
,,Vila Pouca de Aguiar,345,"2,719","439,774",458,"2,963","398,856","1,110","4,782","549,270"
,,Vimioso,113,"3,055","266,022",286,"4,741","439,795","1,018","6,936","614,984"
,,Vinhais,355,"5,257","563,796",648,"8,487","901,597","1,540","8,999","1,004,262"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999.",,,,,,,,,,,
