População e mão-de-obra agrícola não familiar (UTA),,,,,,,,,
,,,,,,,,,1999
Região Agrícola,,,,Mão-de-obra não familiar,,,,,
,Nut III,,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor
,,Concelho,,,Total,Dirigente,Outros trabalhadores,,
Trás os Montes,,,índ. (nº),- ,"8,266","2,339","5,927",- ,- 
,,,UTA,"16,581","5,505",928,"4,580","10,406",670
,Douro,,índ. (nº),- ,"7,024","1,899","5,125",- ,- 
,,,UTA,"13,006","4,683",762,"3,924","7,907",416
,,Alijó,índ. (nº),- ,660,136,524,- ,- 
,,,UTA,"1,361",453,49,405,872,36
,,Armamar,índ. (nº),- ,176,31,145,- ,- 
,,,UTA,622,152,20,132,461,9
,,Carrazeda de Ansiães,índ. (nº),- ,169,56,113,- ,- 
,,,UTA,487,99,23,75,382,6
,,Freixo de Espada à Cinta,índ. (nº),- ,136,70,66,- ,- 
,,,UTA,435,83,22,60,347,5
,,Lamego,índ. (nº),- ,606,113,493,- ,- 
,,,UTA,"1,263",451,61,390,785,27
,,Mesão Frio,índ. (nº),- ,282,82,200,- ,- 
,,,UTA,445,194,33,160,247,4
,,Moimenta da Beira,índ. (nº),- ,48,7,41,- ,- 
,,,UTA,206,39,5,34,166,1
,,Penedono,índ. (nº),- ,34,17,17,- ,- 
,,,UTA,103,22,7,15,75,6
,,Peso da Régua,índ. (nº),- ,913,188,725,- ,- 
,,,UTA,"1,311",577,80,497,690,44
,,Sabrosa,índ. (nº),- ,628,148,480,- ,- 
,,,UTA,925,415,67,348,469,41
,,Santa Marta de Penaguião,índ. (nº),- ,706,131,575,- ,- 
,,,UTA,"1,048",455,58,398,525,68
,,São João da Pesqueira,índ. (nº),- ,901,297,604,- ,- 
,,,UTA,"1,371",601,102,499,710,60
,,Sernancelhe,índ. (nº),- ,18,4,14,- ,- 
,,,UTA,152,14,2,12,136,2
,,Tabuaço,índ. (nº),- ,297,43,254,- ,- 
,,,UTA,636,261,22,240,358,17
,,Tarouca,índ. (nº),- ,73,9,64,- ,- 
,,,UTA,201,57,6,52,141,3
,,Torre de Moncorvo,índ. (nº),- ,183,65,118,- ,- 
,,,UTA,387,118,23,95,247,22
,,Vila Flor,índ. (nº),- ,276,148,128,- ,- 
,,,UTA,451,140,31,109,292,19
,,Vila Nova de Foz Côa,índ. (nº),- ,448,260,188,- ,- 
,,,UTA,867,274,118,156,567,26
,,Vila Real,índ. (nº),- ,470,94,376,- ,- 
,,,UTA,735,278,33,247,437,20
,Alto Trás os Montes ,,índ. (nº),- ,"1,242",440,802,- ,- 
,,,UTA,"3,575",822,166,656,"2,499",254
,,Alfândega da Fé,índ. (nº),- ,150,41,109,- ,- 
,,,UTA,299,90,11,79,199,10
,,Boticas,índ. (nº),- ,17,15,2,- ,- 
,,,UTA,28,2,o ,2,14,12
,,Bragança,índ. (nº),- ,111,26,85,- ,- 
,,,UTA,269,77,12,64,169,23
,,Chaves,índ. (nº),- ,73,20,53,- ,- 
,,,UTA,316,46,12,36,239,31
,,Macedo de Cavaleiros,índ. (nº),- ,119,16,103,- ,- 
,,,UTA,424,96,7,87,304,24
,,Miranda do Douro,índ. (nº),- ,46,9,37,- ,- 
,,,UTA,71,37,5,31,30,4
,,Mirandela,índ. (nº),- ,227,86,141,- ,- 
,,,UTA,647,160,30,131,458,29
,,Mogadouro,índ. (nº),- ,81,14,67,- ,- 
,,,UTA,235,59,8,51,160,16
,,Montalegre,índ. (nº),- ,70,49,21,- ,- 
,,,UTA,145,47,28,19,81,17
,,Murça,índ. (nº),- ,139,92,47,- ,- 
,,,UTA,214,56,24,32,151,7
,,Valpaços,índ. (nº),- ,104,45,59,- ,- 
,,,UTA,637,70,16,54,517,50
,,Vila Pouca de Aguiar,índ. (nº),- ,53,14,39,- ,- 
,,,UTA,140,47,9,38,79,14
,,Vimioso,índ. (nº),- ,34,10,24,- ,- 
,,,UTA,62,21,3,18,35,6
,,Vinhais,índ. (nº),- ,18,3,15,- ,- 
,,,UTA,88,14,1,14,63,11
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,
,,,,,,,,,
