"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Página 3)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 3/4
,,,Vila Flor,Vila Nova de Foz Côa,Vila Real,Alto Trás os Montes,Alfândega da Fé,Boticas,Bragança,Chaves,Macedo de Cavaleiros
Explorações agrícolas,,expl. (nº),"1,896","2,439","3,336","38,285","1,377","1,339","4,071","5,476","3,187"
,,SAU (ha),"10,490","16,716","11,094","318,786","12,492","11,032","44,182","26,257","24,074"
,Sem SAU,expl. (nº),9,17,9,101,2,3,24,7,3
,> 0 a < 1,expl. (nº),210,316,842,"2,296",48,19,225,537,146
,,SAU (ha),142,204,500,"1,503",37,12,146,331,106
,1 a < 2,expl. (nº),428,523,"1,128","6,785",203,250,506,"1,214",615
,,SAU (ha),609,744,"1,585","9,821",306,366,746,"1,736",894
,2 a < 5,expl. (nº),639,771,"1,010","11,936",452,519,997,"1,977","1,050"
,,SAU (ha),"2,045","2,523","3,106","39,479","1,502","1,724","3,323","6,441","3,489"
,5 a < 10,expl. (nº),357,474,242,"8,413",348,319,839,"1,138",727
,,SAU (ha),"2,471","3,317","1,614","59,792","2,447","2,265","6,120","7,887","5,092"
,10 a < 20,expl. (nº),181,215,70,"5,529",194,168,887,503,424
,,SAU (ha),"2,462","2,939",912,"76,881","2,677","2,318","12,592","6,809","5,830"
,20 a < 50,expl. (nº),61,92,17,"2,715",100,44,504,94,180
,,SAU (ha),"1,879","2,809",496,"79,519","2,903","1,179","14,935","2,568","5,375"
,50 a < 100,expl. (nº),9,13,9,399,23,6,83,5,33
,,SAU (ha),631,832,700,"26,183","1,494",373,"5,510",373,"2,119"
,>= 100,expl. (nº),2,18,9,111,7,11,6,1,9
,,SAU (ha),... ,"3,348","2,183","25,631","1,127","2,793",808,... ,"1,173"
Classes de dimensão económica (UDE),,expl. (nº),"1,896","2,439","3,334","38,261","1,377","1,338","4,062","5,474","3,187"
,,SAU (ha),"10,490","16,716","11,091","318,709","12,492","11,031","44,154","26,255","24,074"
,> 0 a < 2,expl. (nº),873,923,"2,268","19,118",469,802,"1,870","3,793","1,428"
,,SAU (ha),"1,507","1,277","4,264","56,941","1,054","2,806","6,937","10,334","3,252"
,2 a < 4,expl. (nº),445,576,649,"9,090",380,273,987,"1,003",851
,,SAU (ha),"1,767","1,956","2,587","64,562","1,937","2,707","9,193","7,119","4,866"
,4 a < 8,expl. (nº),308,514,255,"5,781",282,172,666,435,523
,,SAU (ha),"2,208","3,403","2,859","75,122","2,507","3,201","11,081","4,873","5,726"
,8 a < 16,expl. (nº),177,286,104,"3,039",144,75,379,175,284
,,SAU (ha),"2,058","4,347",587,"65,931","2,363","2,027","9,511","2,462","5,336"
