Principais culturas temporárias (Alentejo Central - Vendas Novas),,,,,,,,,,,
,,,,,,,,,,,Pág 9/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Redondo,,,,,,,,,,
,Culturas temporárias,   331 ,  7 987 ,   252 ,  7 605 ,   137 ,   383 ,   9 ,   33 ,   133 ,   350 
,Cereais para grão,   132 ,  4 033 ,   120 ,  3 918 ,   23 ,   115 ,- ,- ,   23 ,   115 
,Leguminosas secas para grão,   19 ,   406 ,   12 ,   398 ,   7 ,   9 ,- ,- ,   7 ,   9 
,Prados temporários,   1 ,... ,- ,- ,   1 ,... ,- ,- ,   1 ,... 
,Culturas forrageiras,   203 ,  2 512 ,   132 ,  2 269 ,   99 ,   243 ,   8 ,   32 ,   94 ,   211 
,Batata,   3 ,   2 ,   1 ,... ,   2 ,... ,   1 ,... ,   1 ,... 
,Beterraba sacarina,   9 ,   129 ,   9 ,   129 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   37 ,   810 ,   37 ,   810 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   75 ,   94 ,   48 ,   80 ,   30 ,   14 ,- ,- ,   30 ,   14 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Reguengos de Monsaraz,,,,,,,,,,
,Culturas temporárias,   505 ,  11 607 ,   461 ,  11 397 ,   117 ,   210 ,   3 ,   5 ,   115 ,   205 
,Cereais para grão,   325 ,  8 423 ,   316 ,  8 380 ,   30 ,   41 ,- ,- ,   30 ,   41 
,Leguminosas secas para grão,   20 ,   206 ,   16 ,   184 ,   4 ,   22 ,- ,- ,   4 ,   22 
,Prados temporários,   20 ,   135 ,   14 ,   113 ,   8 ,   23 ,- ,- ,   8 ,   23 
,Culturas forrageiras,   225 ,  1 964 ,   197 ,  1 855 ,   62 ,   110 ,   1 ,... ,   61 ,   106 
,Batata,   4 ,   1 ,   4 ,   1 ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   34 ,   796 ,   29 ,   795 ,   5 ,   2 ,- ,- ,   5 ,   2 
,Culturas hortícolas,   76 ,   69 ,   57 ,   57 ,   21 ,   12 ,   2 ,... ,   19 ,   11 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sousel,,,,,,,,,,
,Culturas temporárias,   284 ,  8 701 ,   268 ,  8 423 ,   37 ,   278 ,   2 ,... ,   36 ,   253 
,Cereais para grão,   199 ,  4 417 ,   195 ,  4 297 ,   16 ,   121 ,   1 ,... ,   15 ,   97 
,Leguminosas secas para grão,   9 ,   22 ,   7 ,   18 ,   2 ,... ,- ,- ,   2 ,... 
,Prados temporários,   14 ,  1 307 ,   14 ,  1 307 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   99 ,  1 772 ,   89 ,  1 628 ,   16 ,   143 ,   1 ,... ,   16 ,   143 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   5 ,   160 ,   5 ,   160 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   29 ,   693 ,   29 ,   693 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   51 ,   329 ,   47 ,   319 ,   5 ,   10 ,- ,- ,   5 ,   10 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Vendas Novas,,,,,,,,,,
,Culturas temporárias,   133 ,  3 125 ,   131 ,  3 071 ,   32 ,   55 ,   16 ,   32 ,   18 ,   24 
,Cereais para grão,   41 ,  1 122 ,   40 ,  1 121 ,   1 ,... ,- ,- ,   1 ,... 
,Leguminosas secas para grão,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Prados temporários,   9 ,   87 ,   9 ,   87 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas forrageiras,   84 ,  1 677 ,   81 ,  1 630 ,   20 ,   47 ,   11 ,   28 ,   10 ,   19 
,Batata,   18 ,   7 ,   13 ,   5 ,   6 ,   2 ,   3 ,   2 ,   3 ,   1 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   8 ,   163 ,   8 ,   163 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   26 ,   56 ,   25 ,   53 ,   8 ,   4 ,   4 ,   2 ,   5 ,   2 
,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
