Forma de exploração da SAU - Natureza jurídica do produtor,,,,,,,,,,,,,
,,,,,,,,,,,,,Pág 1/2
REGIÃO AGRÁRIA,,Natureza jurídica do produtor,,,,,,,,,,,
Nut III,,Produtor singular,,,,Sociedade,,Baldio,,Estado                                                       e pessoas públicas,,Outra,
Concelho,,Autónomo,,Empresário,,,,,,,,,
,,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
ALENTEJO,,  31 378 ,  722 471 ,  3 067 ,  687 840 ,  1 330 ,  463 345 ,   1 ,... ,   66 ,  21 140 ,   64 ,  28 955 
Alentejo Litoral,,  5 122 ,  150 410 ,   346 ,  87 109 ,   210 ,  50 303 ,- ,- ,   12 ,  2 515 ,   5 ,   812 
,Alcácer do Sal,   741 ,  27 529 ,   77 ,  34 883 ,   57 ,  26 959 ,- ,- ,   1 ,... ,   1 ,... 
,Grândola,   950 ,  28 798 ,   28 ,  7 332 ,   51 ,  7 346 ,- ,- ,   2 ,... ,- ,- 
,Odemira,  1 736 ,  46 948 ,   142 ,  24 272 ,   45 ,  5 991 ,- ,- ,   3 ,   559 ,   1 ,... 
,Santiago do Cacém,  1 494 ,  42 551 ,   87 ,  17 680 ,   53 ,  9 074 ,- ,- ,   4 ,   163 ,   3 ,   29 
,Sines,   201 ,  4 584 ,   12 ,  2 942 ,   4 ,   933 ,- ,- ,   2 ,... ,- ,- 
Alto Alentejo,,  10 142 ,  151 083 ,   725 ,  165 309 ,   289 ,  118 460 ,- ,- ,   15 ,  7 239 ,   21 ,  12 028 
,Alter do Chão,   294 ,  9 082 ,   39 ,  14 935 ,   8 ,  4 521 ,- ,- ,   2 ,... ,   1 ,... 
,Arronches,   427 ,  10 679 ,   36 ,  7 678 ,   18 ,  7 856 ,- ,- ,- ,- ,- ,- 
,Avis,   370 ,  8 486 ,   67 ,  19 029 ,   22 ,  12 422 ,- ,- ,- ,- ,   4 ,  2 489 
,Campo Maior,   528 ,  6 137 ,   123 ,  7 652 ,   25 ,  7 079 ,- ,- ,   1 ,... ,   2 ,... 
,Castelo de Vide,   271 ,  10 034 ,   27 ,  6 339 ,   6 ,  4 339 ,- ,- ,- ,- ,- ,- 
,Crato,   441 ,  12 699 ,   9 ,  4 564 ,   16 ,  8 647 ,- ,- ,- ,- ,   2 ,... 
,Elvas,   633 ,  10 656 ,   134 ,  23 193 ,   58 ,  21 287 ,- ,- ,   3 ,  1 203 ,   1 ,... 
,Fronteira,   208 ,  5 683 ,   26 ,  7 381 ,   19 ,  4 733 ,- ,- ,- ,- ,- ,- 
,Gavião,   932 ,  3 062 ,   26 ,   869 ,   8 ,  3 980 ,- ,- ,- ,- ,- ,- 
,Marvão,   540 ,  7 506 ,   14 ,  1 329 ,   7 ,  1 630 ,- ,- ,- ,- ,- ,- 
,Monforte,   189 ,  6 245 ,   33 ,  12 769 ,   27 ,  16 980 ,- ,- ,   2 ,... ,   1 ,... 
,Mora,   444 ,  8 488 ,   58 ,  25 105 ,   18 ,  9 914 ,- ,- ,   1 ,... ,   2 ,... 
,Nisa,  1 360 ,  20 996 ,   28 ,  4 101 ,   3 ,   43 ,- ,- ,- ,- ,   1 ,... 
,Ponte de Sor,  1 929 ,  14 991 ,   64 ,  24 691 ,   30 ,  8 386 ,- ,- ,   2 ,... ,   6 ,  5 064 
,Portalegre,  1 576 ,  16 339 ,   41 ,  5 674 ,   24 ,  6 643 ,- ,- ,   4 ,   10 ,   1 ,... 
Alentejo Central,,  7 725 ,  148 139 ,   914 ,  219 416 ,   489 ,  183 280 ,   1 ,... ,   20 ,  2 593 ,   24 ,  12 508 
,Alandroal,   836 ,  15 585 ,   41 ,  13 617 ,   28 ,  12 821 ,- ,- ,- ,- ,   1 ,... 
,Arraiolos,   301 ,  13 050 ,   65 ,  22 117 ,   33 ,  19 043 ,- ,- ,   1 ,... ,   1 ,... 
,Borba,   441 ,  2 388 ,   57 ,  2 567 ,   32 ,  3 094 ,- ,- ,   1 ,... ,   1 ,... 
,Estremoz,   962 ,  14 077 ,   97 ,  12 286 ,   45 ,  14 635 ,- ,- ,   2 ,... ,   3 ,   269 
,Évora,   936 ,  18 442 ,   129 ,  47 774 ,   85 ,  35 224 ,- ,- ,   7 ,   312 ,   8 ,  7 008 
,Montemor-o-Novo,   632 ,  23 196 ,   115 ,  32 998 ,   79 ,  33 595 ,- ,- ,- ,- ,   1 ,... 
,Mourão,   318 ,  5 658 ,   32 ,  9 943 ,   16 ,  10 740 ,   1 ,... ,   2 ,... ,- ,- 
,Portel,   693 ,  9 333 ,   49 ,  15 255 ,   29 ,  14 241 ,- ,- ,- ,- ,   1 ,... 
,Redondo,   555 ,  7 130 ,   89 ,  11 025 ,   36 ,  9 171 ,- ,- ,- ,- ,- ,- 
,Reguengos de Monsaraz,   858 ,  14 383 ,   108 ,  14 987 ,   39 ,  7 825 ,- ,- ,   2 ,... ,   1 ,... 
,Sousel,   445 ,  4 936 ,   62 ,  9 361 ,   27 ,  7 629 ,- ,- ,   2 ,... ,   1 ,... 
,Vendas Novas,   202 ,  4 953 ,   17 ,  7 877 ,   11 ,  4 326 ,- ,- ,   1 ,... ,   1 ,... 
,Viana do Alentejo,   260 ,  9 782 ,   37 ,  15 522 ,   13 ,  7 138 ,- ,- ,   2 ,... ,   2 ,... 
,Vila Viçosa,   286 ,  5 226 ,   16 ,  4 087 ,   16 ,  3 798 ,- ,- ,- ,- ,   3 ,   10 
Baixo Alentejo,,  8 389 ,  272 839 ,  1 082 ,  216 006 ,   342 ,  111 302 ,- ,- ,   19 ,  8 793 ,   14 ,  3 607 
,Aljustrel,   430 ,  18 363 ,   29 ,  12 174 ,   26 ,  6 804 ,- ,- ,   1 ,... ,- ,- 
,Almodôvar,   680 ,  27 851 ,   33 ,  8 628 ,   6 ,  1 380 ,- ,- ,- ,- ,- ,- 
,Alvito,   202 ,  7 104 ,   13 ,  3 887 ,   16 ,  4 624 ,- ,- ,- ,- ,- ,- 
,Barrancos,   260 ,  4 822 ,   19 ,  8 653 ,   1 ,... ,- ,- ,   1 ,... ,- ,- 
,Beja,   879 ,  22 047 ,   251 ,  44 355 ,   77 ,  22 252 ,- ,- ,   5 ,   761 ,   5 ,  1 352 
,Castro Verde,   233 ,  26 092 ,   21 ,  12 517 ,   19 ,  7 818 ,- ,- ,- ,- ,   2 ,... 
,Cuba,   383 ,  5 032 ,   42 ,  5 829 ,   7 ,  2 535 ,- ,- ,   1 ,... ,- ,- 
,Ferreira do Alentejo,   667 ,  23 385 ,   47 ,  14 502 ,   30 ,  10 686 ,- ,- ,   1 ,... ,- ,- 
,Mértola,   613 ,  40 181 ,   71 ,  25 801 ,   29 ,  14 815 ,- ,- ,   1 ,... ,- ,- 
,Moura,  1 368 ,  24 884 ,   181 ,  30 143 ,   28 ,  9 754 ,- ,- ,   4 ,  4 339 ,- ,- 
,Ourique,   602 ,  22 460 ,   38 ,  14 240 ,   28 ,  6 386 ,- ,- ,   1 ,... ,   1 ,... 
,Serpa,  1 630 ,  45 525 ,   188 ,  21 009 ,   52 ,  15 611 ,- ,- ,   2 ,... ,   4 ,   331 
,Vidigueira,   442 ,  5 093 ,   149 ,  14 268 ,   23 ,  8 221 ,- ,- ,   2 ,... ,   2 ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
