Forma de exploração da SAU - Contabilidade agrícola,,,,,,,,,,,,,
,,,,,,,,,,,,,Pág 2/2
REGIÃO AGRÁRIA,,Forma de exploração da SAU,,,,,,Contabilidade agrícola,,,,,
Nut III,,Conta própria,,Arrendamento,,Outras formas,,Contabilidade                                     organizada,,Registo de receitas e despesas,,Outra situação,
Concelho,,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
ALENTEJO,,  30 586 , 1 291 950 ,  6 888 ,  543 629 ,  2 254 ,  88 459 ,  5 834 , 1 350 482 ,  3 782 ,  262 886 ,  26 290 ,  310 699 
Alentejo Litoral,,  4 146 ,  151 184 ,  1 799 ,  111 754 ,   682 ,  28 205 ,   413 ,  99 991 ,  1 186 ,  123 239 ,  4 096 ,  67 915 
,Alcácer do Sal,   386 ,  57 690 ,   559 ,  31 226 ,   35 ,  1 522 ,   83 ,  44 388 ,   303 ,  39 296 ,   491 ,  6 753 
,Grândola,   841 ,  28 197 ,   205 ,  11 694 ,   105 ,  5 082 ,   83 ,  19 228 ,   134 ,  10 689 ,   814 ,  15 056 
,Odemira,  1 492 ,  31 806 ,   573 ,  36 725 ,   256 ,  9 243 ,   116 ,  17 137 ,   325 ,  32 624 ,  1 486 ,  28 014 
,Santiago do Cacém,  1 315 ,  30 973 ,   382 ,  28 500 ,   231 ,  10 021 ,   121 ,  17 838 ,   372 ,  35 240 ,  1 148 ,  16 418 
,Sines,   112 ,  2 518 ,   80 ,  3 609 ,   55 ,  2 337 ,   10 ,  1 400 ,   52 ,  5 390 ,   157 ,  1 674 
Alto Alentejo,,  9 980 ,  330 131 ,  1 519 ,  101 523 ,   456 ,  22 447 ,  1 332 ,  326 311 ,   624 ,  42 607 ,  9 236 ,  85 205 
,Alter do Chão,   273 ,  21 347 ,   100 ,  7 641 ,   20 ,   725 ,   73 ,  22 021 ,   5 ,  1 599 ,   266 ,  6 092 
,Arronches,   442 ,  20 000 ,   71 ,  6 212 ,- ,- ,   97 ,  21 939 ,   12 ,   636 ,   372 ,  3 638 
,Avis,   376 ,  30 669 ,   89 ,  10 331 ,   45 ,  1 426 ,   114 ,  33 708 ,   134 ,  5 234 ,   215 ,  3 483 
,Campo Maior,   644 ,  16 799 ,   81 ,  4 200 ,   3 ,   87 ,   110 ,  17 016 ,   87 ,  1 414 ,   482 ,  2 657 
,Castelo de Vide,   257 ,  14 937 ,   88 ,  5 556 ,   6 ,   220 ,   38 ,  12 604 ,   4 ,   385 ,   262 ,  7 724 
,Crato,   423 ,  19 152 ,   80 ,  5 863 ,   24 ,   897 ,   58 ,  18 200 ,   20 ,  1 607 ,   390 ,  6 108 
,Elvas,   720 ,  47 818 ,   168 ,  9 616 ,   7 ,   51 ,   188 ,  46 793 ,   116 ,  6 107 ,   525 ,  4 589 
,Fronteira,   211 ,  13 364 ,   65 ,  4 341 ,   13 ,   91 ,   93 ,  15 122 ,   7 ,   503 ,   153 ,  2 173 
,Gavião,   944 ,  7 444 ,   23 ,   375 ,   30 ,   91 ,   46 ,  4 775 ,   12 ,   274 ,   908 ,  2 862 
,Marvão,   503 ,  7 007 ,   99 ,  2 985 ,   8 ,   471 ,   33 ,  3 333 ,   56 ,  1 415 ,   472 ,  5 717 
,Monforte,   209 ,  24 981 ,   72 ,  10 567 ,   15 ,  2 190 ,   52 ,  24 916 ,   58 ,  10 342 ,   142 ,  2 483 
,Mora,   431 ,  26 763 ,   66 ,  7 233 ,   74 ,  10 126 ,   119 ,  39 779 ,   13 ,  1 400 ,   391 ,  2 943 
,Nisa,  1 367 ,  19 330 ,   82 ,  4 735 ,   27 ,  1 538 ,   64 ,  10 138 ,   31 ,  2 378 ,  1 297 ,  13 090 
