Explorações segundo o número de blocos com SAU (Alto Alentejo - Marvão),,,,,,,,,,,,,
,,,,,,,,,,Pág 1/3,,,
REGIÃO AGRÁRIA,,,Número de blocos com SAU,,,,,,,,,,
Nut III / Concelho,,,Total,1,2,3,4 e 5,6 a 9,10 a 19,> = 20,,,
ALENTEJO,,expl (nº),  34 874 ,  16 547 ,  7 169 ,  3 858 ,  3 744 ,  2 354 ,  1 001 ,   201 ,,,
,,SAU (ha), 1 924 044 ,  645 472 ,  403 256 ,  254 757 ,  274 430 ,  206 892 ,  98 194 ,  41 074 ,,,
,,blocos com SAU (nº),  93 885 ,  16 547 ,  14 338 ,  11 574 ,  16 449 ,  16 627 ,  12 706 ,  5 644 ,,,
Alentejo Litoral,,expl (nº),  5 585 ,  3 453 ,  1 227 ,   456 ,   328 ,   110 ,   10 ,   1 ,,,
,,SAU (ha),  291 144 ,  118 298 ,  72 630 ,  35 782 ,  39 295 ,  21 987 ,  1 772 ,... ,,,
,,blocos com SAU (nº),  9 596 ,  3 453 ,  2 454 ,  1 368 ,  1 425 ,   755 ,   112 ,... ,,,
,Alcácer do Sal,expl (nº),   862 ,   504 ,   211 ,   78 ,   51 ,   15 ,   2 ,   1 ,,,
,,SAU (ha),  90 437 ,  40 914 ,  24 476 ,  10 290 ,  7 503 ,  5 800 ,... ,... ,,,
,,blocos com SAU (nº),  1 534 ,   504 ,   422 ,   234 ,   223 ,   99 ,... ,... ,,,
,Grândola,expl (nº),  1 018 ,   576 ,   245 ,   102 ,   76 ,   18 ,   1 ,- ,,,
,,SAU (ha),  44 973 ,  18 642 ,  10 830 ,  5 657 ,  8 686 ,  1 137 ,... ,- ,,,
,,blocos com SAU (nº),  1 840 ,   576 ,   490 ,   306 ,   326 ,   129 ,... ,- ,,,
,Odemira,expl (nº),  1 873 ,  1 280 ,   357 ,   135 ,   78 ,   20 ,   3 ,- ,,,
,,SAU (ha),  77 775 ,  33 334 ,  20 597 ,  10 615 ,  10 198 ,  2 489 ,   545 ,- ,,,
,,blocos com SAU (nº),  2 904 ,  1 280 ,   714 ,   405 ,   339 ,   135 ,   31 ,- ,,,
,Santiago do Cacém,expl (nº),  1 623 ,   960 ,   382 ,   128 ,   102 ,   47 ,   4 ,- ,,,
,,SAU (ha),  69 495 ,  22 993 ,  16 026 ,  8 311 ,  11 003 ,  10 027 ,  1 133 ,- ,,,
,,blocos com SAU (nº),  2 917 ,   960 ,   764 ,   384 ,   442 ,   322 ,   45 ,- ,,,
,Sines,expl (nº),   209 ,   133 ,   32 ,   13 ,   21 ,   10 ,- ,- ,,,
