Efectivo animal (Alto Alentejo - Mora),,,,,,,,,
,,,,,,,,,Pág 5/13
,,Gavião,,Marvão,,Monforte,,Mora,
,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,   42 ,   455 ,   129 ,  2 196 ,   91 ,  14 021 ,   42 ,  6 632 
Bovinos com menos de 1 ano,,   13 ,   39 ,   54 ,   357 ,   85 ,  3 340 ,   37 ,  1 606 
Vitelos de carne (para abate < 1 ano),,   8 ,   12 ,   3 ,   7 ,- ,- ,- ,- 
Outros vitelos,,   8 ,   27 ,   51 ,   350 ,   85 ,  3 340 ,   37 ,  1 606 
,Machos,   5 ,   11 ,   43 ,   245 ,   75 ,  1 679 ,   35 ,  1 072 
,Fêmeas,   5 ,   16 ,   27 ,   105 ,   79 ,  1 661 ,   29 ,   534 
Bovinos de 1 a menos de 2 anos,,   9 ,   24 ,   40 ,   242 ,   58 ,  1 855 ,   18 ,  1 030 
Machos,,   4 ,   5 ,   12 ,   77 ,   27 ,   711 ,   9 ,   665 
Fêmeas reprodutoras,,   5 ,   19 ,   29 ,   162 ,   55 ,  1 144 ,   15 ,   365 
Fêmeas não reprodutoras,,- ,- ,   1 ,... ,- ,- ,- ,- 
Bovinos de 2 anos e mais,,   39 ,   392 ,   104 ,  1 597 ,   88 ,  8 826 ,   42 ,  3 996 
Machos,,   7 ,   80 ,   43 ,   59 ,   73 ,   381 ,   34 ,   78 
Novilhas reprodutoras,,   13 ,   135 ,   23 ,   100 ,   49 ,   679 ,   9 ,   161 
Novilhas não reprodutoras,,- ,- ,   3 ,   8 ,- ,- ,   1 ,... 
Vacas leiteiras,,   12 ,   45 ,   50 ,   309 ,   11 ,   476 ,   6 ,   310 
Outras vacas,,   18 ,   132 ,   57 ,  1 121 ,   77 ,  7 290 ,   36 ,  3 431 
SUÍNOS,,   169 ,   360 ,   123 ,   448 ,   21 ,  1 171 ,   91 ,  8 208 
Suínos com menos de 20 kg de PV,,   3 ,   8 ,   17 ,   88 ,   9 ,   520 ,   15 ,  2 107 
Fêmeas reprodutoras de 50 kg de PV e mais,,   32 ,   53 ,   38 ,   93 ,   19 ,   185 ,   23 ,  1 505 
Outros suínos,,   157 ,   299 ,   105 ,   267 ,   20 ,   466 ,   87 ,  4 596 
OVINOS,,   94 ,  4 581 ,   185 ,  8 252 ,   90 ,  26 139 ,   123 ,  35 978 
Fêmeas reprodutoras,,   90 ,  3 870 ,   184 ,  7 377 ,   90 ,  20 108 ,   113 ,  28 700 
Outros ovinos,,   53 ,   711 ,   124 ,   875 ,   90 ,  6 031 ,   117 ,  7 278 
CAPRINOS,,   224 ,  2 654 ,   172 ,  3 231 ,   12 ,   358 ,   19 ,  1 020 
Fêmeas reprodutoras,,   217 ,  2 109 ,   168 ,  2 752 ,   12 ,   319 ,   18 ,   873 
Outros caprinos,,   93 ,   545 ,   91 ,   479 ,   11 ,   39 ,   15 ,   147 
EQUÍDEOS,,   186 ,   196 ,   131 ,   147 ,   26 ,   187 ,   44 ,   184 
Gado equino,,   15 ,   22 ,   11 ,   20 ,   23 ,   181 ,   28 ,   160 
,Fêmeas reprodutoras,   7 ,   13 ,   11 ,   18 ,   16 ,   70 ,   26 ,   98 
,Outros equinos,   8 ,   9 ,   2 ,... ,   15 ,   111 ,   21 ,   62 
Gado asinino,,   102 ,   105 ,   29 ,   31 ,   2 ,... ,   7 ,   12 
Gado muar,,   69 ,   69 ,   96 ,   96 ,   4 ,   4 ,   12 ,   12 
COELHAS reprodutoras,,   188 ,   562 ,   68 ,   202 ,- ,- ,   31 ,   75 
AVES,,,,,,,,,
Frangos de carne (inclui galos),,   240 ,  2 546 ,   76 ,   397 ,   19 ,   84 ,   153 ,  1 416 
Galinhas poedeiras e reprodutoras,,   596 ,  5 195 ,   223 ,  2 387 ,   18 ,   208 ,   221 ,  2 156 
Perús,,   18 ,   48 ,   17 ,   57 ,   1 ,... ,   67 ,   397 
"Patos, Gansos e Pintadas",,   112 ,  1 011 ,   66 ,   503 ,   8 ,   96 ,   74 ,   609 
ABELHAS,,,,,,,,,
Número de colmeias povoadas,,   88 ,   853 ,   5 ,   31 ,   2 ,... ,   29 ,   720 
