Explorações segundo o número de bovinos (Alentejo Central - Arraiolos / Classe >= 300),,,,,,,,,
,,,,,,,,,Pág 3/4
REGIÃO AGRÁRIA,,Total,Classes do número de animais,,,,,,
Nut III / Concelho,,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300
ALENTEJO,expl (nº),  4 806 ,   321 ,   272 ,   193 ,   591 ,   717 ,   265 ,   240 
,efect (nº),  392 268 ,  11 080 ,  12 042 ,  10 459 ,  46 002 ,  101 504 ,  63 165 ,  124 380 
Alentejo Litoral,expl (nº),  1 322 ,   107 ,   76 ,   63 ,   116 ,   126 ,   24 ,   27 
,efect (nº),  62 910 ,  3 721 ,  3 339 ,  3 431 ,  9 068 ,  17 568 ,  5 593 ,  11 551 
Alcácer do Sal,expl (nº),   186 ,   23 ,   19 ,   13 ,   30 ,   42 ,   9 ,   16 
,efect (nº),  21 144 ,   811 ,   846 ,   703 ,  2 352 ,  6 102 ,  2 144 ,  7 705 
Grândola,expl (nº),   93 ,   8 ,   1 ,   4 ,   8 ,   13 ,   4 ,   2 
,efect (nº),  5 300 ,   283 ,... ,   215 ,   650 ,  1 858 ,   919 ,... 
Odemira,expl (nº),   721 ,   49 ,   29 ,   24 ,   47 ,   31 ,   4 ,   5 
,efect (nº),  20 449 ,  1 680 ,  1 259 ,  1 313 ,  3 620 ,  4 224 ,   955 ,  1 694 
Santiago do Cacém,expl (nº),   266 ,   20 ,   21 ,   18 ,   25 ,   36 ,   7 ,   4 
,efect (nº),  13 957 ,   698 ,   933 ,   981 ,  1 970 ,  4 914 ,  1 575 ,  1 332 
Sines,expl (nº),   56 ,   7 ,   6 ,   4 ,   6 ,   4 ,- ,- 
,efect (nº),  2 060 ,   249 ,   258 ,   219 ,   476 ,   470 ,- ,- 
Alto Alentejo,expl (nº),  1 301 ,   86 ,   69 ,   41 ,   142 ,   163 ,   80 ,   75 
,efect (nº),  103 243 ,  2 985 ,  3 060 ,  2 204 ,  10 719 ,  23 453 ,  19 074 ,  35 443 
