Máquinas e equipamentos (Alto Alentejo - Mora),,,,,,,,,,,,
,,,,,,,,,,,,Pág 2/5
,,,Avis,Campo Maior,Castelo de Vide,Crato,Elvas,Fronteira,Gavião,Marvão,Monforte,Mora
Explorações que utilizam tractores,,expl (nº),   432 ,   650 ,   232 ,   324 ,   758 ,   204 ,   705 ,   310 ,   215 ,   320 
Máquinas pertencentes à exploração,,,,,,,,,,,,
Tractores ( de rodas e de rasto),,expl (nº),   197 ,   249 ,   113 ,   146 ,   364 ,   109 ,   222 ,   101 ,   106 ,   277 
,,máq (nº),   341 ,   348 ,   145 ,   201 ,   590 ,   175 ,   256 ,   116 ,   207 ,   390 
,De menos de 20 c.v.,expl (nº),   7 ,   4 ,   10 ,   10 ,   8 ,- ,   68 ,   5 ,   1 ,   6 
,,máq (nº),   7 ,   4 ,   13 ,   10 ,   8 ,- ,   70 ,   5 ,... ,   6 
,De 20 a menos de 34 c.v.,expl (nº),   8 ,   19 ,   12 ,   26 ,   25 ,   1 ,   84 ,   14 ,   3 ,   11 
,,máq (nº),   8 ,   19 ,   12 ,   26 ,   25 ,... ,   84 ,   14 ,   3 ,   11 
,De 34 a menos de 55 c.v.,expl (nº),   27 ,   73 ,   35 ,   24 ,   65 ,   7 ,   43 ,   44 ,   14 ,   20 
,,máq (nº),   31 ,   76 ,   37 ,   24 ,   66 ,   7 ,   43 ,   44 ,   16 ,   21 
,De 55 a menos de 82 c.v.,expl (nº),   132 ,   137 ,   53 ,   77 ,   234 ,   78 ,   32 ,   41 ,   75 ,   218 
,,máq (nº),   188 ,   167 ,   66 ,   100 ,   307 ,   93 ,   43 ,   46 ,   107 ,   255 
,De 82 a menos de 109 c.v,expl (nº),   52 ,   43 ,   15 ,   26 ,   89 ,   41 ,   3 ,   6 ,   30 ,   58 
,,máq (nº),   67 ,   56 ,   16 ,   32 ,   116 ,   53 ,   4 ,   7 ,   44 ,   77 
,De 109 c.v. e mais,expl (nº),   30 ,   21 ,   1 ,   9 ,   48 ,   16 ,   5 ,- ,   24 ,   15 
,,máq (nº),   40 ,   26 ,... ,   9 ,   68 ,   21 ,   12 ,- ,   36 ,   20 
Motocultivadores,,expl (nº),   11 ,   15 ,   61 ,   54 ,   58 ,   9 ,   116 ,   77 ,   5 ,   113 
,,máq (nº),   11 ,   15 ,   61 ,   54 ,   60 ,   9 ,   119 ,   77 ,   5 ,   114 
Motoenxadas (motofresas),,expl (nº),   6 ,   4 ,   9 ,   19 ,   9 ,   7 ,   55 ,   16 ,- ,   4 
,,máq (nº),   6 ,   4 ,   9 ,   19 ,   9 ,   7 ,   56 ,   16 ,- ,   4 
Motoceifeiras (motogadanheiras),,expl (nº),   1 ,   1 ,   8 ,   25 ,   1 ,   2 ,   11 ,   5 ,- ,   1 
,,máq (nº),... ,... ,   8 ,   28 ,... ,... ,   11 ,   6 ,- ,... 
Electrobomba/motobomba,,expl (nº),   223 ,   216 ,   132 ,   154 ,   385 ,   101 ,   538 ,   157 ,   27 ,   223 
,,máq (nº),   466 ,   471 ,   156 ,   203 ,   753 ,   215 ,   854 ,   176 ,   75 ,   255 
Distribuidores de adubos e correctivos,,expl (nº),   105 ,   99 ,   12 ,   32 ,   159 ,   79 ,   11 ,   16 ,   92 ,   134 
,,máq (nº),   134 ,   116 ,   12 ,   34 ,   194 ,   87 ,   12 ,   16 ,   102 ,   138 
Semeadores,,expl (nº),   55 ,   47 ,   31 ,   44 ,   145 ,   47 ,   8 ,   12 ,   39 ,   91 
,,máq (nº),   75 ,   59 ,   32 ,   47 ,   185 ,   53 ,   12 ,   12 ,   52 ,   94 
Plantadores/transplantadores,,expl (nº),   13 ,   3 ,- ,- ,   13 ,   1 ,   1 ,- ,   1 ,   8 
,,máq (nº),   13 ,   7 ,- ,- ,   13 ,... ,... ,- ,... ,   8 
Pulverizadores e polvilhadores,,expl (nº),   42 ,   54 ,   11 ,   13 ,   96 ,   39 ,   156 ,   4 ,   27 ,   42 
,,máq (nº),   50 ,   57 ,   13 ,   15 ,   108 ,   45 ,   176 ,   5 ,   32 ,   43 
Gadanheiras,,expl (nº),   62 ,   42 ,   73 ,   75 ,   95 ,   50 ,   23 ,   37 ,   71 ,   46 
,,máq (nº),   70 ,   43 ,   79 ,   84 ,   115 ,   52 ,   28 ,   37 ,   84 ,   48 
Colhedores de forragem,,expl (nº),   6 ,   7 ,   1 ,   10 ,   15 ,   3 ,   1 ,   1 ,   2 ,   17 
,,máq (nº),   7 ,   7 ,... ,   10 ,   15 ,   3 ,... ,... ,... ,   18 
Enfardadeiras,,expl (nº),   47 ,   34 ,   38 ,   35 ,   88 ,   38 ,   11 ,   16 ,   43 ,   58 
,,máq (nº),   50 ,   38 ,   39 ,   39 ,   94 ,   42 ,   11 ,   16 ,   47 ,   58 
Ceifeiras-debulhadoras,,expl (nº),   37 ,   25 ,   6 ,   9 ,   65 ,   31 ,   10 ,   3 ,   27 ,   61 
,,máq (nº),   44 ,   25 ,   6 ,   9 ,   70 ,   33 ,   11 ,   3 ,   31 ,   63 
Secadores de cereais,,expl (nº),   2 ,   2 ,- ,- ,   5 ,   2 ,   1 ,- ,   3 ,   4 
,,máq (nº),... ,... ,- ,- ,   5 ,... ,... ,- ,   3 ,   4 
Viradores de feno,,expl (nº),   41 ,   29 ,   12 ,   47 ,   28 ,   38 ,   2 ,   14 ,   49 ,   12 
,,máq (nº),   44 ,   30 ,   12 ,   49 ,   29 ,   38 ,... ,   14 ,   51 ,   12 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
