Principais características da população familiar (Homem / Alto Alentejo - Mora),,,,,,,,,,,,
,,,,,,,,,,,,Pág 7/15
,,,Avis,Campo Maior,Castelo de Vide,Crato,Elvas,Fronteira,Gavião,Marvão,Monforte,Mora
Homem (nº indivíduos),,,,,,,,,,,,
População familiar,,,   586 ,   922 ,   390 ,   571 ,  1 097 ,   353 ,  1 095 ,   604 ,   293 ,   629 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   91 ,   141 ,   93 ,   75 ,   148 ,   46 ,   177 ,   169 ,   33 ,   100 
,Sabe ler e escrever,,   36 ,   78 ,   32 ,   70 ,   86 ,   35 ,   140 ,   56 ,   37 ,   41 
,Básico - 1º ciclo,,   209 ,   339 ,   121 ,   233 ,   345 ,   116 ,   500 ,   232 ,   107 ,   296 
,Básico - 2º ciclo,,   62 ,   91 ,   56 ,   49 ,   152 ,   35 ,   94 ,   51 ,   35 ,   40 
,Básico - 3º ciclo,,   54 ,   119 ,   27 ,   63 ,   141 ,   38 ,   95 ,   50 ,   36 ,   75 
,Secundário agrícola,,   6 ,   10 ,   3 ,   6 ,   15 ,   6 ,   13 ,   3 ,   1 ,   7 
,Secundário não agrícola,,   51 ,   79 ,   26 ,   34 ,   91 ,   28 ,   36 ,   23 ,   27 ,   28 
,Politécnico / Superior agrícola,,   17 ,   28 ,   8 ,   20 ,   37 ,   28 ,   11 ,   8 ,   9 ,   11 
,Politécnico / Superior não agrícola,,   60 ,   37 ,   24 ,   21 ,   82 ,   21 ,   29 ,   12 ,   8 ,   31 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   467 ,   634 ,   333 ,   423 ,   695 ,   242 ,   964 ,   521 ,   221 ,   526 
,Curta duração,,   4 ,   10 ,   1 ,   4 ,   16 ,   5 ,   10 ,   2 ,   2 ,   2 
,Longa duração,,   21 ,   15 ,   2 ,   13 ,   44 ,   4 ,   2 ,   7 ,   5 ,   5 
,Longa e curta duração,,   2 ,   11 ,   1 ,   1 ,   27 ,   13 ,   2 ,   2 ,   6 ,   2 
,Completa,,   23 ,   38 ,   11 ,   26 ,   52 ,   34 ,   24 ,   11 ,   10 ,   18 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,   75 ,   226 ,   43 ,   110 ,   278 ,   49 ,   114 ,   64 ,   53 ,   80 
,Tempo parcial,,   380 ,   562 ,   219 ,   405 ,   604 ,   189 ,   931 ,   493 ,   230 ,   480 
,,> 0 - < 25%,   262 ,   210 ,   104 ,   182 ,   329 ,   157 ,   307 ,   210 ,   112 ,   293 
,,25 - < 50%,   71 ,   218 ,   68 ,   126 ,   154 ,   16 ,   270 ,   98 ,   32 ,   146 
,,50 - < 75%,   29 ,   44 ,   27 ,   57 ,   64 ,   9 ,   206 ,   35 ,   21 ,   25 
,,75 - < 100%,   18 ,   90 ,   20 ,   40 ,   57 ,   7 ,   148 ,   150 ,   65 ,   16 
,Tempo completo,,   131 ,   134 ,   128 ,   56 ,   215 ,   115 ,   50 ,   47 ,   10 ,   69 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   180 ,   360 ,   117 ,   198 ,   352 ,   107 ,   329 ,   152 ,   94 ,   213 
,,Sector primário,   38 ,   44 ,   6 ,   21 ,   73 ,   40 ,   36 ,   25 ,   30 ,   45 
,,Sector secundário,   30 ,   154 ,   29 ,   87 ,   39 ,   19 ,   91 ,   57 ,   18 ,   72 
,,Sector terciário,   112 ,   162 ,   82 ,   90 ,   240 ,   48 ,   202 ,   70 ,   46 ,   96 
,Seundária,,   5 ,- ,- ,   2 ,   2 ,   4 ,   3 ,   2 ,   6 ,   3 
,,Sector primário,   4 ,- ,- ,- ,   1 ,   2 ,   1 ,- ,   5 ,   2 
,,Sector secundário,- ,- ,- ,   1 ,- ,   1 ,   1 ,   2 ,- ,- 
,,Sector terciário,   1 ,- ,- ,   1 ,   1 ,   1 ,   1 ,- ,   1 ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   18 ,   60 ,   11 ,   27 ,   58 ,   9 ,   13 ,   14 ,   16 ,   31 
,Trabalhador por conta própria,,   34 ,   20 ,   18 ,   38 ,   45 ,   20 ,   38 ,   28 ,   23 ,   23 
,Trabalhador por conta de outrem,,   130 ,   279 ,   88 ,   135 ,   251 ,   81 ,   277 ,   110 ,   59 ,   162 
,Trabalhador familiar remunerado,,   2 ,- ,- ,- ,- ,- ,- ,   1 ,- ,- 
,Outra situação,,   1 ,   1 ,- ,- ,- ,   1 ,   4 ,   1 ,   2 ,- 
Dirigente na população familiar,,,   343 ,   549 ,   251 ,   366 ,   628 ,   202 ,   793 ,   486 ,   195 ,   432 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
