Principais características da população familiar (Mulher / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 14/15
,,,Mourão,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa,Baixo Alentejo,Aljustrel
Homem (nº indivíduos),,,,,,,,,,,,
População familiar,,,   446 ,   989 ,   869 ,  1 246 ,   643 ,   313 ,   377 ,   388 ,  12 357 ,   626 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   82 ,   164 ,   178 ,   182 ,   84 ,   51 ,   64 ,   70 ,  2 455 ,   77 
,Sabe ler e escrever,,   72 ,   182 ,   134 ,   262 ,   58 ,   62 ,   62 ,   81 ,  1 898 ,   84 
,Básico - 1º ciclo,,   132 ,   328 ,   272 ,   365 ,   293 ,   100 ,   109 ,   102 ,  3 801 ,   207 
,Básico - 2º ciclo,,   51 ,   91 ,   81 ,   97 ,   54 ,   27 ,   28 ,   29 ,  1 316 ,   87 
,Básico - 3º ciclo,,   49 ,   84 ,   65 ,   116 ,   47 ,   26 ,   43 ,   33 ,  1 089 ,   65 
,Secundário agrícola,,- ,   3 ,   3 ,   5 ,   3 ,- ,   5 ,   2 ,   76 ,- 
,Secundário não agrícola,,   27 ,   63 ,   71 ,   121 ,   59 ,   23 ,   32 ,   36 ,   915 ,   52 
,Politécnico / Superior agrícola,,   1 ,   7 ,   7 ,   6 ,   3 ,   2 ,   7 ,   2 ,   98 ,   5 
,Politécnico / Superior não agrícola,,   32 ,   67 ,   58 ,   92 ,   42 ,   22 ,   27 ,   33 ,   709 ,   49 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   369 ,   689 ,   457 ,  1 094 ,   256 ,   236 ,   227 ,   204 ,  7 219 ,   458 
,Curta duração,,   6 ,   2 ,   3 ,   15 ,   4 ,   1 ,   3 ,- ,   38 ,   3 
,Longa duração,,   3 ,   7 ,   7 ,   6 ,   4 ,   2 ,   5 ,   2 ,   91 ,   1 
,Longa e curta duração,,- ,   1 ,   1 ,   2 ,- ,   5 ,- ,- ,   43 ,- 
,Completa,,   1 ,   10 ,   10 ,   11 ,   6 ,   2 ,   12 ,   4 ,   174 ,   5 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,   71 ,   347 ,   439 ,   122 ,   386 ,   139 ,   157 ,   195 ,  5 319 ,   195 
,Tempo parcial,,   375 ,   625 ,   423 ,  1 118 ,   245 ,   152 ,   189 ,   175 ,  6 747 ,   407 
,,> 0 - < 25%,   316 ,   563 ,   364 ,   747 ,   182 ,   55 ,   126 ,   135 ,  5 239 ,   366 
,,25 - < 50%,   49 ,   31 ,   32 ,   245 ,   42 ,   40 ,   24 ,   25 ,   873 ,   26 
