Principais características do produtor singular (Homem/Mulher / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 4/15
,,,Mourão,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa,Baixo Alentejo,Aljustrel
Homem / Mulher (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,   350 ,   742 ,   644 ,   966 ,   507 ,   219 ,   297 ,   302 ,  9 471 ,   459 
,Autónomo,,   318 ,   693 ,   555 ,   858 ,   445 ,   202 ,   260 ,   286 ,  8 389 ,   430 
,Empresário,,   32 ,   49 ,   89 ,   108 ,   62 ,   17 ,   37 ,   16 ,  1 082 ,   29 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   39 ,   142 ,   125 ,   126 ,   61 ,   21 ,   52 ,   50 ,  1 699 ,   56 
,Sabe ler e escrever,,   55 ,   112 ,   77 ,   191 ,   50 ,   26 ,   40 ,   42 ,  1 305 ,   42 
,Básico - 1º ciclo,,   158 ,   343 ,   295 ,   400 ,   276 ,   124 ,   115 ,   129 ,  4 378 ,   225 
,Básico - 2º ciclo,,   30 ,   45 ,   40 ,   82 ,   33 ,   12 ,   18 ,   26 ,   706 ,   54 
,Básico - 3º ciclo,,   26 ,   47 ,   32 ,   64 ,   39 ,   15 ,   21 ,   15 ,   590 ,   41 
,Secundário agrícola,,   1 ,   3 ,   6 ,   3 ,   3 ,   1 ,   4 ,   2 ,   66 ,- 
,Secundário não agrícola,,   19 ,   17 ,   29 ,   45 ,   17 ,   10 ,   18 ,   12 ,   286 ,   11 
,Politécnico / Superior agrícola,,   2 ,   10 ,   13 ,   12 ,   7 ,   4 ,   13 ,   5 ,   166 ,   16 
,Politécnico / Superior não agrícola,,   20 ,   23 ,   27 ,   43 ,   21 ,   6 ,   16 ,   21 ,   275 ,   14 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   324 ,   697 ,   583 ,   851 ,   468 ,   194 ,   266 ,   289 ,  8 669 ,   428 
,Curta duração,,   11 ,   5 ,   21 ,   58 ,   7 ,   10 ,   3 ,   1 ,   144 ,   4 
,Longa duração,,   8 ,   23 ,   17 ,   18 ,   19 ,   3 ,   8 ,   3 ,   297 ,   9 
,Longa e curta duração,,   4 ,   4 ,   4 ,   24 ,   3 ,   7 ,   3 ,   2 ,   129 ,   2 
,Completa,,   3 ,   13 ,   19 ,   15 ,   10 ,   5 ,   17 ,   7 ,   232 ,   16 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,   345 ,   622 ,   544 ,   922 ,   400 ,   148 ,   200 ,   243 ,  7 641 ,   270 
,,> 0 - < 25%,   170 ,   477 ,   395 ,   313 ,   287 ,   32 ,   74 ,   112 ,  4 449 ,   193 
,,25 - < 50%,   77 ,   73 ,   68 ,   250 ,   63 ,   33 ,   37 ,   83 ,  1 458 ,   44 
,,50 - < 75%,   34 ,   40 ,   25 ,   115 ,   32 ,   67 ,   35 ,   30 ,   716 ,   15 
,,75 - < 100%,   64 ,   32 ,   56 ,   244 ,   18 ,   16 ,   54 ,   18 ,  1 018 ,   18 
,Tempo completo,,   5 ,   120 ,   100 ,   44 ,   107 ,   71 ,   97 ,   59 ,  1 830 ,   189 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   118 ,   266 ,   257 ,   291 ,   157 ,   103 ,   85 ,   110 ,  2 665 ,   125 
,,Sector primário,   32 ,   92 ,   81 ,   50 ,   42 ,   17 ,   16 ,   15 ,   772 ,   44 
