Principais características do produtor singular (Homem / Alto Alentejo - Mora),,,,,,,,,,,,
,,,,,,,,,,,,Pág 7/15
,,,Avis,Campo Maior,Castelo de Vide,Crato,Elvas,Fronteira,Gavião,Marvão,Monforte,Mora
Homem (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,   344 ,   549 ,   247 ,   361 ,   632 ,   198 ,   789 ,   476 ,   194 ,   422 
,Autónomo,,   293 ,   452 ,   227 ,   352 ,   526 ,   178 ,   767 ,   467 ,   165 ,   380 
,Empresário,,   51 ,   97 ,   20 ,   9 ,   106 ,   20 ,   22 ,   9 ,   29 ,   42 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   47 ,   95 ,   88 ,   57 ,   77 ,   27 ,   152 ,   153 ,   25 ,   75 
,Sabe ler e escrever,,   19 ,   47 ,   20 ,   48 ,   53 ,   24 ,   122 ,   48 ,   27 ,   28 
,Básico - 1º ciclo,,   179 ,   274 ,   90 ,   177 ,   261 ,   91 ,   396 ,   202 ,   89 ,   243 
,Básico - 2º ciclo,,   23 ,   38 ,   21 ,   22 ,   75 ,   14 ,   49 ,   26 ,   17 ,   11 
,Básico - 3º ciclo,,   24 ,   34 ,   4 ,   25 ,   53 ,   10 ,   39 ,   28 ,   16 ,   25 
,Secundário agrícola,,   3 ,   2 ,   2 ,   3 ,   7 ,   1 ,   2 ,- ,   1 ,   3 
,Secundário não agrícola,,   11 ,   16 ,   7 ,   10 ,   37 ,   9 ,   13 ,   11 ,   8 ,   6 
,Politécnico / Superior agrícola,,   12 ,   21 ,   2 ,   12 ,   27 ,   14 ,   4 ,   4 ,   7 ,   9 
,Politécnico / Superior não agrícola,,   26 ,   22 ,   13 ,   7 ,   42 ,   8 ,   12 ,   4 ,   4 ,   22 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   307 ,   497 ,   240 ,   333 ,   535 ,   168 ,   772 ,   462 ,   176 ,   405 
,Curta duração,,   4 ,   10 ,   1 ,   2 ,   12 ,   5 ,   7 ,   2 ,   2 ,   1 
,Longa duração,,   17 ,   11 ,   1 ,   10 ,   34 ,   3 ,   2 ,   7 ,   3 ,   3 
,Longa e curta duração,,   1 ,   8 ,   1 ,   1 ,   17 ,   7 ,   2 ,   1 ,   5 ,   1 
,Completa,,   15 ,   23 ,   4 ,   15 ,   34 ,   15 ,   6 ,   4 ,   8 ,   12 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,   216 ,   426 ,   126 ,   308 ,   443 ,   99 ,   745 ,   433 ,   184 ,   362 
,,> 0 - < 25%,   117 ,   148 ,   39 ,   122 ,   209 ,   73 ,   191 ,   174 ,   77 ,   201 
,,25 - < 50%,   57 ,   162 ,   50 ,   105 ,   126 ,   12 ,   236 ,   89 ,   30 ,   129 
,,50 - < 75%,   26 ,   37 ,   21 ,   44 ,   55 ,   7 ,   185 ,   32 ,   18 ,   19 
,,75 - < 100%,   16 ,   79 ,   16 ,   37 ,   53 ,   7 ,   133 ,   138 ,   59 ,   13 
,Tempo completo,,   128 ,   123 ,   121 ,   53 ,   189 ,   99 ,   44 ,   43 ,   10 ,   60 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   101 ,   217 ,   54 ,   112 ,   195 ,   63 ,   189 ,   113 ,   56 ,   151 
,,Sector primário,   24 ,   35 ,   4 ,   10 ,   39 ,   26 ,   23 ,   22 ,   20 ,   34 
,,Sector secundário,   20 ,   87 ,   10 ,   47 ,   23 ,   9 ,   45 ,   46 ,   7 ,   48 
,,Sector terciário,   57 ,   95 ,   40 ,   55 ,   133 ,   28 ,   121 ,   45 ,   29 ,   69 
,Secundária,,   5 ,- ,- ,   2 ,   1 ,   4 ,   3 ,   1 ,   5 ,   3 
,,Sector primário,   4 ,- ,- ,- ,- ,   2 ,   1 ,- ,   4 ,   2 
,,Sector secundário,- ,- ,- ,   1 ,- ,   1 ,   1 ,   1 ,- ,- 
,,Sector terciário,   1 ,- ,- ,   1 ,   1 ,   1 ,   1 ,- ,   1 ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   12 ,   47 ,   5 ,   17 ,   44 ,   6 ,   7 ,   11 ,   11 ,   25 
,Trabalhador por conta própria,,   24 ,   13 ,   12 ,   19 ,   26 ,   11 ,   30 ,   22 ,   18 ,   20 
,Trabalhador por conta de outrem,,   68 ,   157 ,   37 ,   78 ,   126 ,   49 ,   155 ,   80 ,   32 ,   109 
,Trabalhador familiar remunerado,,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,   1 ,- ,- ,- ,- ,   1 ,- ,   1 ,- ,- 
Produtor singular dirigente,,,   342 ,   546 ,   244 ,   357 ,   623 ,   194 ,   778 ,   476 ,   192 ,   419 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
