Principais características do produtor singular (Homem / Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 10/15
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
Homem (nº indivíduos),,,,,,,,,,,,,,
Produtor singular,,,   614 ,   183 ,   230 ,   938 ,   216 ,   379 ,   625 ,   588 ,  1 287 ,   544 ,  1 524 ,   493 
,Autónomo,,   585 ,   173 ,   216 ,   725 ,   204 ,   342 ,   585 ,   527 ,  1 153 ,   511 ,  1 385 ,   359 
,Empresário,,   29 ,   10 ,   14 ,   213 ,   12 ,   37 ,   40 ,   61 ,   134 ,   33 ,   139 ,   134 
Nível de instrução,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,   169 ,   25 ,   46 ,   126 ,   20 ,   87 ,   66 ,   114 ,   184 ,   165 ,   265 ,   101 
,Sabe ler e escrever,,   115 ,   24 ,   32 ,   85 ,   26 ,   49 ,   52 ,   101 ,   160 ,   81 ,   252 ,   51 
,Básico - 1º ciclo,,   276 ,   96 ,   100 ,   417 ,   121 ,   166 ,   350 ,   284 ,   656 ,   216 ,   693 ,   238 
,Básico - 2º ciclo,,   21 ,   7 ,   27 ,   80 ,   15 ,   27 ,   45 ,   39 ,   131 ,   32 ,   114 ,   26 
,Básico - 3º ciclo,,   15 ,   11 ,   6 ,   107 ,   17 ,   26 ,   54 ,   23 ,   66 ,   21 ,   76 ,   36 
,Secundário agrícola,,- ,   3 ,- ,   12 ,   2 ,   5 ,   3 ,   1 ,   7 ,   4 ,   22 ,   2 
,Secundário não agrícola,,   5 ,   4 ,   10 ,   44 ,   8 ,   11 ,   32 ,   8 ,   40 ,   8 ,   40 ,   10 
,Politécnico / Superior agrícola,,   6 ,   6 ,   2 ,   38 ,   5 ,   2 ,   8 ,   8 ,   19 ,   7 ,   19 ,   16 
,Politécnico / Superior não agrícola,,   7 ,   7 ,   7 ,   29 ,   2 ,   6 ,   15 ,   10 ,   24 ,   10 ,   43 ,   13 
Formação profissional agrícola,,,,,,,,,,,,,,
,Exclusivamente prática,,   590 ,   170 ,   222 ,   834 ,   186 ,   361 ,   566 ,   541 ,  1 157 ,   507 ,  1 390 ,   408 
,Curta duração,,   5 ,   2 ,   1 ,   1 ,   14 ,   2 ,   12 ,   5 ,   23 ,   10 ,   15 ,   40 
,Longa duração,,   9 ,   1 ,   3 ,   44 ,   9 ,   5 ,   24 ,   23 ,   62 ,   12 ,   43 ,   16 
,Longa e curta duração,,   4 ,   1 ,   2 ,   9 ,- ,   4 ,   12 ,   10 ,   19 ,   4 ,   35 ,   11 
,Completa,,   6 ,   9 ,   2 ,   50 ,   7 ,   7 ,   11 ,   9 ,   26 ,   11 ,   41 ,   18 
Tempo de actividade agrícola ,,,,,,,,,,,,,,
,Tempo parcial,,   500 ,   133 ,   227 ,   652 ,   126 ,   313 ,   415 ,   410 ,  1 248 ,   395 ,  1 288 ,   380 
,,> 0 - < 25%,   176 ,   50 ,   172 ,   270 ,   37 ,   192 ,   303 ,   180 ,   694 ,   264 ,   780 ,   186 
,,25 - < 50%,   145 ,   37 ,   29 ,   216 ,   35 ,   76 ,   51 ,   109 ,   192 ,   60 ,   200 ,   114 
,,50 - < 75%,   66 ,   9 ,   11 ,   97 ,   12 ,   18 ,   34 ,   66 ,   132 ,   34 ,   109 ,   28 
,,75 - < 100%,   113 ,   37 ,   15 ,   69 ,   42 ,   27 ,   27 ,   55 ,   230 ,   37 ,   199 ,   52 
,Tempo completo,,   114 ,   50 ,   3 ,   286 ,   90 ,   66 ,   210 ,   178 ,   39 ,   149 ,   236 ,   113 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,
,Principal,,   148 ,   55 ,   93 ,   290 ,   49 ,   123 ,   162 ,   123 ,   449 ,   123 ,   455 ,   183 
,,Sector primário,   41 ,   13 ,   20 ,   61 ,   17 ,   41 ,   68 ,   50 ,   136 ,   30 ,   168 ,   55 
,,Sector secundário,   41 ,   19 ,   14 ,   50 ,   7 ,   18 ,   27 ,   18 ,   124 ,   22 ,   76 ,   34 
,,Sector terciário,   66 ,   23 ,   59 ,   179 ,   25 ,   64 ,   67 ,   55 ,   189 ,   71 ,   211 ,   94 
,Secundária,,   14 ,- ,- ,   50 ,   3 ,   12 ,   9 ,   13 ,   10 ,   21 ,   39 ,   7 
,,Sector primário,   6 ,- ,- ,   29 ,   1 ,   8 ,   3 ,   4 ,   6 ,   10 ,   12 ,   2 
,,Sector secundário,   3 ,- ,- ,   1 ,- ,- ,- ,   2 ,   2 ,   4 ,   7 ,   1 
,,Sector terciário,   5 ,- ,- ,   20 ,   2 ,   4 ,   6 ,   7 ,   2 ,   7 ,   20 ,   4 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,
,Patrão/empregador,,   7 ,   13 ,   12 ,   59 ,   5 ,   16 ,   22 ,   9 ,   46 ,   13 ,   66 ,   9 
,Trabalhador por conta própria,,   41 ,   6 ,   19 ,   79 ,   12 ,   19 ,   34 ,   42 ,   94 ,   37 ,   94 ,   58 
,Trabalhador por conta de outrem,,   114 ,   36 ,   61 ,   179 ,   35 ,   98 ,   112 ,   83 ,   312 ,   93 ,   324 ,   122 
,Trabalhador familiar remunerado,,- ,- ,- ,   3 ,- ,- ,- ,   1 ,- ,   1 ,- ,- 
,Outra situação,,- ,- ,   1 ,   20 ,- ,   2 ,   3 ,   1 ,   7 ,- ,   10 ,   1 
