Principais características do produtor singular (Mulher / Alto Alentejo - Arronches),,,,,,,,,,,,
,,,,,,,,,,,,Pág 11/15
,,,ALENTEJO,Alentejo Litoral,Alcácer do Sal,Grândola,Odemira,Santiago do Cacém,Sines,Alto Alentejo,Alter do Chão,Arronches
Mulher (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,  5 860 ,   939 ,   206 ,   194 ,   258 ,   259 ,   22 ,  1 978 ,   57 ,   97 
,Autónomo,,  5 281 ,   891 ,   194 ,   190 ,   244 ,   242 ,   21 ,  1 823 ,   47 ,   89 
,Empresário,,   579 ,   48 ,   12 ,   4 ,   14 ,   17 ,   1 ,   155 ,   10 ,   8 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,  1 329 ,   293 ,   61 ,   63 ,   86 ,   74 ,   9 ,   471 ,   3 ,   22 
,Sabe ler e escrever,,  1 000 ,   171 ,   29 ,   35 ,   47 ,   58 ,   2 ,   315 ,   5 ,   15 
,Básico - 1º ciclo,,  2 135 ,   306 ,   80 ,   61 ,   75 ,   83 ,   7 ,   751 ,   25 ,   37 
,Básico - 2º ciclo,,   345 ,   47 ,   12 ,   9 ,   11 ,   14 ,   1 ,   114 ,   4 ,   5 
,Básico - 3º ciclo,,   324 ,   41 ,   7 ,   8 ,   10 ,   16 ,- ,   94 ,   3 ,   5 
,Secundário agrícola,,   32 ,   3 ,   2 ,   1 ,- ,- ,- ,   17 ,   1 ,   1 
,Secundário não agrícola,,   258 ,   31 ,   4 ,   7 ,   13 ,   6 ,   1 ,   88 ,   8 ,   10 
,Politécnico / Superior agrícola,,   54 ,   1 ,   1 ,- ,- ,- ,- ,   18 ,   3 ,   1 
,Politécnico / Superior não agrícola,,   383 ,   46 ,   10 ,   10 ,   16 ,   8 ,   2 ,   110 ,   5 ,   1 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,  5 560 ,   917 ,   200 ,   190 ,   247 ,   258 ,   22 ,  1 884 ,   51 ,   91 
,Curta duração,,   43 ,   2 ,- ,   1 ,   1 ,- ,- ,   9 ,- ,- 
,Longa duração,,   119 ,   12 ,   3 ,   1 ,   8 ,- ,- ,   31 ,- ,   3 
,Longa e curta duração,,   52 ,   4 ,- ,   1 ,   2 ,   1 ,- ,   19 ,   2 ,   1 
,Completa,,   86 ,   4 ,   3 ,   1 ,- ,- ,- ,   35 ,   4 ,   2 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,  5 350 ,   884 ,   200 ,   174 ,   243 ,   245 ,   22 ,  1 810 ,   55 ,   90 
,,> 0 - < 25%,  3 505 ,   426 ,   59 ,   86 ,   117 ,   151 ,   13 ,  1 102 ,   38 ,   49 
,,25 - < 50%,   921 ,   189 ,   43 ,   36 ,   62 ,   46 ,   2 ,   395 ,   6 ,   22 
,,50 - < 75%,   497 ,   142 ,   48 ,   19 ,   43 ,   25 ,   7 ,   177 ,   1 ,   5 
,,75 - < 100%,   427 ,   127 ,   50 ,   33 ,   21 ,   23 ,- ,   136 ,   10 ,   14 
,Tempo completo,,   510 ,   55 ,   6 ,   20 ,   15 ,   14 ,- ,   168 ,   2 ,   7 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,  1 212 ,   181 ,   47 ,   34 ,   45 ,   48 ,   7 ,   373 ,   10 ,   18 
,,Sector primário,   189 ,   36 ,   15 ,   7 ,   7 ,   7 ,- ,   64 ,   1 ,   4 
,,Sector secundário,   82 ,   5 ,   1 ,   1 ,- ,   3 ,- ,   29 ,- ,   1 
,,Sector terciário,   941 ,   140 ,   31 ,   26 ,   38 ,   38 ,   7 ,   280 ,   9 ,   13 
,Secundária,,   35 ,   11 ,   1 ,   6 ,   4 ,- ,- ,   5 ,- ,   1 
,,Sector primário,   16 ,   6 ,   1 ,   4 ,   1 ,- ,- ,   3 ,- ,- 
,,Sector secundário,   3 ,   1 ,- ,   1 ,- ,- ,- ,- ,- ,- 
,,Sector terciário,   16 ,   4 ,- ,   1 ,   3 ,- ,- ,   2 ,- ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   101 ,   11 ,   3 ,   2 ,   3 ,   3 ,- ,   40 ,- ,   4 
,Trabalhador por conta própria,,   244 ,   52 ,   9 ,   11 ,   17 ,   11 ,   4 ,   64 ,   3 ,   2 
,Trabalhador por conta de outrem,,   874 ,   125 ,   36 ,   27 ,   27 ,   32 ,   3 ,   269 ,   7 ,   13 
,Trabalhador familiar remunerado,,   9 ,   1 ,- ,- ,   1 ,- ,- ,   3 ,- ,- 
