Principais características do produtor singular (Mulher / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 14/15
,,,Mourão,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa,Baixo Alentejo,Aljustrel
Mulher (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,   47 ,   148 ,   102 ,   168 ,   96 ,   20 ,   39 ,   52 ,  1 466 ,   75 
,Autónomo,,   45 ,   135 ,   85 ,   154 ,   86 ,   19 ,   32 ,   52 ,  1 265 ,   71 
,Empresário,,   2 ,   13 ,   17 ,   14 ,   10 ,   1 ,   7 ,- ,   201 ,   4 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   8 ,   32 ,   28 ,   31 ,   16 ,   2 ,   5 ,   6 ,   279 ,   4 
,Sabe ler e escrever,,   11 ,   31 ,   14 ,   49 ,   11 ,   4 ,   4 ,   11 ,   245 ,   10 
,Básico - 1º ciclo,,   14 ,   53 ,   43 ,   50 ,   46 ,   10 ,   10 ,   20 ,   574 ,   34 
,Básico - 2º ciclo,,   3 ,   6 ,   3 ,   11 ,   7 ,   1 ,   2 ,   8 ,   100 ,   12 
,Básico - 3º ciclo,,   5 ,   12 ,   1 ,   7 ,   8 ,   1 ,   4 ,- ,   97 ,   6 
,Secundário agrícola,,- ,- ,- ,- ,- ,- ,- ,- ,   5 ,- 
,Secundário não agrícola,,   3 ,   4 ,   4 ,   8 ,   1 ,   1 ,   5 ,   1 ,   59 ,   4 
,Politécnico / Superior agrícola,,- ,   1 ,   1 ,   1 ,- ,- ,   4 ,- ,   14 ,- 
,Politécnico / Superior não agrícola,,   3 ,   9 ,   8 ,   11 ,   7 ,   1 ,   5 ,   6 ,   93 ,   5 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   42 ,   143 ,   99 ,   159 ,   94 ,   18 ,   33 ,   51 ,  1 381 ,   72 
,Curta duração,,   4 ,- ,- ,   5 ,- ,- ,- ,- ,   12 ,   2 
,Longa duração,,   1 ,   4 ,   2 ,   2 ,   2 ,- ,   2 ,   1 ,   38 ,   1 
,Longa e curta duração,,- ,- ,- ,   1 ,- ,   2 ,- ,- ,   16 ,- 
,Completa,,- ,   1 ,   1 ,   1 ,- ,- ,   4 ,- ,   19 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,   47 ,   141 ,   97 ,   165 ,   89 ,   16 ,   29 ,   47 ,  1 338 ,   54 
,,> 0 - < 25%,   30 ,   131 ,   85 ,   94 ,   76 ,   5 ,   18 ,   25 ,   998 ,   46 
,,25 - < 50%,   12 ,   4 ,   7 ,   42 ,   8 ,   7 ,   3 ,   15 ,   155 ,   5 
,,50 - < 75%,   2 ,   6 ,   1 ,   16 ,   4 ,   4 ,   6 ,   4 ,   86 ,   1 
,,75 - < 100%,   3 ,- ,   4 ,   13 ,   1 ,- ,   2 ,   3 ,   99 ,   2 
,Tempo completo,,- ,   7 ,   5 ,   3 ,   7 ,   4 ,   10 ,   5 ,   128 ,   21 
