Produtor singular segundo a  dimensão económica e as classes de idade (Baixo Alentejo - Alvito),,,,,,,,,,
,,,,,,,,,,Pág 6/8
REGIÃO AGRÁRIA,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III / Concelho,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Vendas Novas,,,,,,,,
,,Total,   219 ,   105 ,   40 ,   30 ,   19 ,   13 ,   10 ,   2 
,,15 - 24,   2 ,- ,- ,   2 ,- ,- ,- ,- 
,,25 - 34,   7 ,   1 ,   1 ,   2 ,   1 ,   2 ,- ,- 
,,35 - 44,   11 ,   6 ,   2 ,   1 ,   1 ,- ,   1 ,- 
,,45 - 54,   57 ,   22 ,   8 ,   10 ,   7 ,   5 ,   5 ,- 
,,55 - 64,   68 ,   35 ,   16 ,   8 ,   4 ,   3 ,   2 ,- 
,,>= 65,   74 ,   41 ,   13 ,   7 ,   6 ,   3 ,   2 ,   2 
,,Viana do Alentejo,,,,,,,,
,,Total,   296 ,   116 ,   58 ,   40 ,   19 ,   28 ,   25 ,   10 
,,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,   1 
,,25 - 34,   10 ,   5 ,- ,   1 ,- ,   1 ,   3 ,- 
,,35 - 44,   33 ,   7 ,   3 ,   4 ,   4 ,   8 ,   5 ,   2 
,,45 - 54,   55 ,   22 ,   9 ,   7 ,   3 ,   8 ,   5 ,   1 
,,55 - 64,   72 ,   27 ,   20 ,   10 ,   7 ,   2 ,   2 ,   4 
,,>= 65,   125 ,   55 ,   26 ,   18 ,   5 ,   9 ,   10 ,   2 
,,Vila Viçosa,,,,,,,,
,,Total,   299 ,   180 ,   36 ,   35 ,   24 ,   17 ,   7 ,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,   12 ,   4 ,- ,   2 ,   3 ,   2 ,   1 ,- 
,,35 - 44,   29 ,   16 ,   2 ,   5 ,   4 ,   1 ,   1 ,- 
,,45 - 54,   45 ,   27 ,   5 ,   4 ,   3 ,   5 ,   1 ,- 
,,55 - 64,   83 ,   49 ,   12 ,   9 ,   8 ,   3 ,   2 ,- 
,,>= 65,   130 ,   84 ,   17 ,   15 ,   6 ,   6 ,   2 ,- 
,Baixo Alentejo,,,,,,,,,
,Total,,  9 360 ,  4 113 ,  1 394 ,  1 265 ,  1 051 ,   949 ,   436 ,   152 
,15 - 24,,   47 ,   12 ,   7 ,   9 ,   10 ,   4 ,   2 ,   3 
,25 - 34,,   473 ,   111 ,   56 ,   69 ,   75 ,   115 ,   39 ,   8 
,35 - 44,,  1 159 ,   297 ,   170 ,   150 ,   202 ,   217 ,   91 ,   32 
,45 - 54,,  1 650 ,   594 ,   275 ,   251 ,   215 ,   186 ,   99 ,   30 
,55 - 64,,  2 427 ,  1 021 ,   356 ,   377 ,   274 ,   247 ,   118 ,   34 
,>= 65,,  3 604 ,  2 078 ,   530 ,   409 ,   275 ,   180 ,   87 ,   45 
,,Aljustrel,,,,,,,,
,,Total,   447 ,   108 ,   75 ,   67 ,   61 ,   78 ,   45 ,   13 
,,15 - 24,   5 ,- ,   1 ,   1 ,   1 ,   2 ,- ,- 
,,25 - 34,   32 ,   6 ,   5 ,   4 ,   4 ,   12 ,   1 ,- 
,,35 - 44,   92 ,   10 ,   14 ,   10 ,   19 ,   21 ,   16 ,   2 
,,45 - 54,   93 ,   23 ,   19 ,   15 ,   11 ,   13 ,   8 ,   4 
,,55 - 64,   97 ,   17 ,   14 ,   19 ,   13 ,   17 ,   13 ,   4 
