Produtor singular segundo a OTE e as classes de idade (Não Classificado / Alentejo Litoral - Sines),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 8/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALENTEJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,  34 445 ,   105 ,  4 417 ,   907 ,  3 453 ,  1 019 ,   742 ,  1 370 ,  2 732 ,   348 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 - 24,,   145 ,- ,   33 ,   11 ,   2 ,   5 ,   2 ,   8 ,   19 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 - 34,,  1 422 ,   13 ,   268 ,   46 ,   104 ,   41 ,   35 ,   129 ,   102 ,   21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 - 44,,  3 593 ,   22 ,   573 ,   111 ,   300 ,   106 ,   81 ,   233 ,   273 ,   33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 - 54,,  5 716 ,   25 ,   794 ,   171 ,   527 ,   202 ,   157 ,   252 ,   430 ,   63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 - 64,,  8 745 ,   25 ,  1 191 ,   243 ,   892 ,   326 ,   221 ,   373 ,   745 ,   68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>= 65,,  14 824 ,   20 ,  1 558 ,   325 ,  1 628 ,   339 ,   246 ,   375 ,  1 163 ,   162 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alentejo Litoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,  5 468 ,   11 ,   808 ,   396 ,   453 ,   237 ,   254 ,   412 ,   394 ,   47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 - 24,,   30 ,- ,   6 ,   3 ,- ,   1 ,- ,   1 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 - 34,,   219 ,   1 ,   39 ,   18 ,   13 ,   10 ,   10 ,   30 ,   10 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 - 44,,   626 ,   1 ,   85 ,   45 ,   40 ,   26 ,   26 ,   58 ,   35 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 - 54,,  1 038 ,   3 ,   148 ,   76 ,   76 ,   40 ,   56 ,   76 ,   74 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 - 64,,  1 475 ,   2 ,   238 ,   111 ,   124 ,   71 ,   74 ,   119 ,   103 ,   8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>= 65,,  2 080 ,   4 ,   292 ,   143 ,   200 ,   89 ,   88 ,   128 ,   168 ,   30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alcácer do Sal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   818 ,   2 ,   55 ,   6 ,   57 ,   20 ,   10 ,   49 ,   33 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   5 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   41 ,- ,   4 ,- ,   2 ,   1 ,   1 ,   6 ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   131 ,   1 ,   9 ,   1 ,   5 ,   3 ,   3 ,   7 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
