Produtor singular segundo a OTE e as classes de idade (Não Classificado / Baixo Alentejo - Ferreira do Alentejo),,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 13/14,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,
,Aljustrel,,,,,,,,,,,,,,,,
,Total,   459 ,- ,   51 ,   2 ,   13 ,   2 ,- ,   37 ,   3 ,   12 ,,,,,,
,15 - 24,   5 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   32 ,- ,   8 ,- ,   1 ,- ,- ,   3 ,- ,- ,,,,,,
,35 - 44,   94 ,- ,   11 ,   1 ,   4 ,   1 ,- ,   9 ,   2 ,   2 ,,,,,,
,45 - 54,   98 ,- ,   11 ,- ,   3 ,   1 ,- ,   7 ,   1 ,   5 ,,,,,,
,55 - 64,   97 ,- ,   11 ,- ,   2 ,- ,- ,   10 ,- ,- ,,,,,,
,>= 65,   133 ,- ,   10 ,   1 ,   3 ,- ,- ,   8 ,- ,   5 ,,,,,,
,Almodôvar,,,,,,,,,,,,,,,,
,Total,   713 ,   1 ,   196 ,   82 ,   42 ,   55 ,   66 ,   66 ,   92 ,   1 ,,,,,,
,15 - 24,   2 ,- ,- ,   1 ,- ,- ,   1 ,- ,- ,- ,,,,,,
,25 - 34,   26 ,- ,   4 ,   7 ,   2 ,   4 ,- ,   3 ,   3 ,- ,,,,,,
,35 - 44,   61 ,- ,   16 ,   8 ,   2 ,   4 ,   7 ,   8 ,   9 ,- ,,,,,,
,45 - 54,   144 ,- ,   39 ,   19 ,   9 ,   10 ,   19 ,   10 ,   15 ,   1 ,,,,,,
,55 - 64,   229 ,   1 ,   71 ,   21 ,   9 ,   27 ,   21 ,   32 ,   28 ,- ,,,,,,
,>= 65,   251 ,- ,   66 ,   26 ,   20 ,   10 ,   18 ,   13 ,   37 ,- ,,,,,,
,Alvito,,,,,,,,,,,,,,,,
,Total,   215 ,- ,   34 ,- ,   21 ,   4 ,   1 ,   7 ,   11 ,- ,,,,,,
,15 - 24,   3 ,- ,   1 ,- ,   1 ,- ,- ,- ,   1 ,- ,,,,,,
,25 - 34,   6 ,- ,   2 ,- ,   2 ,   1 ,   1 ,- ,- ,- ,,,,,,
,35 - 44,   19 ,- ,   8 ,- ,   2 ,- ,- ,   2 ,- ,- ,,,,,,
,45 - 54,   40 ,- ,   5 ,- ,   3 ,   1 ,- ,   2 ,   3 ,- ,,,,,,
,55 - 64,   56 ,- ,   9 ,- ,   4 ,   2 ,- ,   3 ,   1 ,- ,,,,,,
,>= 65,   91 ,- ,   9 ,- ,   9 ,- ,- ,- ,   6 ,- ,,,,,,
,Barrancos,,,,,,,,,,,,,,,,
,Total,   279 ,- ,   41 ,   8 ,   6 ,   6 ,   9 ,- ,   36 ,- ,,,,,,
,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   23 ,- ,   5 ,   2 ,   1 ,- ,- ,- ,   3 ,- ,,,,,,
,35 - 44,   28 ,- ,   7 ,   2 ,- ,   1 ,   1 ,- ,   6 ,- ,,,,,,
,45 - 54,   37 ,- ,   11 ,- ,   1 ,   3 ,   1 ,- ,   7 ,- ,,,,,,
,55 - 64,   71 ,- ,   10 ,   2 ,   2 ,- ,   3 ,- ,   8 ,- ,,,,,,
,>= 65,   120 ,- ,   8 ,   2 ,   2 ,   2 ,   4 ,- ,   12 ,- ,,,,,,
,Beja,,,,,,,,,,,,,,,,
,Total,  1 130 ,   2 ,   88 ,   10 ,   115 ,   13 ,   3 ,   36 ,   19 ,   11 ,,,,,,
,15 - 24,   6 ,- ,   2 ,- ,- ,- ,- ,   1 ,- ,- ,,,,,,
,25 - 34,   65 ,- ,   6 ,- ,   6 ,- ,- ,   4 ,- ,- ,,,,,,
,35 - 44,   139 ,- ,   9 ,   2 ,   10 ,- ,   1 ,   4 ,   3 ,   2 ,,,,,,
,45 - 54,   185 ,- ,   23 ,- ,   17 ,   2 ,   1 ,   3 ,   3 ,   4 ,,,,,,
,55 - 64,   304 ,   2 ,   24 ,   4 ,   32 ,   4 ,   1 ,   13 ,   4 ,   1 ,,,,,,
,>= 65,   431 ,- ,   24 ,   4 ,   50 ,   7 ,- ,   11 ,   9 ,   4 ,,,,,,
,Castro Verde,,,,,,,,,,,,,,,,
,Total,   254 ,- ,   68 ,   4 ,   15 ,   19 ,   7 ,   56 ,   7 ,   3 ,,,,,,
,15 - 24,   4 ,- ,   3 ,- ,   1 ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   15 ,- ,   4 ,- ,- ,- ,- ,   5 ,- ,- ,,,,,,
,35 - 44,   41 ,- ,   10 ,   1 ,   3 ,   4 ,   1 ,   9 ,- ,- ,,,,,,
,45 - 54,   50 ,- ,   14 ,   2 ,   2 ,   2 ,   4 ,   10 ,- ,   1 ,,,,,,
,55 - 64,   66 ,- ,   17 ,- ,   3 ,   7 ,   1 ,   17 ,   3 ,- ,,,,,,
,>= 65,   78 ,- ,   20 ,   1 ,   6 ,   6 ,   1 ,   15 ,   4 ,   2 ,,,,,,
,Cuba,,,,,,,,,,,,,,,,
